scientific_name,taken_from,grade,corroborating_sources,mass_from,origin
Pterotolithus lateoides,fishbase,C,,fishbase,unrecorded
Ptychobarbus dipogon,fishbase,C,,fishbase,unrecorded
Ptychocheilus grandis,fishbase,C,,fishbase,wild
Ptychocheilus lucius,anage,B,fishbase,anage,wild
Ptychocheilus oregonensis,fishbase,C,,fishbase,wild
Pungitius hellenicus,fishbase,C,,fishbase,wild
Pungitius pungitius,anage,B,fishbase,anage,wild
Pygoplites diacanthus,anage,B,fishbase,anage,wild
Pylodictis olivaris,anage,B,fishbase,anage,wild
Rachycentron canadum,anage,B,fishbase,anage,wild
Rastrelliger brachysoma,anage,B,fishbase,anage,wild
Rastrelliger kanagurta,fishbase,C,,fishbase,unrecorded
Rastrineobola argentea,fishbase,C,,fishbase,wild
Reinhardtius hippoglossoides,anage,B,fishbase,anage,wild
Relictus solitarius,anage,B,fishbase,anage,wild
Retropinna semoni,anage,B,fishbase,anage,wild
Rexea brevilineata,anage,B,fishbase,anage,wild
Rexea solandri,anage,B,fishbase,anage,wild
Rhabdosargus sarba,fishbase,C,,fishbase,unrecorded
Rhacochilus toxotes,fishbase,C,,fishbase,unrecorded
Rhinelepis aspera,fishbase,C,,fishbase,wild
Rhinichthys atratulus,anage,B,fishbase,anage,wild
Rhinichthys cataractae,anage,B,fishbase,anage,wild
Rhinichthys cobitis,anage,B,fishbase,anage,wild
Rhinogobiops nicholsii,fishbase,C,,fishbase,wild
Rhinogobius cliffordpopei,fishbase,C,,fishbase,unrecorded
Rhinogobius giurinus,fishbase,C,,fishbase,unrecorded
Rhodeus amarus,fishbase,C,,fishbase,wild
Rhodeus sericeus,anage,B,fishbase,anage,wild
Rhomboplites aurorubens,anage,B,fishbase,anage,wild
Rhombosolea leporina,fishbase,C,,fishbase,unrecorded
Rhombosolea plebeia,anage,B,fishbase,anage,wild
Rhombosolea tapirina,fishbase,C,,fishbase,unrecorded
Rhynchocypris percnura,fishbase,C,,fishbase,unrecorded
Richardsonius egregius,anage,B,fishbase,anage,wild
Romanogobio albipinnatus,fishbase,C,,fishbase,wild
Romanogobio belingi,fishbase,C,,fishbase,wild
Romanogobio benacensis,fishbase,C,,fishbase,wild
Romanogobio ciscaucasicus,fishbase,C,,fishbase,wild
Romanogobio kesslerii,fishbase,C,,fishbase,wild
Romanogobio tanaiticus,fishbase,C,,fishbase,wild
Romanogobio vladykovi,fishbase,C,,fishbase,wild
Roncador stearnsii,fishbase,C,,fishbase,wild
Rutilus caspicus,fishbase,C,,fishbase,wild
Rutilus frisii,anage,B,fishbase,anage,wild
Rutilus kutum,fishbase,C,,fishbase,unrecorded
Rutilus pigus,fishbase,C,,fishbase,wild
Rutilus rutilus,anage,B,fishbase,anage,wild
Sabanejewia aurata,fishbase,C,,fishbase,unrecorded
Sabanejewia balcanica,fishbase,C,,fishbase,unrecorded
Salariopsis fluviatilis,fishbase,C,,fishbase,wild
Salminus brasiliensis,fishbase,C,,fishbase,wild
Salmo carpio,fishbase,C,,fishbase,wild
Salmo cenerinus,fishbase,C,,fishbase,wild
Salmo ferox,fishbase,C,,fishbase,wild
Salmo marmoratus,fishbase,C,,fishbase,wild
Salmo ohridanus,fishbase,C,,fishbase,wild
Salmo salar,seed,B,anage;fishbase,seed,wild
Salmo trutta,seed,B,anage;fishbase,seed,wild+captive
Salvelinus alpinus,anage,B,fishbase,anage,unrecorded
Salvelinus anaktuvukensis,fishbase,C,,fishbase,wild
Salvelinus faroensis,fishbase,C,,fishbase,wild
Salvelinus fontinalis,anage,B,fishbase,anage,wild
Salvelinus gracillimus,fishbase,C,,fishbase,unrecorded
Salvelinus leucomaenis,fishbase,C,,fishbase,wild
Salvelinus malma,fishbase,C,,fishbase,unrecorded
Salvelinus murta,fishbase,C,,fishbase,wild
Salvelinus namaycush,seed,B,anage;fishbase,seed,wild
Salvelinus salvelinoinsularis,fishbase,C,,fishbase,wild
Salvelinus struanensis,fishbase,C,,fishbase,wild
Salvelinus thingvallensis,fishbase,C,,fishbase,wild
Salvelinus youngeri,fishbase,C,,fishbase,unrecorded
Sandelia bainsii,fishbase,C,,fishbase,unrecorded
Sander canadensis,anage,B,fishbase,anage,wild
Sander lucioperca,anage,B,fishbase,anage,wild
Sander vitreus,anage,B,fishbase,anage,wild
Sander volgensis,fishbase,C,,fishbase,wild
Sarcocheilichthys czerskii,fishbase,C,,fishbase,unrecorded
Sarcocheilichthys lacustris,fishbase,C,,fishbase,unrecorded
Sarda sarda,anage,B,fishbase,anage,wild
Sardina pilchardus,anage,B,fishbase,anage,wild
Sardinella aurita,anage,B,fishbase,anage,wild
Sardinella fimbriata,fishbase,C,,fishbase,unrecorded
Sardinella gibbosa,anage,B,fishbase,anage,wild
Sardinella lemuru,fishbase,C,,fishbase,unrecorded
Sardinella longiceps,anage,B,fishbase,anage,wild
Sardinella maderensis,fishbase,C,,fishbase,unrecorded
Sardinella melanura,fishbase,C,,fishbase,unrecorded
Sardinella sindensis,fishbase,C,,fishbase,unrecorded
Sardinops sagax,anage,B,fishbase,anage,wild
Sargocentron spiniferum,fishbase,C,,fishbase,wild
Sargochromis carlottae,fishbase,C,,fishbase,wild
Sargochromis codringtonii,anage,B,fishbase,anage,wild
Sargochromis giardi,anage,B,fishbase,anage,wild
Sarmarutilus rubilio,fishbase,C,,fishbase,unrecorded
Sarpa salpa,fishbase,C,,fishbase,unrecorded
Saurida elongata,fishbase,C,,fishbase,wild
Saurida tumbil,fishbase,C,,fishbase,wild
Saurida undosquamis,fishbase,C,,fishbase,unrecorded
Saurogobio dabryi,fishbase,C,,fishbase,unrecorded
Scaphirhynchus albus,fishbase,C,,fishbase,unrecorded
Scaphirhynchus platorynchus,fishbase,C,,fishbase,wild
Scardinius acarnanicus,fishbase,C,,fishbase,wild
Scardinius erythrophthalmus,anage,B,fishbase,anage,wild
Scardinius hesperidicus,fishbase,C,,fishbase,wild
Scarus altipinnis,fishbase,C,,fishbase,unrecorded
Scarus chameleon,fishbase,C,,fishbase,unrecorded
Scarus coelestinus,fishbase,C,,fishbase,wild
Scarus ferrugineus,fishbase,C,,fishbase,unrecorded
Scarus forsteni,fishbase,C,,fishbase,unrecorded
Scarus frenatus,anage,B,fishbase,anage,wild
Scarus ghobban,anage,B,fishbase,anage,wild
Scarus iseri,fishbase,C,,fishbase,unrecorded
Scarus niger,fishbase,C,,fishbase,unrecorded
Scarus psittacus,anage,B,fishbase,anage,wild
Scarus rivulatus,fishbase,C,,fishbase,unrecorded
Scarus rubroviolaceus,anage,B,fishbase,anage,wild
Scarus schlegeli,fishbase,C,,fishbase,unrecorded
Scarus taeniopterus,fishbase,C,,fishbase,wild
Schilbe intermedius,fishbase,C,,fishbase,unrecorded
Schilbe mystus,fishbase,C,,fishbase,wild
Schilbe uranoscopus,fishbase,C,,fishbase,unrecorded
Schindleria praematura,fishbase,C,,fishbase,wild
Schizopygopsis selincuoensis,fishbase,C,,fishbase,unrecorded
Schizopygopsis younghusbandi,fishbase,C,,fishbase,unrecorded
Sciades couma,fishbase,C,,fishbase,wild
Sciades parkeri,fishbase,C,,fishbase,wild
Sciades proops,fishbase,C,,fishbase,wild
Sciaena umbra,fishbase,C,,fishbase,unrecorded
Sciaenops ocellatus,anage,B,fishbase,anage,wild
Scolopsis taeniata,fishbase,C,,fishbase,unrecorded
Scomber colias,fishbase,C,,fishbase,unrecorded
Scomber japonicus,anage,B,fishbase,anage,wild
Scomber scombrus,anage,B,fishbase,anage,wild
Scomberesox saurus,fishbase,C,,fishbase,unrecorded
Scomberoides commersonnianus,fishbase,C,,fishbase,unrecorded
Scomberomorus cavalla,anage,B,fishbase,anage,wild
Scomberomorus commerson,fishbase,C,,fishbase,wild
Scomberomorus maculatus,anage,B,fishbase,anage,wild
Scomberomorus munroi,fishbase,C,,fishbase,unrecorded
Scomberomorus queenslandicus,fishbase,C,,fishbase,unrecorded
Scomberomorus semifasciatus,fishbase,C,,fishbase,unrecorded
Scomberomorus sierra,fishbase,C,,fishbase,unrecorded
Scomberomorus tritor,anage,B,fishbase,anage,wild
Scophthalmus aquosus,fishbase,C,,fishbase,wild
Scophthalmus maximus,anage,B,fishbase,anage,wild
Scophthalmus rhombus,anage,B,fishbase,anage,wild
Scorpaena cardinalis,fishbase,C,,fishbase,wild
Scorpaena guttata,fishbase,C,,fishbase,wild
Scorpaena jacksoniensis,fishbase,C,,fishbase,wild
Scorpaena loppei,fishbase,C,,fishbase,wild
Scorpaena notata,fishbase,C,,fishbase,wild
Scorpaena porcus,fishbase,C,,fishbase,unrecorded
Scorpaena scrofa,fishbase,C,,fishbase,unrecorded
Scorpaenichthys marmoratus,fishbase,C,,fishbase,wild
Scorpis aequipinnis,fishbase,C,,fishbase,unrecorded
Sebastes aleutianus,seed,A,anage;fishbase,seed,wild
Sebastes alutus,anage,B,fishbase,anage,wild
Sebastes atrovirens,anage,B,fishbase,anage,wild
Sebastes auriculatus,anage,B,fishbase,anage,wild
Sebastes aurora,fishbase,C,,fishbase,wild
Sebastes babcocki,anage,B,fishbase,anage,wild
Sebastes borealis,anage,B,fishbase,anage,wild
Sebastes brevispinis,anage,B,fishbase,anage,wild
Sebastes carnatus,anage,B,fishbase,anage,wild
Sebastes caurinus,anage,B,fishbase,anage,wild
Sebastes chlorostictus,anage,B,fishbase,anage,wild
Sebastes chrysomelas,anage,B,fishbase,anage,wild
Sebastes ciliatus,anage,B,fishbase,anage,wild
Sebastes constellatus,anage,B,fishbase,anage,wild
Sebastes crameri,anage,B,fishbase,anage,wild
Sebastes dallii,anage,B,fishbase,anage,wild
Sebastes diaconus,fishbase,C,,fishbase,wild
Sebastes diploproa,anage,B,fishbase,anage,wild
Sebastes elongatus,anage,B,fishbase,anage,wild
Sebastes emphaeus,fishbase,C,,fishbase,unrecorded
Sebastes entomelas,anage,B,fishbase,anage,wild
Sebastes flavidus,anage,B,fishbase,anage,wild
Sebastes goodei,anage,B,fishbase,anage,wild
Sebastes helvomaculatus,anage,B,fishbase,anage,wild
Sebastes hopkinsi,anage,B,fishbase,anage,wild
Sebastes jordani,anage,B,fishbase,anage,wild
Sebastes levis,anage,B,fishbase,anage,wild
Sebastes maliger,anage,B,fishbase,anage,wild
Sebastes melanops,seed,B,anage;fishbase,seed,wild
Sebastes melanostomus,fishbase,C,,fishbase,wild
Sebastes mentella,anage,B,fishbase,anage,wild
Sebastes miniatus,anage,B,fishbase,anage,wild
Sebastes minor,fishbase,C,,fishbase,wild
Sebastes mystinus,anage,B,fishbase,anage,wild
Sebastes nebulosus,anage,B,fishbase,anage,wild
Sebastes nigrocinctus,anage,B,fishbase,anage,wild
Sebastes norvegicus,fishbase,C,,fishbase,wild
Sebastes ovalis,anage,B,fishbase,anage,wild
Sebastes paucispinis,anage,B,fishbase,anage,wild
Sebastes pinniger,anage,B,fishbase,anage,wild
Sebastes polyspinis,anage,B,fishbase,anage,wild
Sebastes proriger,anage,B,fishbase,anage,wild
Sebastes rastrelliger,anage,B,fishbase,anage,wild
Sebastes reedi,anage,B,fishbase,anage,wild
Sebastes rosaceus,anage,B,fishbase,anage,wild
Sebastes rosenblatti,anage,B,fishbase,anage,wild
Sebastes ruberrimus,seed,A,anage;fishbase,seed,wild
Sebastes rubrivinctus,anage,B,fishbase,anage,wild
Sebastes rufus,anage,B,fishbase,anage,wild
Sebastes saxicola,anage,B,fishbase,anage,wild
Sebastes schlegelii,fishbase,C,,fishbase,wild
Sebastes semicinctus,fishbase,C,,fishbase,wild
Sebastes serranoides,anage,B,fishbase,anage,wild
Sebastes steindachneri,fishbase,C,,fishbase,wild
Sebastes variabilis,fishbase,C,,fishbase,wild
Sebastes variegatus,anage,B,fishbase,anage,wild
Sebastes viviparus,anage,B,fishbase,anage,wild
Sebastes wilsoni,anage,B,fishbase,anage,wild
Sebastes zacentrus,anage,B,fishbase,anage,wild
Sebastolobus alascanus,anage,B,fishbase,anage,wild
Sebastolobus altivelis,anage,B,fishbase,anage,wild
Selar crumenophthalmus,fishbase,C,,fishbase,unrecorded
Semotilus atromaculatus,anage,B,fishbase,anage,wild
Semotilus corporalis,fishbase,C,,fishbase,wild
Seriola dumerili,fishbase,C,,fishbase,wild
Seriola lalandi,fishbase,C,,fishbase,wild
Seriolella brama,anage,B,fishbase,anage,wild
Seriolella caerulea,fishbase,C,,fishbase,wild
Seriolella porosa,anage,B,fishbase,anage,wild
Seriolella punctata,fishbase,C,,fishbase,wild
Serranochromis angusticeps,anage,B,fishbase,anage,wild
Serranochromis carlottae,anage,B,,anage,wild
Serranochromis macrocephalus,anage,B,fishbase,anage,wild
Serranus atricauda,fishbase,C,,fishbase,wild
Serranus cabrilla,fishbase,C,,fishbase,unrecorded
Serranus hepatus,fishbase,C,,fishbase,unrecorded
Serranus scriba,anage,B,fishbase,anage,wild
Serranus subligarius,fishbase,C,,fishbase,unrecorded
Siganus canaliculatus,fishbase,C,,fishbase,unrecorded
Siganus luridus,fishbase,C,,fishbase,unrecorded
Siganus rivulatus,fishbase,C,,fishbase,unrecorded
Siganus sutor,fishbase,C,,fishbase,wild
Silhouettea aegyptia,fishbase,C,,fishbase,wild
Sillaginodes punctatus,anage,B,fishbase,anage,wild
Sillago aeolus,fishbase,C,,fishbase,unrecorded
Sillago bassensis,fishbase,C,,fishbase,unrecorded
Sillago burrus,fishbase,C,,fishbase,unrecorded
Sillago ciliata,anage,B,fishbase,anage,wild
Sillago flindersi,fishbase,C,,fishbase,wild
Sillago robusta,fishbase,C,,fishbase,unrecorded
Sillago schomburgkii,anage,B,fishbase,anage,wild
Sillago sihama,anage,B,fishbase,anage,wild
Sillago vittata,fishbase,C,,fishbase,unrecorded
Silurus aristotelis,fishbase,C,,fishbase,wild
Silurus glanis,seed,B,anage;fishbase,seed,wild
Silurus soldatovi,fishbase,C,,fishbase,wild
Silurus triostegus,fishbase,C,,fishbase,wild
Siniperca chuatsi,fishbase,C,,fishbase,wild
Siniperca knerii,fishbase,C,,fishbase,unrecorded
Solea solea,anage,B,fishbase,anage,wild
Sparidentex hasta,fishbase,C,,fishbase,unrecorded
Sparisoma atomarium,fishbase,C,,fishbase,unrecorded
Sparisoma aurofrenatum,fishbase,C,,fishbase,unrecorded
Sparisoma chrysopterum,fishbase,C,,fishbase,unrecorded
Sparisoma cretense,fishbase,C,,fishbase,unrecorded
Sparisoma rubripinne,fishbase,C,,fishbase,unrecorded
Sparisoma strigatum,fishbase,C,,fishbase,unrecorded
Sparisoma viride,fishbase,C,,fishbase,unrecorded
Sparodon durbanensis,fishbase,C,,fishbase,unrecorded
Sparus aurata,anage,B,fishbase,anage,wild
Sphoeroides maculatus,fishbase,C,,fishbase,unrecorded
Sphyraena argentea,anage,B,fishbase,anage,wild
Sphyraena barracuda,anage,B,fishbase,anage,unrecorded
Sphyraena chrysotaenia,fishbase,C,,fishbase,unrecorded
Sphyraena flavicauda,fishbase,C,,fishbase,wild
Sphyraena pinguis,fishbase,C,,fishbase,unrecorded
Sphyraena sphyraena,fishbase,C,,fishbase,unrecorded
Spicara flexuosum,fishbase,C,,fishbase,unrecorded
Spicara maena,fishbase,C,,fishbase,unrecorded
Spicara smaris,fishbase,C,,fishbase,unrecorded
Spirinchus starksi,fishbase,C,,fishbase,wild
Spirinchus thaleichthys,anage,B,fishbase,anage,wild
Spondyliosoma cantharus,anage,B,fishbase,anage,wild
Spratelloides gracilis,fishbase,C,,fishbase,unrecorded
Spratelloides lewisi,fishbase,C,,fishbase,unrecorded
Sprattus fuegensis,fishbase,C,,fishbase,unrecorded
Sprattus sprattus,anage,B,fishbase,anage,wild
Squalidus chankaensis,fishbase,C,,fishbase,unrecorded
Squaliobarbus curriculus,fishbase,C,,fishbase,unrecorded
Squalius carolitertii,fishbase,C,,fishbase,unrecorded
Squalius cephalus,fishbase,C,,fishbase,wild
Squalius ghigii,fishbase,C,,fishbase,wild
Squalius pyrenaicus,fishbase,C,,fishbase,wild
Squalius squalus,fishbase,C,,fishbase,wild
Squalius svallize,fishbase,C,,fishbase,unrecorded
Stegastes acapulcoensis,fishbase,C,,fishbase,wild
Stegastes arcifrons,fishbase,C,,fishbase,wild
Stegastes beebei,fishbase,C,,fishbase,unrecorded
Stegastes flavilatus,fishbase,C,,fishbase,wild
Stegastes leucorus,fishbase,C,,fishbase,wild
Stegastes rectifraenum,fishbase,C,,fishbase,wild
Stenobrachius leucopsarus,anage,B,fishbase,anage,wild
Stenodus leucichthys,anage,B,fishbase,anage,wild
Stenotomus caprinus,fishbase,C,,fishbase,unrecorded
Stenotomus chrysops,anage,B,fishbase,anage,wild
Stereolepis gigas,anage,B,fishbase,anage,wild
Stiphodon percnopterygionus,fishbase,C,,fishbase,unrecorded
Sufflogobius bibarbatus,fishbase,C,,fishbase,wild
Symphodus cinereus,fishbase,C,,fishbase,wild
Symphodus mediterraneus,fishbase,C,,fishbase,wild
Symphodus melops,anage,B,fishbase,anage,wild
Symphodus ocellatus,fishbase,C,,fishbase,wild
Symphodus roissali,fishbase,C,,fishbase,wild
Symphodus rostratus,fishbase,C,,fishbase,wild
Symphodus tinca,fishbase,C,,fishbase,wild
Symphurus plagiusa,fishbase,C,,fishbase,unrecorded
Synchiropus phaeton,fishbase,C,,fishbase,unrecorded
Syngnathus abaster,fishbase,C,,fishbase,unrecorded
Syngnathus leptorhynchus,fishbase,C,,fishbase,unrecorded
Syngnathus scovelli,anage,B,fishbase,anage,wild
Synodontis schall,anage,B,fishbase,anage,captive
Synodus saurus,fishbase,C,,fishbase,unrecorded
Takifugu rubripes,fishbase,C,,fishbase,unrecorded
Tandanus tandanus,fishbase,C,,fishbase,wild
Taractichthys steindachneri,anage,B,fishbase,anage,wild
Tarphops oligolepis,fishbase,C,,fishbase,wild
Tautoga onitis,anage,B,fishbase,anage,wild
Tautogolabrus adspersus,anage,B,fishbase,anage,wild
Telestes pleurobipunctatus,fishbase,C,,fishbase,wild
Tenualosa ilisha,fishbase,C,,fishbase,wild
Tenualosa reevesii,fishbase,C,,fishbase,wild
Tenualosa toli,fishbase,C,,fishbase,wild
Tetraodon lineatus,anage,B,fishbase,anage,captive
Thalassoma bifasciatum,anage,B,fishbase,anage,wild
Thaleichthys pacificus,anage,B,fishbase,anage,wild
Thoburnia hamiltoni,anage,B,fishbase,anage,wild
Thoburnia rhothoeca,anage,B,fishbase,anage,wild
Thorogobius ephippiatus,anage,B,fishbase,anage,wild
Thryssa hamiltonii,fishbase,C,,fishbase,wild
Thunnus alalunga,anage,B,fishbase,anage,wild
Thunnus albacares,anage,B,fishbase,anage,wild
Thunnus atlanticus,fishbase,C,,fishbase,unrecorded
Thunnus maccoyii,anage,B,fishbase,anage,wild
Thunnus obesus,anage,B,fishbase,anage,wild
Thunnus orientalis,fishbase,C,,fishbase,wild
Thunnus thynnus,seed,B,anage;fishbase,seed,wild
Thunnus tonggol,fishbase,C,,fishbase,wild
Thymallus arcticus,anage,B,fishbase,anage,wild
Thymallus baicalensis,fishbase,C,,fishbase,unrecorded
Thymallus nigrescens,fishbase,C,,fishbase,unrecorded
Thymallus thymallus,fishbase,C,,fishbase,wild
Thymallus tugarinae,fishbase,C,,fishbase,wild
Thyriscus anoplus,fishbase,C,,fishbase,wild
Thyrsites atun,anage,B,fishbase,anage,wild
Tilapia rendalli,anage,B,,anage,wild
Tilapia zillii,anage,B,,anage,wild
Tinca tinca,fishbase,C,,fishbase,unrecorded
Tor tor,fishbase,C,,fishbase,wild
Totoaba macdonaldi,anage,B,fishbase,anage,wild
Trachelochismus melobesia,anage,B,fishbase,anage,wild
Trachelyopterus galeatus,fishbase,C,,fishbase,wild
Trachinocephalus myops,anage,B,fishbase,anage,wild
Trachinocephalus trachinus,fishbase,C,,fishbase,unrecorded
Trachinotus carolinus,fishbase,C,,fishbase,wild
Trachinotus falcatus,fishbase,C,,fishbase,wild
Trachurus declivis,anage,B,fishbase,anage,wild
Trachurus indicus,fishbase,C,,fishbase,unrecorded
Trachurus japonicus,fishbase,C,,fishbase,wild
Trachurus mediterraneus,fishbase,C,,fishbase,unrecorded
Trachurus murphyi,anage,B,fishbase,anage,wild
Trachurus novaezelandiae,anage,B,fishbase,anage,wild
Trachurus picturatus,fishbase,C,,fishbase,wild
Trachurus symmetricus,anage,B,fishbase,anage,wild
Trachurus trachurus,fishbase,C,,fishbase,unrecorded
Trachyrincus scabrus,fishbase,C,,fishbase,wild
Trachystoma petardi,fishbase,C,,fishbase,wild
Trematomus bernacchii,anage,B,fishbase,anage,wild
Trematomus eulepidotus,fishbase,C,,fishbase,unrecorded
Trematomus hansoni,fishbase,C,,fishbase,unrecorded
Trematomus lepidorhinus,fishbase,C,,fishbase,unrecorded
Trematomus loennbergii,fishbase,C,,fishbase,unrecorded
Trematomus newnesi,fishbase,C,,fishbase,unrecorded
Trematomus nicolai,fishbase,C,,fishbase,unrecorded
Trematomus pennellii,fishbase,C,,fishbase,unrecorded
Trematomus scotti,fishbase,C,,fishbase,unrecorded
Trichiurus japonicus,fishbase,C,,fishbase,wild
Trichiurus lepturus,anage,B,,anage,wild
Trichomycterus itacarambiensis,fishbase,C,,fishbase,wild
Trigla lyra,anage,B,fishbase,anage,wild
Triglops forficatus,fishbase,C,,fishbase,wild
Triglops pingelii,fishbase,C,,fishbase,wild
Triglops scepticus,fishbase,C,,fishbase,wild
Trimma benjamini,fishbase,C,,fishbase,wild
Trimma nasa,fishbase,C,,fishbase,unrecorded
Trinectes maculatus,anage,B,fishbase,anage,wild
Triphoturus mexicanus,fishbase,C,,fishbase,unrecorded
Trisopterus esmarkii,anage,B,fishbase,anage,wild
Trisopterus luscus,anage,B,fishbase,anage,wild
Trisopterus minutus,fishbase,C,,fishbase,unrecorded
Tristramella simonis,fishbase,C,,fishbase,unrecorded
Tropheus moorii,fishbase,C,,fishbase,wild
Tropidophoxinellus hellenicus,fishbase,C,,fishbase,unrecorded
Tropidophoxinellus spartiaticus,fishbase,C,,fishbase,wild
Turcinoemacheilus bahaii,fishbase,C,,fishbase,wild
Tylosurus acus,fishbase,C,,fishbase,unrecorded
Tylosurus crocodilus,fishbase,C,,fishbase,unrecorded
Typhlichthys subterraneus,anage,B,fishbase,anage,wild
Ulvaria subbifurcata,fishbase,C,,fishbase,unrecorded
Umbra krameri,fishbase,C,,fishbase,wild
Umbra limi,anage,B,fishbase,anage,wild
Umbrina canariensis,fishbase,C,,fishbase,wild
Umbrina canosai,fishbase,C,,fishbase,wild
Umbrina cirrosa,fishbase,C,,fishbase,wild
Umbrina roncador,fishbase,C,,fishbase,unrecorded
Upeneus moluccensis,anage,B,fishbase,anage,wild
Upeneus sulphureus,fishbase,C,,fishbase,unrecorded
Urophycis cirrata,fishbase,C,,fishbase,wild
Urophycis tenuis,anage,B,fishbase,anage,wild
Valencia hispanica,fishbase,C,,fishbase,wild
Valencia letourneuxi,fishbase,C,,fishbase,wild
Valenciennea muralis,fishbase,C,,fishbase,unrecorded
Valenciennea strigata,fishbase,C,,fishbase,wild
Variola albimarginata,fishbase,C,,fishbase,unrecorded
Variola louti,fishbase,C,,fishbase,unrecorded
Verasper moseri,fishbase,C,,fishbase,unrecorded
Vexillichthys atripinnis,fishbase,C,,fishbase,wild
Vimba mirabilis,fishbase,C,,fishbase,unrecorded
Vimba vimba,fishbase,C,,fishbase,wild
Vinciguerria attenuata,fishbase,C,,fishbase,unrecorded
Vinciguerria lucetia,fishbase,C,,fishbase,wild
Vinciguerria nimbaria,fishbase,C,,fishbase,unrecorded
Wattsia mossambica,fishbase,C,,fishbase,unrecorded
Xiphias gladius,fishbase,C,,fishbase,unrecorded
Xiphister mucosus,fishbase,C,,fishbase,wild
Xyrichtys novacula,fishbase,C,,fishbase,wild
Zaprora silenus,fishbase,C,,fishbase,wild
Zebrasoma flavescens,fishbase,C,,fishbase,unrecorded
Zebrasoma scopas,fishbase,C,,fishbase,wild
Zebrasoma velifer,fishbase,C,,fishbase,wild
Zenopsis nebulosa,fishbase,C,,fishbase,wild
Zeus faber,anage,B,fishbase,anage,wild
Zoarces americanus,anage,B,fishbase,anage,wild
Zoarces viviparus,anage,B,fishbase,anage,wild
Acris blanchardi,amphibio,C,,amphibio,unrecorded
Acris crepitans,anage,C,amphibio,anage,captive
Agalychnis callidryas,seed,B,,seed,wild+captive
Agalychnis spurrelli,anage,B,amphibio,anage,captive
Allobates femoralis,amphibio,C,,amphibio,unrecorded
Alytes cisternasii,amphibio,C,,amphibio,unrecorded
Alytes obstetricans,amphibio,C,,amphibio,unrecorded
Ambystoma jeffersonianum,amphibio,C,,amphibio,unrecorded
Ambystoma maculatum,anage,B,amphibio,anage,unrecorded
Ambystoma mavortium,amphibio,C,,amphibio,unrecorded
Ambystoma mexicanum,seed,B,amphibio;anage,seed,wild+captive
Ambystoma talpoideum,anage,B,amphibio,anage,unrecorded
Ambystoma texanum,anage,B,amphibio,anage,captive
Ambystoma tigrinum,seed,B,amphibio;anage,seed,wild+captive
Ameerega hahneli,amphibio,C,,amphibio,unrecorded
Amietophrynus pardalis,amphibio,C,,amphibio,unrecorded
Amolops mantzorum,amphibio,C,,amphibio,unrecorded
Amphiuma means,seed,B,amphibio;anage,seed,wild+captive
Anaxyrus americanus,seed,B,amphibio;anage,seed,wild+captive
Anaxyrus baxteri,amphibio,C,,amphibio,unrecorded
Anaxyrus californicus,anage,B,amphibio,anage,wild
Anaxyrus cognatus,anage,C,amphibio,anage,captive
Anaxyrus fowleri,amphibio,C,,amphibio,unrecorded
Anaxyrus punctatus,anage,B,amphibio,anage,captive
Anaxyrus terrestris,anage,B,amphibio,anage,captive
Anaxyrus woodhousii,amphibio,C,,amphibio,unrecorded
Andrias davidianus,amphibio,C,,amphibio,unrecorded
Andrias japonicus,seed,B,amphibio;anage,seed,wild+captive
Aneides aeneus,amphibio,C,,amphibio,unrecorded
Argenteohyla siemersi,amphibio,C,,amphibio,unrecorded
Arthroleptis poecilonotus,amphibio,C,,amphibio,unrecorded
Babina pleuraden,amphibio,C,,amphibio,unrecorded
Batrachoseps attenuatus,amphibio,C,,amphibio,unrecorded
Batrachuperus tibetanus,amphibio,C,,amphibio,unrecorded
Boehmantis microtympanum,amphibio,C,,amphibio,unrecorded
Bombina bombina,anage,B,amphibio,anage,captive
Bombina orientalis,anage,B,amphibio,anage,captive
Bombina variegata,anage,B,amphibio,anage,captive
Boophis tsilomaro,amphibio,C,,amphibio,unrecorded
Bufo bufo,seed,B,amphibio;anage,seed,wild+captive
Bufo gargarizans,amphibio,C,,amphibio,unrecorded
Bufo japonicus,amphibio,C,,amphibio,unrecorded
Bufo pentoni,amphibio,C,,amphibio,unrecorded
Bufo stejnegeri,amphibio,C,,amphibio,unrecorded
Calotriton asper,anage,B,amphibio,anage,wild
Ceratophrys cornuta,anage,B,amphibio,anage,captive
Ceratophrys ornata,seed,B,amphibio;anage,seed,wild+captive
Chioglossa lusitanica,amphibio,C,,amphibio,unrecorded
Conraua goliath,anage,B,amphibio,anage,captive
Crinia signifera,amphibio,C,,amphibio,unrecorded
Cryptobranchus alleganiensis,seed,B,amphibio;anage,seed,wild+captive
Cynops pyrrhogaster,anage,B,amphibio,anage,captive
Dendrobates tinctorius,seed,B,amphibio,seed,wild+captive
Desmognathus monticola,anage,B,amphibio,anage,captive
Desmognathus ochrophaeus,anage,B,amphibio,anage,captive
Desmognathus ocoee,amphibio,C,,amphibio,unrecorded
Desmognathus quadramaculatus,anage,B,amphibio,anage,captive
Diaglena spatulata,anage,B,amphibio,anage,captive
Discoglossus galganoi,amphibio,C,,amphibio,unrecorded
Duttaphrynus melanostictus,amphibio,C,,amphibio,unrecorded
Dyscophus antongilii,amphibio,C,,amphibio,unrecorded
Dyscophus guineti,amphibio,C,,amphibio,unrecorded
Ensatina eschscholtzii,amphibio,C,,amphibio,unrecorded
