hour,price_usd_mwh,charge_mw,discharge_mw,soc_mwh
241,23.23,0.0,0.0,1.3689
242,12.41,1.0,0.0,1.3689
243,13.58,1.0,0.0,2.2962
244,49.54,0.0,1.0,3.2236
245,16.22,1.0,0.0,2.1453
246,19.19,1.0,0.0,3.0726
247,58.63,0.0,1.0,4.0
248,89.48,0.0,1.0,2.9217
249,21.34,1.0,0.0,1.8433
250,26.68,0.4884,0.0,2.7707
251,31.35,0.0,0.0,3.2236
252,47.29,0.0,1.0,3.2236
253,18.12,1.0,0.0,2.1453
254,25.39,1.0,0.0,3.0726
255,41.32,0.0,1.0,4.0
256,41.54,0.0,1.0,2.9217
257,34.09,0.0,0.0,1.8433
258,38.4,0.0,1.0,1.8433
259,24.49,1.0,0.0,0.765
260,34.6,0.0,0.5694,1.6924
261,31.98,0.0,0.0,1.0783
262,35.71,0.0,1.0,1.0783
263,25.87,1.0,0.0,0.0
264,30.02,0.0,0.0,0.9274
265,34.22,0.0,0.86,0.9274
266,24.24,1.0,0.0,0.0
267,25.67,0.3133,0.0,0.9274
268,23.96,1.0,0.0,1.2179
269,25.46,1.0,0.0,2.1453
270,21.88,1.0,0.0,3.0726
271,34.43,0.0,0.0,4.0
272,31.29,0.0,0.0,4.0
273,66.91,0.0,1.0,4.0
274,52.64,0.0,1.0,2.9217
275,31.84,0.0,0.0,1.8433
276,-1.74,1.0,0.0,1.8433
277,17.34,1.0,0.0,2.7707
278,41.98,0.0,1.0,3.6981
279,34.51,0.0,0.1494,2.6197
280,42.21,0.0,1.0,2.4586
281,21.11,1.0,0.0,1.3803
282,55.67,0.0,1.0,2.3076
283,46.46,0.0,1.0,1.2293
284,25.5,1.0,0.0,0.151
285,29.77,0.0,0.0,1.0783
286,36.1,0.0,1.0,1.0783
287,32.0,0.0,0.0,0.0
288,22.98,1.0,0.0,0.0
289,23.15,1.0,0.0,0.9274
290,21.02,1.0,0.0,1.8547
291,23.94,1.0,0.0,2.7821
292,39.36,0.0,1.0,3.7094
293,10.37,1.0,0.0,2.6311
294,25.93,0.4761,0.0,3.5585
295,32.79,0.0,0.58,4.0
296,35.9,0.0,1.0,3.3746
297,28.24,0.0,0.0,2.2962
298,16.41,1.0,0.0,2.2962
299,31.2,0.0,0.0,3.2236
300,47.26,0.0,1.0,3.2236
301,14.96,1.0,0.0,2.1453
302,-6.19,1.0,0.0,3.0726
303,28.06,0.0,0.0,4.0
304,34.92,0.0,0.86,4.0
305,26.9,1.0,0.0,3.0726
306,35.79,0.0,0.0,4.0
307,62.46,0.0,1.0,4.0
308,46.12,0.0,0.5694,2.9217
309,64.38,0.0,1.0,2.3076
310,49.71,0.0,1.0,1.2293
311,36.64,1.0,0.0,0.151
312,46.86,0.0,1.0,1.0783
313,27.99,1.0,0.0,0.0
314,30.67,0.0,0.0,0.9274
315,20.46,1.0,0.0,0.9274
316,24.07,1.0,0.0,1.8547
317,19.94,1.0,0.0,2.7821
318,39.83,0.0,1.0,3.7094
319,20.41,1.0,0.0,2.6311
320,42.57,0.0,1.0,3.5585
321,30.09,0.0,0.0,2.4802
322,45.73,0.0,1.0,2.4802
323,36.18,0.0,0.02,1.4018
324,48.83,0.0,1.0,1.3803
325,33.05,0.0,0.0,0.3019
326,15.96,1.0,0.0,0.3019
327,30.75,0.0,0.0,1.2293
328,23.67,1.0,0.0,1.2293
329,32.43,0.0,0.0,2.1567
330,68.29,0.0,1.0,2.1567
331,49.53,0.0,1.0,1.0783
332,29.45,0.0,0.0,0.0
333,24.62,1.0,0.0,0.0
334,33.3,0.0,0.0,0.9274
335,20.53,1.0,0.0,0.9274
336,20.13,1.0,0.0,1.8547
337,26.78,1.0,0.0,2.7821
338,34.4,0.0,1.0,3.7094
339,28.09,0.0,0.0,2.6311
340,10.55,1.0,0.0,2.6311
341,28.32,0.0,0.0,3.5585
342,28.89,0.0,0.0,3.5585
343,35.63,0.0,1.0,3.5585
344,56.99,0.0,1.0,2.4802
345,15.62,1.0,0.0,1.4018
346,24.68,1.0,0.0,2.3292
347,34.21,0.0,0.1706,3.2565
348,14.84,1.0,0.0,3.0726
349,42.9,0.0,1.0,4.0
350,31.47,1.0,0.0,2.9217
351,42.34,0.0,1.0,3.849
352,29.22,1.0,0.0,2.7707
353,51.7,0.0,1.0,3.6981
354,58.49,0.0,1.0,2.6197
355,42.99,0.0,1.0,1.5414
356,40.83,0.0,0.4294,0.4631
357,38.6,0.0,0.0,0.0
358,24.34,1.0,0.0,0.0
359,29.84,0.0,0.0,0.9274
360,24.13,1.0,0.0,0.9274
361,27.45,0.0,0.0,1.8547
362,32.57,0.0,0.4506,1.8547
363,15.67,1.0,0.0,1.3689
364,22.51,1.0,0.0,2.2962
365,42.75,0.0,1.0,3.2236
366,21.71,1.0,0.0,2.1453
367,23.12,1.0,0.0,3.0726
368,34.75,0.0,0.0,4.0
369,43.22,0.0,1.0,4.0
370,30.47,0.6634,0.0,2.9217
371,44.29,0.0,1.0,3.5369
372,-5.36,1.0,0.0,2.4586
373,34.36,0.0,0.0,3.3859
374,33.59,0.0,0.0,3.3859
375,71.1,0.0,1.0,3.3859
376,33.21,0.0,0.0,2.3076
377,19.28,1.0,0.0,2.3076
378,70.55,0.0,1.0,3.235
379,33.76,0.0,0.0,2.1567
380,39.06,0.0,1.0,2.1567
381,55.53,0.0,1.0,1.0783
382,18.79,1.0,0.0,0.0
383,20.28,1.0,0.0,0.9274
384,14.53,1.0,0.0,1.8547
385,18.18,1.0,0.0,2.7821
386,26.78,0.0,0.4506,3.7094
387,27.27,0.0,1.0,3.2236
388,25.9,0.0,0.0,2.1453
389,15.52,1.0,0.0,2.1453
390,12.55,1.0,0.0,3.0726
391,31.42,0.0,0.0,4.0
392,27.44,0.0,0.0,4.0
393,37.77,0.0,1.0,4.0
394,38.81,0.0,1.0,2.9217
395,29.2,0.3256,0.0,1.8433
396,33.69,0.0,0.0,2.1453
397,27.73,1.0,0.0,2.1453
398,33.31,0.0,0.0,3.0726
399,24.6,1.0,0.0,3.0726
400,33.51,0.0,0.0,4.0
401,41.66,0.0,1.0,4.0
402,53.62,0.0,1.0,2.9217
403,34.53,0.0,0.0,1.8433
404,45.14,0.0,1.0,1.8433
405,31.99,0.0,0.0,0.765
406,31.59,0.3379,0.0,0.765
407,42.01,0.0,1.0,1.0783
408,12.67,1.0,0.0,0.0
409,15.25,1.0,0.0,0.9274
410,13.67,1.0,0.0,1.8547
411,10.03,1.0,0.0,2.7821
412,18.55,0.3133,0.0,3.7094
413,33.09,0.0,1.0,4.0
414,25.5,1.0,0.0,2.9217
415,33.03,0.0,0.5694,3.849
416,47.39,0.0,1.0,3.235
417,51.19,0.0,1.0,2.1567
418,29.63,0.0,0.0,1.0783
419,44.68,0.0,1.0,1.0783
420,26.67,0.0,0.0,0.0
421,19.09,1.0,0.0,0.0
422,22.47,1.0,0.0,0.9274
423,18.75,1.0,0.0,1.8547
424,26.15,0.814,0.0,2.7821
425,34.3,0.0,1.0,3.5369
426,53.31,0.0,1.0,2.4586
427,72.37,0.0,1.0,1.3803
428,23.19,1.0,0.0,0.3019
429,40.29,0.0,1.0,1.2293
430,22.87,1.0,0.0,0.151
431,37.1,0.0,1.0,1.0783
432,24.31,0.4761,0.0,0.0
433,12.65,1.0,0.0,0.4415
434,31.77,0.0,1.0,1.3689
435,18.37,1.0,0.0,0.2906
436,19.51,1.0,0.0,1.2179
437,17.51,1.0,0.0,2.1453
438,22.4,1.0,0.0,3.0726
439,35.8,0.0,0.0,4.0
440,30.3,0.0,0.0,4.0
441,36.08,0.0,0.72,4.0
442,34.45,0.0,0.0,3.2236
443,44.16,0.0,1.0,3.2236
444,22.9,1.0,0.0,2.1453
445,-14.27,1.0,0.0,3.0726
446,40.2,0.0,0.86,4.0
447,28.03,1.0,0.0,3.0726
448,52.7,0.0,1.0,4.0
449,44.47,0.0,0.0,2.9217
450,38.43,0.0,0.0,2.9217
451,44.77,0.0,0.7094,2.9217
452,74.46,0.0,1.0,2.1567
453,72.64,0.0,1.0,1.0783
454,33.73,0.0,0.0,0.0
455,33.24,0.0,0.0,0.0
456,37.1,0.0,0.0,0.0
457,17.86,1.0,0.0,0.0
458,25.8,0.0,0.0,0.9274
459,22.49,0.0,0.0,0.9274
460,26.25,0.0,0.0,0.9274
461,19.02,1.0,0.0,0.9274
462,16.15,1.0,0.0,1.8547
463,14.92,1.0,0.0,2.7821
464,21.89,0.3133,0.0,3.7094
465,27.39,0.0,0.0,4.0
466,27.39,0.0,0.0,4.0
467,54.8,0.0,1.0,4.0
468,38.03,0.0,1.0,2.9217
469,-13.98,1.0,0.0,1.8433
470,31.25,0.0,0.0,2.7707
471,27.3,1.0,0.0,2.7707
472,32.3,0.0,0.0,3.6981
473,41.49,0.0,1.0,3.6981
474,49.98,0.0,1.0,2.6197
475,35.19,0.0,0.1494,1.5414
476,54.58,0.0,1.0,1.3803
477,23.54,1.0,0.0,0.3019
478,32.99,0.0,0.0,1.2293
479,78.0,0.0,1.0,1.2293
480,27.52,1.0,0.0,0.151
481,39.64,0.0,1.0,1.0783
482,23.7,1.0,0.0,0.0
483,27.82,0.0,0.0,0.9274
484,23.05,1.0,0.0,0.9274
485,23.98,1.0,0.0,1.8547
