species,article,months,views_total,views_mean_monthly
Amazilia yucatanensis,Buff-bellied hummingbird,120,41662,347.18
Androdon aequatorialis,Tooth-billed hummingbird,120,19287,160.72
Anopetia gounellei,Broad-tipped hermit,120,8125,67.71
Anthocephala berlepschi,Tolima blossomcrown,93,3161,33.99
Anthocephala floriceps,Santa Marta blossomcrown,120,6820,56.83
Anthracothorax aurulentus,Puerto Rican mango,41,6632,161.76
Anthracothorax dominicus,Hispaniolan mango,41,6579,160.46
Anthracothorax mango,Jamaican mango,120,23184,193.20
Anthracothorax nigricollis,Black-throated mango,120,32396,269.97
Anthracothorax prevostii,Green-breasted mango,120,50116,417.63
Anthracothorax veraguensis,Veraguan mango,120,8839,73.66
Anthracothorax viridigula,Green-throated mango,120,12707,105.89
Anthracothorax viridis,Green mango,120,57176,476.47
Aphantochroa cirrochloris,Sombre hummingbird,120,7095,59.12
Archilochus alexandri,Black-chinned hummingbird,120,325031,2708.59
Archilochus colubris,Ruby-throated hummingbird,120,880189,7334.91
Atthis ellioti,Wine-throated hummingbird,120,13624,113.53
Atthis heloisa,Bumblebee hummingbird,120,74441,620.34
Augastes lumachella,Hooded visorbearer,120,19907,165.89
Augastes scutatus,Hyacinth visorbearer,120,8820,73.50
Avocettula recurvirostris,Fiery-tailed awlbill,120,11406,95.05
Basilinna leucotis,White-eared hummingbird,120,23644,197.03
Basilinna xantusii,Xantus's hummingbird,120,52136,434.47
Boissonneaua flavescens,Buff-tailed coronet,120,21885,182.38
Boissonneaua jardini,Velvet-purple coronet,120,19502,162.52
Boissonneaua matthewsii,Chestnut-breasted coronet,120,11171,93.09
Calliphlox amethystina,Amethyst woodstar,120,22170,184.75
Calliphlox bryantae,Magenta-throated woodstar,120,11842,98.68
Calliphlox mitchellii,Purple-throated woodstar,120,15888,132.40
Calothorax lucifer,Lucifer sheartail,120,27490,229.08
Calothorax pulcher,Beautiful sheartail,120,8206,68.38
Calypte anna,Anna's hummingbird,120,969190,8076.58
Calypte costae,Costa's hummingbird,120,142527,1187.72
Campylopterus curvipennis,Wedge-tailed sabrewing,120,9736,81.13
Campylopterus cuvierii,Scaly-breasted hummingbird,120,11188,93.23
Campylopterus duidae,Buff-breasted sabrewing,120,4876,40.63
Campylopterus ensipennis,White-tailed sabrewing,120,14564,121.37
Campylopterus falcatus,Lazuline sabrewing,120,7525,62.71
Campylopterus hemileucurus,Violet sabrewing,120,52202,435.02
Campylopterus hyperythrus,Rufous-breasted sabrewing,120,5141,42.84
Campylopterus largipennis,Grey-breasted sabrewing,120,5743,47.86
Campylopterus phainopeplus,Santa Marta sabrewing,120,13647,113.72
Campylopterus rufus,Rufous sabrewing,120,7735,64.46
Campylopterus villaviscensio,Napo sabrewing,120,5971,49.76
Chaetocercus astreans,Santa Marta woodstar,120,5494,45.78
