species,article,months,views_total,views_mean_monthly
Phylloscopus ruficapilla,Yellow-throated woodland warbler,120,6384,53.20
Phylloscopus sarasinorum,Lompobattang leaf warbler,56,1053,18.80
Phylloscopus schwarzi,Radde's warbler,120,19893,165.78
Phylloscopus sibilatrix,Wood warbler,120,181440,1512.00
Phylloscopus sindianus,Mountain chiffchaff,120,14682,122.35
Phylloscopus soror,Alström's warbler,120,5645,47.04
Phylloscopus suaramerdu,Island leaf warbler,120,3446,28.72
Phylloscopus subaffinis,Buff-throated warbler,120,4342,36.18
Phylloscopus subviridis,Brooks's leaf warbler,120,5329,44.41
Phylloscopus sumatrensis,,0,,
Phylloscopus tenellipes,Pale-legged leaf warbler,120,15762,131.35
Phylloscopus tephrocephalus,Grey-crowned warbler,120,6865,57.21
Phylloscopus tristis,Siberian chiffchaff,120,21017,175.14
Phylloscopus trivirgatus,Mountain leaf warbler,120,5595,46.62
Phylloscopus trochiloides,Greenish warbler,120,74134,617.78
Phylloscopus trochilus,Willow warbler,120,462711,3855.93
Phylloscopus tytleri,Tytler's leaf warbler,120,9417,78.47
Phylloscopus umbrovirens,Brown woodland warbler,120,5877,48.98
Phylloscopus valentini,Bianchi's warbler,120,4659,38.83
Phylloscopus whistleri,Whistler's warbler,120,6840,57.00
Phylloscopus xanthodryas,Japanese leaf warbler,120,9546,79.55
Phylloscopus xanthoschistos,Grey-hooded warbler,120,12480,104.00
Phylloscopus yunnanensis,Chinese leaf warbler,120,8186,68.22
Picathartes gymnocephalus,White-necked rockfowl,120,71628,596.90
Picathartes oreas,Grey-necked rockfowl,120,25920,216.00
Antilophia bokermanni,Araripe manakin,120,48996,408.30
Antilophia galeata,Helmeted manakin,120,12698,105.82
Ceratopipra chloromeros,Round-tailed manakin,120,4788,39.90
Ceratopipra cornuta,Scarlet-horned manakin,120,5273,43.94
Ceratopipra erythrocephala,Golden-headed manakin,120,18519,154.32
Ceratopipra mentalis,Red-capped manakin,120,61344,511.20
Ceratopipra rubrocapilla,Red-headed manakin,120,7738,64.48
Chiroxiphia boliviana,Yungas manakin,120,4694,39.12
Chiroxiphia caudata,Blue manakin,120,46036,383.63
Chiroxiphia lanceolata,Lance-tailed manakin,120,23526,196.05
Chiroxiphia linearis,Long-tailed manakin,120,36937,307.81
Chiroxiphia pareola,Blue-backed manakin,120,18012,150.10
Chloropipo flavicapilla,Yellow-headed manakin,120,4120,34.33
Chloropipo unicolor,Jet manakin,120,4228,35.23
Corapipo gutturalis,White-throated manakin,120,5048,42.07
Corapipo leucorrhoa,White-bibbed manakin,120,3901,32.51
Cryptopipo holochlora,Green manakin,120,5460,45.50
Cryptopipo litae,Choco manakin,37,896,24.22
Heterocercus aurantiivertex,Orange-crested manakin,120,3355,27.96
Heterocercus flavivertex,Yellow-crested manakin,120,3650,30.42
Heterocercus linteatus,Flame-crested manakin,120,3531,29.43
Ilicura militaris,Pin-tailed manakin,120,9626,80.22
Lepidothrix coeruleocapilla,Cerulean-capped manakin,120,14099,117.49
Lepidothrix coronata,Blue-capped manakin,41,5465,133.29
Lepidothrix iris,Opal-crowned manakin,120,6945,57.88
Lepidothrix isidorei,Blue-rumped manakin,120,5248,43.73
Lepidothrix nattereri,Snow-capped manakin,120,6845,57.04
Lepidothrix serena,White-fronted manakin,120,4822,40.18
Lepidothrix suavissima,Orange-bellied manakin,120,4466,37.22
Lepidothrix vilasboasi,Golden-crowned manakin,120,12500,104.17
Machaeropterus deliciosus,Club-winged manakin,120,73002,608.35
Machaeropterus eckelberryi,Painted manakin,91,3597,39.53
Machaeropterus pyrocephalus,Fiery-capped manakin,120,5059,42.16
Machaeropterus regulus,Kinglet manakin,91,5855,64.34
Machaeropterus striolatus,Striolated manakin,91,6630,72.86
Manacus aurantiacus,Orange-collared manakin,120,9384,78.20
Manacus candei,White-collared manakin,120,17351,144.59
Manacus manacus,White-bearded manakin,120,16311,135.93
Manacus vitellinus,Golden-collared manakin,120,13618,113.48
Masius chrysopterus,Golden-winged manakin,120,5531,46.09
Neopelma aurifrons,Wied's tyrant-manakin,120,3080,25.67
Neopelma chrysocephalum,Saffron-crested tyrant-manakin,120,5257,43.81
Neopelma chrysolophum,Serra do Mar tyrant-manakin,120,3292,27.43
Neopelma pallescens,Pale-bellied tyrant-manakin,120,3353,27.94
Neopelma sulphureiventer,Sulphur-bellied tyrant-manakin,120,3414,28.45
Pipra aureola,Crimson-hooded manakin,120,9502,79.18
Pipra fasciicauda,Band-tailed manakin,120,10318,85.98
Pipra filicauda,Wire-tailed manakin,120,17641,147.01
Pseudopipra pipra,White-crowned manakin,120,11128,92.73
Tyranneutes stolzmanni,Dwarf tyrant-manakin,120,5681,47.34
Tyranneutes virescens,Tiny tyrant-manakin,120,9338,77.82
Xenopipo atronitens,Black manakin,120,5646,47.05
Xenopipo uniformis,Olive manakin,120,3323,27.69
Erythropitta arquata,Blue-banded pitta,120,10986,91.55
Erythropitta caeruleitorques,Sulawesi pitta,109,6638,60.90
Erythropitta celebensis,Sulawesi pitta,109,6638,60.90
Erythropitta dohertyi,Sula pitta,120,5922,49.35
Erythropitta erythrogaster,Philippine pitta,109,13835,126.93
Erythropitta gazellae,Bismarck pitta,109,4056,37.21
Erythropitta granatina,Garnet pitta,120,13050,108.75
Erythropitta inspeculata,Philippine pitta,109,13835,126.93
Erythropitta kochi,Whiskered pitta,120,14090,117.42
Erythropitta macklotii,Papuan pitta,109,29815,273.53
Erythropitta meeki,Louisiade pitta,109,6035,55.37
Erythropitta novaehibernicae,Bismarck pitta,109,4056,37.21
Erythropitta palliceps,Sulawesi pitta,109,6638,60.90
Erythropitta rubrinucha,South Moluccan pitta,109,4033,37.00
Erythropitta rufiventris,North Moluccan pitta,109,4363,40.03
Erythropitta splendida,Bismarck pitta,109,4056,37.21
Erythropitta ussheri,Black-crowned pitta,120,12376,103.13
Erythropitta venusta,Graceful pitta,120,15642,130.35
Hydrornis baudii,Blue-headed pitta,120,10509,87.58
Hydrornis caeruleus,Giant pitta,120,11661,97.17
Hydrornis cyaneus,Blue pitta,120,21921,182.68
Hydrornis elliotii,Bar-bellied pitta,120,9146,76.22
Hydrornis guajanus,Javan banded pitta,120,16431,136.93
Hydrornis gurneyi,Gurney's pitta,120,28023,233.53
Hydrornis irena,Malayan banded pitta,120,19975,166.46
Hydrornis nipalensis,Blue-naped pitta,120,12304,102.53
Hydrornis oatesi,Rusty-naped pitta,120,12559,104.66
Hydrornis phayrei,Eared pitta,120,11003,91.69
Hydrornis schneideri,Schneider's pitta,120,7021,58.51
Hydrornis schwaneri,Bornean banded pitta,120,8959,74.66
Hydrornis soror,Blue-rumped pitta,120,8899,74.16
Pitta anerythra,Black-faced pitta,120,8139,67.83
Pitta angolensis,African pitta,120,28436,236.97
Pitta brachyura,Indian pitta,120,190348,1586.23
Pitta elegans,Elegant pitta,120,9604,80.03
Pitta iris,Rainbow pitta,120,74657,622.14
Pitta maxima,Ivory-breasted pitta,120,9998,83.32
Pitta megarhyncha,Mangrove pitta,120,30500,254.17
Pitta moluccensis,Blue-winged pitta,120,54032,450.27
Pitta morotaiensis,,0,,
Pitta novaeguineae,Eastern hooded pitta,24,1331,55.46
Pitta nympha,Fairy pitta,120,51803,431.69
Pitta reichenowi,Green-breasted pitta,120,10871,90.59
Pitta rosenbergii,Biak hooded pitta,24,842,35.08
Pitta sordida,Western hooded pitta,24,8173,340.54
Pitta steerii,Azure-breasted pitta,120,11951,99.59
Pitta superba,Superb pitta,120,23176,193.13
Pitta versicolor,Noisy pitta,120,45555,379.62
Pityriasis gymnocephala,Bornean bristlehead,120,22629,188.57
Platylophus galericulatus,Crested jayshrike,48,17461,363.77
Batis capensis,Cape batis,120,17962,149.68
Batis crypta,Dark batis,120,3605,30.04
Batis dimorpha,Malawi batis,120,793,6.61
Batis diops,Rwenzori batis,90,3492,38.80
Batis erlangeri,Western black-headed batis,120,3267,27.23
Batis fratrum,Woodwards' batis,39,330,8.46
Batis ituriensis,Ituri batis,120,3409,28.41
Batis margaritae,Margaret's batis,120,4526,37.72
Batis minima,Gabon batis,120,2859,23.82
Batis minor,Eastern black-headed batis,120,2625,21.88
Batis minulla,Angola batis,120,1918,15.98
Batis mixta,Forest batis,120,4118,34.32
Batis molitor,Chinspot batis,120,20226,168.55
Batis occulta,West African batis,120,3338,27.82
Batis orientalis,Grey-headed batis,120,3978,33.15
Batis perkeo,Pygmy batis,120,3899,32.49
Batis poensis,Fernando Po batis,120,4949,41.24
Batis pririt,Pririt batis,120,7243,60.36
Batis reichenowi,Forest batis,120,4118,34.32
Batis senegalensis,Senegal batis,120,6110,50.92
Batis soror,Pale batis,120,4843,40.36
Dyaphorophyia ansorgei,,0,,
Dyaphorophyia blissetti,Red-cheeked wattle-eye,120,3298,27.48
Dyaphorophyia castanea,Chestnut wattle-eye,120,4723,39.36
Dyaphorophyia chalybea,Black-necked wattle-eye,120,3826,31.88
Dyaphorophyia concreta,Yellow-bellied wattle-eye,120,4501,37.51
Dyaphorophyia hormophora,West African wattle-eye,120,3245,27.04
Dyaphorophyia jamesoni,Jameson's wattle-eye,120,8165,68.04
Dyaphorophyia tonsa,White-spotted wattle-eye,120,3068,25.57
Lanioturdus torquatus,White-tailed shrike,120,6464,53.87
Platysteira albifrons,White-fronted wattle-eye,120,2898,24.15
Platysteira cyanea,Brown-throated wattle-eye,120,11429,95.24
Platysteira laticincta,Banded wattle-eye,120,4802,40.02
Platysteira peltata,Black-throated wattle-eye,120,9944,82.87
Amblyospiza albifrons,Thick-billed weaver,120,25681,214.01
Anaplectes jubaensis,Red weaver,35,1243,35.51
Anaplectes leuconotos,,0,,
Anaplectes rubriceps,Red-headed weaver,120,23872,198.93
Brachycope anomala,Bob-tailed weaver,120,5547,46.23
Bubalornis albirostris,White-billed buffalo weaver,120,10400,86.67
Bubalornis niger,Red-billed buffalo weaver,120,61998,516.65
Dinemellia dinemelli,White-headed buffalo weaver,120,45020,375.17
Euplectes afer,Yellow-crowned bishop,120,37908,315.90
Euplectes albonotatus,White-winged widowbird,120,12430,103.58
Euplectes ardens,Red-collared widowbird,120,29186,243.22
Euplectes aureus,Golden-backed bishop,120,4913,40.94
Euplectes axillaris,Fan-tailed widowbird,120,12392,103.27
Euplectes capensis,Yellow bishop,120,21254,177.12
Euplectes diadematus,Fire-fronted bishop,120,5265,43.88
Euplectes franciscanus,Northern red bishop,120,63337,527.81
Euplectes gierowii,Black bishop,120,12995,108.29
Euplectes hartlaubi,Marsh widowbird,120,5496,45.80
Euplectes hordeaceus,Black-winged red bishop,120,15053,125.44
Euplectes jacksoni,Jackson's widowbird,120,22688,189.07
Euplectes laticauda,Red-cowled widowbird,38,2134,56.16
Euplectes macroura,Yellow-mantled widowbird,120,11686,97.38
Euplectes nigroventris,Zanzibar red bishop,120,8373,69.78
Euplectes orix,Southern red bishop,120,82184,684.87
Euplectes progne,Long-tailed widowbird,120,192496,1604.13
Euplectes psammacromius,Montane widowbird,120,5666,47.22
Foudia aldabrana,Aldabra fody,120,8406,70.05
Foudia consobrina,,0,,
Foudia eminentissima,Comoros fody,120,4773,39.77
Foudia flavicans,Rodrigues fody,120,16553,137.94
Foudia madagascariensis,Red fody,120,73975,616.46
Foudia omissa,Forest fody,120,6529,54.41
Foudia rubra,Mauritius fody,120,37498,312.48
Foudia sechellarum,Seychelles fody,120,16332,136.10
Histurgops ruficauda,Rufous-tailed weaver,120,11259,93.83
Malimbus ballmanni,Gola malimbe,120,9721,81.01
Malimbus cassini,Cassin's malimbe,120,3777,31.48
Malimbus coronatus,Red-crowned malimbe,120,4799,39.99
Malimbus erythrogaster,Red-bellied malimbe,120,3724,31.03
Malimbus ibadanensis,Ibadan malimbe,120,22235,185.29
Malimbus malimbicus,Crested malimbe,120,5591,46.59
Malimbus nitens,Blue-billed malimbe,120,6116,50.97
Malimbus racheliae,Rachel's malimbe,120,4691,39.09
Malimbus rubricollis,Red-headed malimbe,120,7680,64.00
Malimbus scutatus,Red-vented malimbe,120,4537,37.81
Philetairus socius,Sociable weaver,120,208159,1734.66
Plocepasser donaldsoni,Donaldson Smith's sparrow-weaver,120,4761,39.67
Plocepasser mahali,White-browed sparrow-weaver,120,38870,323.92
Plocepasser rufoscapulatus,Chestnut-backed sparrow-weaver,120,4945,41.21
Plocepasser superciliosus,Chestnut-crowned sparrow-weaver,120,7172,59.77
Ploceus albinucha,Maxwell's black weaver,120,4752,39.60
Ploceus alienus,Strange weaver,120,5560,46.33
Ploceus angolensis,Bar-winged weaver,120,4703,39.19
Ploceus aurantius,Orange weaver,120,15558,129.65
Ploceus aureonucha,Golden-naped weaver,120,3995,33.29
Ploceus badius,Cinnamon weaver,120,4987,41.56
Ploceus baglafecht,Baglafecht weaver,120,19055,158.79
Ploceus bannermani,Bannerman's weaver,120,5478,45.65
Ploceus batesi,Bates's weaver,120,4909,40.91
Ploceus benghalensis,Black-breasted weaver,120,25538,212.82
Ploceus bertrandi,Bertram's weaver,120,5267,43.89
Ploceus bicolor,Dark-backed weaver,120,8309,69.24
Ploceus bojeri,Golden palm weaver,120,9015,75.12
Ploceus brachypterus,Olive-naped weaver,38,1889,49.71
Ploceus burnieri,Kilombero weaver,120,5023,41.86
Ploceus capensis,Cape weaver,120,35482,295.68
Ploceus castaneiceps,Taveta weaver,120,22847,190.39
Ploceus castaneofuscus,Chestnut-and-black weaver,38,1846,48.58
Ploceus castanops,Northern brown-throated weaver,120,5364,44.70
Ploceus cucullatus,Village weaver,120,141388,1178.23
Ploceus dichrocephalus,Juba weaver,120,4192,34.93
Ploceus dorsomaculatus,Yellow-capped weaver,120,4304,35.87
Ploceus flavipes,Yellow-legged weaver,120,5244,43.70
Ploceus galbula,Rüppell's weaver,120,10378,86.48
Ploceus golandi,Kilifi weaver,16,510,31.88
Ploceus grandis,Giant weaver,120,6222,51.85
Ploceus heuglini,Heuglin's masked weaver,120,5202,43.35
Ploceus hypoxanthus,Asian golden weaver,120,17753,147.94
Ploceus insignis,Brown-capped weaver,120,4681,39.01
Ploceus intermedius,Lesser masked weaver,120,18686,155.72
Ploceus jacksoni,Golden-backed weaver,120,13461,112.17
Ploceus katangae,Katanga masked weaver,120,3449,28.74
Ploceus luteolus,Little weaver,120,8808,73.40
Ploceus manyar,Streaked weaver,120,27562,229.68
Ploceus megarhynchus,Finn's weaver,120,19065,158.88
Ploceus melanocephalus,Black-headed weaver,120,33254,277.12
Ploceus melanogaster,Black-billed weaver,120,5697,47.48
Ploceus nelicourvi,Nelicourvi weaver,120,8459,70.49
Ploceus nicolli,Usambara weaver,120,5469,45.58
Ploceus nigerrimus,Vieillot's black weaver,120,9613,80.11
Ploceus nigricollis,Black-necked weaver,120,11727,97.72
Ploceus nigrimentus,Black-chinned weaver,120,5041,42.01
Ploceus ocularis,Spectacled weaver,120,15733,131.11
Ploceus olivaceiceps,Olive-headed weaver,120,5088,42.40
Ploceus pelzelni,Slender-billed weaver,120,6490,54.08
Ploceus philippinus,Baya weaver,120,557632,4646.93
Ploceus preussi,Preuss's weaver,120,3546,29.55
Ploceus princeps,Príncipe weaver,120,4667,38.89
Ploceus reichardi,Tanzanian masked weaver,120,5255,43.79
Ploceus rubiginosus,Chestnut weaver,120,8643,72.03
Ploceus ruweti,Lufira masked weaver,120,3786,31.55
Ploceus sakalava,Sakalava weaver,120,9540,79.50
Ploceus sanctithomae,São Tomé weaver,120,4136,34.47
Ploceus spekei,Speke's weaver,120,14036,116.97
Ploceus spekeoides,Fox's weaver,120,5900,49.17
Ploceus subaureus,Eastern golden weaver,120,18371,153.09
Ploceus subpersonatus,Loango weaver,120,4771,39.76
Ploceus superciliosus,Compact weaver,120,8351,69.59
Ploceus taeniopterus,Northern masked weaver,120,5809,48.41
Ploceus temporalis,Bocage's weaver,120,3918,32.65
Ploceus tricolor,Yellow-mantled weaver,120,5878,48.98
Ploceus upembae,Katanga masked weaver,120,3449,28.74
Ploceus velatus,Southern masked weaver,120,128789,1073.24
Ploceus vitellinus,Vitelline masked weaver,120,11311,94.26
Ploceus weynsi,Weyns's weaver,120,3749,31.24
Ploceus xanthops,Holub's golden weaver,120,10359,86.33
Ploceus xanthopterus,Southern brown-throated weaver,120,7431,61.92
Pseudonigrita arnaudi,Grey-capped social weaver,120,11910,99.25
Pseudonigrita cabanisi,Black-capped social weaver,120,8250,68.75
Quelea cardinalis,Cardinal quelea,120,12617,105.14
Quelea erythrops,Red-headed quelea,120,13326,111.05
Quelea quelea,Red-billed quelea,120,351426,2928.55
Sporopipes frontalis,Speckle-fronted weaver,120,10995,91.62
Sporopipes squamifrons,Scaly-feathered weaver,120,12750,106.25
Pnoepyga albiventer,Scaly-breasted cupwing,116,7212,62.17
Pnoepyga formosana,Taiwan cupwing,107,3690,34.49
Pnoepyga immaculata,Nepal cupwing,76,3748,49.32
Pnoepyga pusilla,Pygmy cupwing,76,14118,185.76
Microbates cinereiventris,Tawny-faced gnatwren,120,4368,36.40
Microbates collaris,Collared gnatwren,120,6649,55.41
Polioptila albiloris,White-lored gnatcatcher,120,6604,55.03
Polioptila caerulea,Blue-gray gnatcatcher,120,206891,1724.09
Polioptila californica,California gnatcatcher,120,60517,504.31
Polioptila dumicola,Masked gnatcatcher,120,8813,73.44
Polioptila guianensis,Guianan gnatcatcher,120,3332,27.77
Polioptila lactea,Creamy-bellied gnatcatcher,120,6637,55.31
Polioptila lembeyei,Cuban gnatcatcher,120,5469,45.58
Polioptila maior,Marañón gnatcatcher,105,335,3.19
Polioptila melanura,Black-tailed gnatcatcher,120,27027,225.22
Polioptila nigriceps,Black-capped gnatcatcher,120,11352,94.60
Polioptila plumbea,Tropical gnatcatcher,120,9904,82.53
Polioptila schistaceigula,Slate-throated gnatcatcher,120,3058,25.48
Ramphocaenus melanurus,Trilling gnatwren,84,12434,148.02
Garritornis isidorei,Papuan babbler,120,3347,27.89
Pomatostomus halli,Hall's babbler,120,7707,64.22
Pomatostomus ruficeps,Chestnut-crowned babbler,120,14864,123.87
Pomatostomus superciliosus,White-browed babbler,120,17095,142.46
Pomatostomus temporalis,Grey-crowned babbler,120,31091,259.09
Promerops cafer,Cape sugarbird,120,89440,745.33
Promerops gurneyi,Gurney's sugarbird,120,12408,103.40
Prunella atrogularis,Black-throated accentor,120,14776,123.13
Prunella collaris,Alpine accentor,120,71014,591.78
Prunella fulvescens,Brown accentor,120,11729,97.74
Prunella himalayana,Altai accentor,120,9865,82.21
Prunella immaculata,Maroon-backed accentor,120,7383,61.52
Prunella koslowi,Kozlov's accentor,120,4676,38.97
Prunella modularis,,0,,
Prunella montanella,Siberian accentor,120,144431,1203.59
Prunella ocularis,Radde's accentor,120,10446,87.05
Prunella rubeculoides,Robin accentor,120,14314,119.28
Prunella rubida,Japanese accentor,120,12328,102.73
Prunella strophiata,Rufous-breasted accentor,120,11878,98.98
Androphobus viridis,Papuan whipbird,120,4912,40.93
Psophodes cristatus,Chirruping wedgebill,120,8487,70.72
Psophodes nigrogularis,Western whipbird,120,9312,77.60
Psophodes occidentalis,Chiming wedgebill,120,11699,97.49
Psophodes olivaceus,Eastern whipbird,120,137804,1148.37
Phainopepla nitens,,0,,
Phainoptila melanoxantha,Black-and-yellow phainoptila,120,9810,81.75
Ptiliogonys caudatus,Long-tailed silky-flycatcher,120,14861,123.84
Ptiliogonys cinereus,Grey silky-flycatcher,120,9541,79.51
Ailuroedus buccoides,White-eared catbird,120,22587,188.22
Ailuroedus crassirostris,Green catbird,120,84833,706.94
Ailuroedus melanotis,Black-eared catbird,116,12784,110.21
Amblyornis flavifrons,Golden-fronted bowerbird,120,15153,126.28
Amblyornis inornata,Vogelkop bowerbird,120,55406,461.72
Amblyornis macgregoriae,MacGregor's bowerbird,120,52484,437.37
Amblyornis subalaris,Streaked bowerbird,120,8392,69.93
Archboldia papuensis,Archbold's bowerbird,120,12065,100.54
Chlamydera cerviniventris,Fawn-breasted bowerbird,120,16531,137.76
Chlamydera guttata,Western bowerbird,120,21041,175.34
Chlamydera lauterbachi,Yellow-breasted bowerbird,120,8556,71.30
Chlamydera maculata,Spotted bowerbird,120,37604,313.37
Chlamydera nuchalis,Great bowerbird,120,54469,453.91
Prionodura newtoniana,Golden bowerbird,120,33250,277.08
Ptilonorhynchus violaceus,Satin bowerbird,120,283677,2363.97
Scenopoeetes dentirostris,Tooth-billed bowerbird,120,17700,147.50
Sericulus ardens,Flame bowerbird,120,69589,579.91
Sericulus aureus,Masked bowerbird,77,7601,98.71
Sericulus bakeri,Fire-maned bowerbird,120,9991,83.26
Sericulus chrysocephalus,Regent bowerbird,120,81152,676.27
Acritillas indica,Yellow-browed bulbul,120,34255,285.46
Alcurus striatus,Striated bulbul,120,10191,84.92
Alophoixus bres,Brown-cheeked bulbul,101,3369,33.36
Alophoixus flaveolus,White-throated bulbul,120,11124,92.70
Alophoixus frater,Palawan bulbul,120,4897,40.81
Alophoixus griseiceps,Puff-throated bulbul,120,8433,70.28
Alophoixus ochraceus,Ochraceous bulbul,120,9356,77.97
Alophoixus pallidus,Puff-throated bulbul,120,8433,70.28
Alophoixus phaeocephalus,Yellow-bellied bulbul,120,10855,90.46
Alophoixus ruficrissus,Penan bulbul,66,2190,33.18
Alophoixus tephrogenys,Grey-cheeked bulbul,120,7475,62.29
Andropadus importunus,Sombre greenbul,120,28612,238.43
Arizelocichla chlorigula,Yellow-throated mountain greenbul,102,593,5.81
Arizelocichla fusciceps,Black-browed mountain greenbul,105,576,5.49
Arizelocichla masukuensis,Shelley's greenbul,120,4371,36.42
Arizelocichla milanjensis,Stripe-cheeked greenbul,120,3803,31.69
Arizelocichla montana,Cameroon mountain greenbul,120,637,5.31
Arizelocichla neumanni,Uluguru mountain greenbul,104,523,5.03
Arizelocichla nigriceps,Black-headed mountain greenbul,16,536,33.50
Arizelocichla striifacies,Olive-headed greenbul,120,1963,16.36
Arizelocichla tephrolaema,Western greenbul,120,3966,33.05
Atimastillas flavicollis,Yellow-gorgeted greenbul,16,895,55.94
Atimastillas flavigula,Pale-throated greenbul,16,489,30.56
Baeopogon clamans,Sjöstedt's greenbul,120,2501,20.84
Baeopogon indicator,Honeyguide greenbul,120,4567,38.06
Bleda canicapillus,Grey-headed bristlebill,120,3512,29.27
Bleda eximius,Green-tailed bristlebill,120,4024,33.53
Bleda notatus,Yellow-lored bristlebill,120,2793,23.27
Bleda syndactylus,Red-tailed bristlebill,120,4072,33.93
Bleda ugandae,Yellow-eyed bristlebill,99,972,9.82
Brachypodius atriceps,Black-headed bulbul,120,25268,210.57
Brachypodius fuscoflavescens,Andaman bulbul,120,11318,94.32
Brachypodius priocephalus,Grey-headed bulbul,120,20970,174.75
Calyptocichla serinus,Golden greenbul,120,5651,47.09
Chlorocichla falkensteini,Falkenstein's greenbul,120,2859,23.82
Chlorocichla flaviventris,Yellow-bellied greenbul,120,11950,99.58
Chlorocichla laetissima,Joyful greenbul,120,5313,44.27
Chlorocichla prigoginei,Prigogine's greenbul,120,2985,24.88
Chlorocichla simplex,Simple greenbul,120,3900,32.50
Criniger barbatus,Western bearded greenbul,120,2835,23.62
Criniger calurus,Red-tailed greenbul,120,3959,32.99
Criniger chloronotus,Eastern bearded greenbul,120,3119,25.99
Criniger ndussumensis,White-bearded greenbul,120,2869,23.91
Criniger olivaceus,Yellow-bearded greenbul,120,3693,30.77
Euptilotus eutilotus,Puff-backed bulbul,120,6054,50.45
Eurillas ansorgei,Ansorge's greenbul,120,4023,33.52
Eurillas curvirostris,Plain greenbul,120,3703,30.86
Eurillas gracilis,Little grey greenbul,120,3774,31.45
Eurillas latirostris,Yellow-whiskered greenbul,120,7416,61.80
Eurillas virens,Little greenbul,120,8687,72.39
Hemixos castanonotus,Chestnut bulbul,120,9487,79.06
Hemixos cinereus,Cinereous bulbul,99,3774,38.12
Hemixos connectens,Cinereous bulbul,99,3774,38.12
Hemixos flavala,Ashy bulbul,120,12950,107.92
Hemixos leucogrammicus,Cream-striped bulbul,120,4460,37.17
Hypsipetes affinis,Seram golden bulbul,120,4209,35.08
Hypsipetes amaurotis,Brown-eared bulbul,120,135267,1127.22
Hypsipetes aureus,Togian golden bulbul,99,907,9.16
Hypsipetes borbonicus,Réunion bulbul,120,6273,52.27
Hypsipetes catarmanensis,Camiguin bulbul,95,1516,15.96
Hypsipetes chloris,Halmahera golden bulbul,99,1075,10.86
Hypsipetes crassirostris,Seychelles bulbul,120,14158,117.98
Hypsipetes everetti,Yellowish bulbul,120,5241,43.67
Hypsipetes ganeesa,Square-tailed bulbul,120,12099,100.83
Hypsipetes harterti,Banggai golden bulbul,98,771,7.87
Hypsipetes haynaldi,Yellowish bulbul,120,5241,43.67
Hypsipetes leucocephalus,Black bulbul,120,66949,557.91
Hypsipetes longirostris,Sula golden bulbul,86,694,8.07
Hypsipetes lucasi,Obi golden bulbul,99,948,9.58
Hypsipetes madagascariensis,Malagasy bulbul,120,10072,83.93
Hypsipetes moheliensis,Moheli bulbul,120,3359,27.99
Hypsipetes mysticalis,Buru golden bulbul,120,2612,21.77
Hypsipetes olivaceus,Mauritius bulbul,120,18713,155.94
Hypsipetes parvirostris,Grande Comore bulbul,30,740,24.67
Hypsipetes philippinus,Philippine bulbul,120,27659,230.49
Hypsipetes platenae,Sangihe golden bulbul,99,1183,11.95
Hypsipetes rufigularis,Zamboanga bulbul,120,6835,56.96
Hypsipetes siquijorensis,Streak-breasted bulbul,120,9296,77.47
Hypsipetes thompsoni,White-headed bulbul,120,7115,59.29
Iole charlottae,Charlotte's bulbul,103,3966,38.50
Iole finschii,Finsch's bulbul,120,4766,39.72
Iole palawanensis,Sulphur-bellied bulbul,120,4400,36.67
Iole propinqua,Grey-eyed bulbul,120,5335,44.46
Iole viridescens,Olive bulbul,120,5989,49.91
Ixidia cyaniventris,,0,,
Ixidia erythropthalmos,,0,,
Ixidia squamata,,0,,
Ixonotus guttatus,Spotted greenbul,120,3366,28.05
Ixos malaccensis,Streaked bulbul,120,6105,50.88
Ixos mcclellandii,Mountain bulbul,120,18215,151.79
Ixos nicobariensis,Nicobar bulbul,120,7992,66.60
Ixos sumatranus,Sumatran bulbul,106,1620,15.28
Ixos virescens,Javan bulbul,96,2214,23.06
Microtarsus melanoleucos,Black-and-white bulbul,120,7184,59.87
Neolestes torquatus,Black-collared bulbul,120,5243,43.69
Nok hualon,Bare-faced bulbul,120,12072,100.60
Phyllastrephus albigula,Montane tiny greenbul,120,2843,23.69
Phyllastrephus albigularis,White-throated greenbul,120,3404,28.37
Phyllastrephus baumanni,Baumann's olive greenbul,120,2523,21.02
Phyllastrephus cabanisi,Cabanis's greenbul,120,5100,42.50
Phyllastrephus cerviniventris,Grey-olive greenbul,120,3349,27.91
Phyllastrephus debilis,Lowland tiny greenbul,120,4011,33.42
Phyllastrephus fischeri,Fischer's greenbul,120,2945,24.54
Phyllastrephus flavostriatus,Yellow-streaked greenbul,120,5228,43.57
Phyllastrephus fulviventris,Pale-olive greenbul,120,2434,20.28
Phyllastrephus hypochloris,Toro olive greenbul,120,2763,23.02
Phyllastrephus icterinus,Icterine greenbul,120,5595,46.62
Phyllastrephus lorenzi,Sassi's olive greenbul,120,3672,30.60
Phyllastrephus poensis,Cameroon olive greenbul,120,2477,20.64
Phyllastrephus poliocephalus,Grey-headed greenbul,120,3043,25.36
Phyllastrephus strepitans,Northern brownbul,120,4485,37.38
Phyllastrephus terrestris,Terrestrial brownbul,120,8278,68.98
Phyllastrephus viridiceps,Angola greenbul,91,509,5.59
Phyllastrephus xavieri,Xavier's greenbul,120,6537,54.48
Poliolophus urostictus,Yellow-wattled bulbul,120,7607,63.39
Pycnonotus aurigaster,Sooty-headed bulbul,120,42274,352.28
Pycnonotus barbatus,Common bulbul,120,122235,1018.62
Pycnonotus bimaculatus,Orange-spotted bulbul,120,8747,72.89
