species,family,order,mass_g,range_km2,centroid_lat,migration
Haliaeetus pelagicus,Accipitridae,Accipitriformes,7756.99,1293649.63,58.65,3
Haliaeetus sanfordi,Accipitridae,Accipitriformes,1980,36124.13,-8.09,1
Haliaeetus vocifer,Accipitridae,Accipitriformes,3400,15637883.11,-0.96,1
Haliaeetus vociferoides,Accipitridae,Accipitriformes,3000,52761.99,-17.15,1
Haliastur indus,Accipitridae,Accipitriformes,529,8840397.2,9.01,1
Haliastur sphenurus,Accipitridae,Accipitriformes,752.99,5565646.93,-23.9,1
Hamirostra melanosternon,Accipitridae,Accipitriformes,1196,5297941.74,-23.36,2
Harpagus bidentatus,Accipitridae,Accipitriformes,215.25,8976331.27,-2.54,1
Harpagus diodon,Accipitridae,Accipitriformes,200,2345332.63,-21.13,3
Harpia harpyja,Accipitridae,Accipitriformes,4800,11064295.35,-8.03,1
Harpyopsis novaeguineae,Accipitridae,Accipitriformes,1959.59,730591.98,-5.26,1
Helicolestes hamatus,Accipitridae,Accipitriformes,425.46,2374863.31,-3.11,1
Henicopernis infuscatus,Accipitridae,Accipitriformes,571.2,33424.21,-5.47,1
Henicopernis longicauda,Accipitridae,Accipitriformes,571.23,750041.01,-5.35,1
Hieraaetus ayresii,Accipitridae,Accipitriformes,806.06,5863148.99,-5.21,1
Hieraaetus morphnoides,Accipitridae,Accipitriformes,775.05,7265023.22,-25.34,1
Hieraaetus pennatus,Accipitridae,Accipitriformes,823.75,6138248.03,42.1,3
Hieraaetus wahlbergi,Accipitridae,Accipitriformes,639.99,9578321.34,-4.41,1
Hieraaetus weiskei,Accipitridae,Accipitriformes,775.05,665554.04,-5.34,1
Icthyophaga humilis,Accipitridae,Accipitriformes,782,2763882.32,9.46,1
Icthyophaga ichthyaetus,Accipitridae,Accipitriformes,1590,3707887.55,10.81,1
Ictinaetus malaiensis,Accipitridae,Accipitriformes,1028,3231811.39,9.61,1
Ictinia mississippiensis,Accipitridae,Accipitriformes,276.03,824795.96,33.57,3
Ictinia plumbea,Accipitridae,Accipitriformes,249.9,12719722.18,-7.01,1
Kaupifalco monogrammicus,Accipitridae,Accipitriformes,278.94,13079368.52,-0.96,1
Leptodon cayanensis,Accipitridae,Accipitriformes,474,12071802.08,-6.35,1
Leptodon forbesi,Accipitridae,Accipitriformes,577,52831.24,-8.94,1
Leucopternis kuhli,Accipitridae,Accipitriformes,352.09,2375316.62,-7.38,1
Leucopternis melanops,Accipitridae,Accipitriformes,312,2570861.92,1.4,1
Leucopternis semiplumbeus,Accipitridae,Accipitriformes,285.04,236308.06,8.38,1
Lophaetus occipitalis,Accipitridae,Accipitriformes,1067,14031980.87,-0.17,1
Lophoictinia isura,Accipitridae,Accipitriformes,579.37,1100971,-27.71,1
Lophotriorchis kienerii,Accipitridae,Accipitriformes,799,3758691.08,9.42,1
Macheiramphus alcinus,Accipitridae,Accipitriformes,650,13573105.09,-4.02,1
Megatriorchis doriae,Accipitridae,Accipitriformes,999.99,599836.92,-5.34,1
Melierax canorus,Accipitridae,Accipitriformes,663.32,2246754.63,-25.28,1
Melierax metabates,Accipitridae,Accipitriformes,674.53,12484209.96,2.47,1
Melierax poliopterus,Accipitridae,Accipitriformes,629.88,2071175.93,2.87,1
Micronisus gabar,Accipitridae,Accipitriformes,169.55,13910595.47,-2.35,2
Milvus aegyptius,Accipitridae,Accipitriformes,734.1,NA,NA,3
Milvus migrans,Accipitridae,Accipitriformes,734.1,59168603.49,26.77,3
Milvus milvus,Accipitridae,Accipitriformes,1071.77,1698401.57,48.65,2
Morphnarchus princeps,Accipitridae,Accipitriformes,999.99,113390.9,3.02,1
Morphnus guianensis,Accipitridae,Accipitriformes,1750,11702782.03,-7.66,1
Necrosyrtes monachus,Accipitridae,Accipitriformes,2043,10764077.19,4.78,1
Neophron percnopterus,Accipitridae,Accipitriformes,2082,14111672.38,27.02,3
Nisaetus alboniger,Accipitridae,Accipitriformes,829.99,800448.35,2.4,1
Nisaetus bartelsi,Accipitridae,Accipitriformes,830,14421.49,-7.44,1
Nisaetus cirrhatus,Accipitridae,Accipitriformes,1475.12,4408300.11,13.11,1
Nisaetus floris,Accipitridae,Accipitriformes,1475.12,34986.16,-8.59,1
