species,family,order,mass_g,range_km2,centroid_lat,migration
Cinnyris chloropygius,Nectariniidae,Passeriformes,6.2,4297123.95,1.28,2
Cinnyris coccinigastrus,Nectariniidae,Passeriformes,14.3,1723775.75,7.01,1
Cinnyris comorensis,Nectariniidae,Passeriformes,7.77,357.55,-12.21,1
Cinnyris congensis,Nectariniidae,Passeriformes,17.3,130504.85,0.95,1
Cinnyris coquerellii,Nectariniidae,Passeriformes,7.93,370.97,-12.82,1
Cinnyris cupreus,Nectariniidae,Passeriformes,8.9,7848077.34,-0.53,1
Cinnyris dussumieri,Nectariniidae,Passeriformes,10.8,244.59,-4.56,1
Cinnyris erythrocercus,Nectariniidae,Passeriformes,8.79,438707.33,0.65,1
Cinnyris fuelleborni,Nectariniidae,Passeriformes,8.19,244106.5,-11.26,1
Cinnyris fuscus,Nectariniidae,Passeriformes,7.83,1120628.47,-26.33,1
Cinnyris gertrudis,Nectariniidae,Passeriformes,9.48,711956.82,-11.75,1
Cinnyris habessinicus,Nectariniidae,Passeriformes,9.5,1107754.72,8.82,1
Cinnyris hellmayri,Nectariniidae,Passeriformes,9.5,496062.53,17.25,1
Cinnyris humbloti,Nectariniidae,Passeriformes,6.4,1240.87,-11.77,1
Cinnyris idenburgi,Nectariniidae,Passeriformes,8.99,139090.1,-3.99,1
Cinnyris johannae,Nectariniidae,Passeriformes,13.03,1631281.91,1.52,1
Cinnyris jugularis,Nectariniidae,Passeriformes,8.99,5063701.81,7.4,1
Cinnyris lotenius,Nectariniidae,Passeriformes,8.77,292016.32,12.6,1
Cinnyris loveridgei,Nectariniidae,Passeriformes,9.76,259.47,-7.06,1
Cinnyris ludovicensis,Nectariniidae,Passeriformes,8.67,85632.04,-12.19,1
Cinnyris manoensis,Nectariniidae,Passeriformes,9.48,454948.66,-17.2,1
Cinnyris mariquensis,Nectariniidae,Passeriformes,11.47,2606050.21,-15.86,1
Cinnyris mediocris,Nectariniidae,Passeriformes,8.19,195956.74,-0.38,1
Cinnyris melanogastrus,Nectariniidae,Passeriformes,7.03,223148.81,-4.09,1
Cinnyris minullus,Nectariniidae,Passeriformes,5.7,1198202.19,1.87,1
Cinnyris moebii,Nectariniidae,Passeriformes,14.57,1031.48,-11.66,1
Cinnyris moreaui,Nectariniidae,Passeriformes,8.24,29656.26,-7,1
Cinnyris nectarinioides,Nectariniidae,Passeriformes,4.8,496613.1,0.79,1
Cinnyris neergaardi,Nectariniidae,Passeriformes,6.14,138996.95,-23.73,1
Cinnyris notatus,Nectariniidae,Passeriformes,14.57,590045.88,-19.38,1
Cinnyris osea,Nectariniidae,Passeriformes,7.18,568902.39,17.12,1
Cinnyris oustaleti,Nectariniidae,Passeriformes,8.1,219261.25,-11.45,1
Cinnyris pembae,Nectariniidae,Passeriformes,8.2,970.42,-5.17,1
Cinnyris prigoginei,Nectariniidae,Passeriformes,11.1,1046.69,-7.55,1
Cinnyris pulchellus,Nectariniidae,Passeriformes,7.03,5431378.76,11.8,1
Cinnyris regius,Nectariniidae,Passeriformes,6.58,76601.79,-2.14,1
Cinnyris reichenowi,Nectariniidae,Passeriformes,6.8,243088.55,2.71,1
Cinnyris rockefelleri,Nectariniidae,Passeriformes,5.3,7907.78,-2.93,1
Cinnyris rufipennis,Nectariniidae,Passeriformes,8.79,4406.47,-8.04,1
Cinnyris shelleyi,Nectariniidae,Passeriformes,8.98,416193.99,-13.26,1
Cinnyris solaris,Nectariniidae,Passeriformes,9,66937.6,-8.88,1
Cinnyris sovimanga,Nectariniidae,Passeriformes,7.24,591013.44,-19.38,1
Cinnyris stuhlmanni,Nectariniidae,Passeriformes,8.8,12102.1,-2.24,1
Cinnyris superbus,Nectariniidae,Passeriformes,16.8,2854180.16,-0.98,1
Cinnyris talatala,Nectariniidae,Passeriformes,8.09,2820942.59,-18.57,1
Cinnyris tsavoensis,Nectariniidae,Passeriformes,6.8,114686.09,-2.11,1
Cinnyris ursulae,Nectariniidae,Passeriformes,6.5,27769.05,5.49,1
Cinnyris usambaricus,Nectariniidae,Passeriformes,8.19,27747.51,-3.93,1
Cinnyris venustus,Nectariniidae,Passeriformes,6.56,5595541.69,-1.21,1
Cinnyris voeltzkowi,Nectariniidae,Passeriformes,14.57,213.59,-12.32,1
Cyanomitra alinae,Nectariniidae,Passeriformes,12.56,114321.46,-2.14,1
Cyanomitra bannermani,Nectariniidae,Passeriformes,14,454416.96,-10.13,1
Cyanomitra cyanolaema,Nectariniidae,Passeriformes,16.8,3142385.64,-0.81,1
Cyanomitra olivacea,Nectariniidae,Passeriformes,9.65,5394958.82,-3.22,1
Cyanomitra oritis,Nectariniidae,Passeriformes,11.17,65561.74,6.15,1
Cyanomitra verreauxii,Nectariniidae,Passeriformes,11.5,155165.64,-19.36,2
Cyanomitra verticalis,Nectariniidae,Passeriformes,14.43,5373209.67,1.66,1
Deleornis axillaris,Nectariniidae,Passeriformes,11.31,1451989.39,-0.6,1
Deleornis fraseri,Nectariniidae,Passeriformes,11.31,1859228.62,2.9,1
Drepanorhynchus reichenowi,Nectariniidae,Passeriformes,14.66,217754.73,-0.69,2
Dreptes thomensis,Nectariniidae,Passeriformes,26.2,333.92,0.22,1
Hedydipna collaris,Nectariniidae,Passeriformes,6.98,9197435.7,-4.74,1
Hedydipna metallica,Nectariniidae,Passeriformes,7.2,1209467.95,15.8,1
Hedydipna pallidigaster,Nectariniidae,Passeriformes,6.8,864.21,-6.39,1
Hedydipna platura,Nectariniidae,Passeriformes,6.7,4094486.35,12.14,1
Kurochkinegramma hypogrammica,Nectariniidae,Passeriformes,11.42,2037212.16,7.01,1
Leptocoma aspasia,Nectariniidae,Passeriformes,8,916101.7,-4.7,1
Leptocoma brasiliana,Nectariniidae,Passeriformes,6.4,1620103.52,8.34,1
Leptocoma calcostetha,Nectariniidae,Passeriformes,8.3,568344.61,-0.12,1
Leptocoma juliae,Nectariniidae,Passeriformes,6.4,60589.84,7.25,1
Leptocoma minima,Nectariniidae,Passeriformes,4.89,57005.42,13.1,1
Leptocoma sperata,Nectariniidae,Passeriformes,6.4,229948.47,12.92,1
Leptocoma zeylonica,Nectariniidae,Passeriformes,8.77,1817376.93,18.57,1
Nectarinia bocagii,Nectariniidae,Passeriformes,14.8,114260.42,-11.14,1
Nectarinia famosa,Nectariniidae,Passeriformes,14.36,1109036.73,-19.4,1
Nectarinia johnstoni,Nectariniidae,Passeriformes,15.16,21310.45,-3.02,1
Nectarinia kilimensis,Nectariniidae,Passeriformes,15.66,511131.66,-4.7,1
Nectarinia purpureiventris,Nectariniidae,Passeriformes,11.5,70154.05,-2.19,1
Nectarinia tacazze,Nectariniidae,Passeriformes,14.87,285225.05,7.7,1
Daphoenositta chrysoptera,Neosittidae,Passeriformes,11.7,4739552.35,-26.34,1
Daphoenositta miranda,Neosittidae,Passeriformes,16.77,39938.14,-5.36,1
Daphoenositta papuensis,Neosittidae,Passeriformes,11.7,155981,-5.21,1
Nesospingus speculiferus,Nesospingidae,Passeriformes,35.2,8774.42,18.23,1
Nicator chloris,Nicatoridae,Passeriformes,46.1,3969589.79,0.97,1
Nicator gularis,Nicatoridae,Passeriformes,45.58,940421.62,-15.33,1
Nicator vireo,Nicatoridae,Passeriformes,23.6,1466486.16,-1.02,1
Notiomystis cincta,Notiomystidae,Passeriformes,93.37,100.83,-39.19,1
Aleadryas rufinucha,Oreoicidae,Passeriformes,40.5,150684.68,-5.12,1
Oreoica gutturalis,Oreoicidae,Passeriformes,62.8,4957954.29,-27,1
Ornorectes cristatus,Oreoicidae,Passeriformes,79,152938.38,-3.98,1
Oriolus albiloris,Oriolidae,Passeriformes,38.6,22182.67,16.79,1
Oriolus auratus,Oriolidae,Passeriformes,66.2,4622656.44,-4.7,1
Oriolus bouroensis,Oriolidae,Passeriformes,109,4674.49,-3.44,1
Oriolus brachyrynchus,Oriolidae,Passeriformes,49.02,2640549.2,2.3,1
Oriolus chinensis,Oriolidae,Passeriformes,82.6,5911861.17,28.53,2
Oriolus chlorocephalus,Oriolidae,Passeriformes,49,61138.59,-7.9,2
Oriolus consanguineus,Oriolidae,Passeriformes,64,287984.38,1.8,1
Oriolus crassirostris,Oriolidae,Passeriformes,50,481.69,0.22,1
Oriolus cruentus,Oriolidae,Passeriformes,64,25422.28,-7.35,1
Oriolus decipiens,Oriolidae,Passeriformes,109,2788.76,-7.55,1
Oriolus finschi,Oriolidae,Passeriformes,95.2,2785.65,-7.8,1
Oriolus flavocinctus,Oriolidae,Passeriformes,109,535100.57,-14.45,1
Oriolus forsteni,Oriolidae,Passeriformes,109,15001.23,-3.21,1
Oriolus hosii,Oriolidae,Passeriformes,64,20423.78,3.44,1
Oriolus isabellae,Oriolidae,Passeriformes,46.1,1081.94,17.5,1
Oriolus kundoo,Oriolidae,Passeriformes,65.6,2500730.74,32.5,3
Oriolus larvatus,Oriolidae,Passeriformes,66.1,6081428.22,-11.02,1
Oriolus melanotis,Oriolidae,Passeriformes,95.2,30023.17,-9.32,1
Oriolus mellianus,Oriolidae,Passeriformes,93,27518.44,26.07,3
Oriolus monacha,Oriolidae,Passeriformes,68.5,337144.38,9.6,1
Oriolus nigripennis,Oriolidae,Passeriformes,56.7,2050735.04,2.64,1
Oriolus oriolus,Oriolidae,Passeriformes,79,11164384.03,50.16,3
Oriolus percivali,Oriolidae,Passeriformes,61,164128.38,-1,1
Oriolus phaeochromus,Oriolidae,Passeriformes,109,18108.91,0.87,2
Oriolus sagittatus,Oriolidae,Passeriformes,95.2,3411405.87,-24.55,2
Oriolus steerii,Oriolidae,Passeriformes,46.5,140076.59,8.64,1
Oriolus szalayi,Oriolidae,Passeriformes,95.2,680368.63,-5.31,1
Oriolus tenuirostris,Oriolidae,Passeriformes,81.38,862811.5,21.47,1
Oriolus traillii,Oriolidae,Passeriformes,73.66,1953091.34,22.35,1
Oriolus xanthonotus,Oriolidae,Passeriformes,45,1161887.17,0.94,1
Oriolus xanthornus,Oriolidae,Passeriformes,56.3,4313543.23,20.27,1
Pitohui cerviniventris,Oriolidae,Passeriformes,72,3913.3,-0.31,1
Pitohui dichrous,Oriolidae,Passeriformes,92.9,224365.73,-5.13,1
Pitohui kirhocephalus,Oriolidae,Passeriformes,72,243662.14,-3.46,1
Pitohui uropygialis,Oriolidae,Passeriformes,72,239874.6,-5.63,1
Sphecotheres hypoleucus,Oriolidae,Passeriformes,77.5,2638.29,-7.78,1
Sphecotheres vieilloti,Oriolidae,Passeriformes,121.5,993924.12,-21.26,1
Sphecotheres viridis,Oriolidae,Passeriformes,121.04,30023.14,-9.32,1
Orthonyx novaeguineae,Orthonychidae,Passeriformes,58.06,65388.82,-4.73,1
Orthonyx spaldingii,Orthonychidae,Passeriformes,149.91,23436.79,-17.67,1
Orthonyx temminckii,Orthonychidae,Passeriformes,58.06,166548.28,-30.13,1
Colluricincla boweri,Pachycephalidae,Passeriformes,43.8,30983.14,-17.33,1
Colluricincla harmonica,Pachycephalidae,Passeriformes,65.8,6919512.58,-25.55,1
Colluricincla megarhyncha,Pachycephalidae,Passeriformes,32.34,1204726.42,-10.03,1
Colluricincla tenebrosa,Pachycephalidae,Passeriformes,46,40629.61,-4.23,1
Colluricincla woodwardi,Pachycephalidae,Passeriformes,54.5,549567.85,-16.13,1
Coracornis raveni,Pachycephalidae,Passeriformes,36,11498.5,-2.07,1
Coracornis sanghirensis,Pachycephalidae,Passeriformes,32.34,5.29,3.51,1
Melanorectes nigrescens,Pachycephalidae,Passeriformes,76.9,131590.72,-5.24,1
Pachycephala albiventris,Pachycephalidae,Passeriformes,21.1,104394.32,15.73,1
Pachycephala arctitorquis,Pachycephalidae,Passeriformes,22.4,5480.79,-7.67,2
Pachycephala aurea,Pachycephalidae,Passeriformes,23.8,56491.92,-5.49,1
Pachycephala caledonica,Pachycephalidae,Passeriformes,22.67,16533.26,-21.34,1
Pachycephala cinerea,Pachycephalidae,Passeriformes,21,1077022.85,3.54,1
Pachycephala feminina,Pachycephalidae,Passeriformes,30.36,675.55,-11.65,2
Pachycephala flavifrons,Pachycephalidae,Passeriformes,41.45,2877.15,-13.74,1
Pachycephala fulvotincta,Pachycephalidae,Passeriformes,30.36,77916.92,-8.58,2
Pachycephala griseiceps,Pachycephalidae,Passeriformes,21.8,753374.45,-6,1
Pachycephala griseonota,Pachycephalidae,Passeriformes,22.38,43720.57,-1.42,2
Pachycephala homeyeri,Pachycephalidae,Passeriformes,25.82,125156.59,8.35,1
Pachycephala hyperythra,Pachycephalidae,Passeriformes,27.7,103362.37,-4.07,1
Pachycephala hypoxantha,Pachycephalidae,Passeriformes,22.3,84264.52,2.3,1
Pachycephala implicata,Pachycephalidae,Passeriformes,34.47,260.24,-9.7,1
Pachycephala inornata,Pachycephalidae,Passeriformes,30.8,1593660.36,-31.99,1
Pachycephala jacquinoti,Pachycephalidae,Passeriformes,36,140.16,-18.65,1
Pachycephala lanioides,Pachycephalidae,Passeriformes,38.69,255698.63,-16.61,1
Pachycephala leucogastra,Pachycephalidae,Passeriformes,18.5,3984.2,-5.09,1
Pachycephala lorentzi,Pachycephalidae,Passeriformes,19.4,47469.46,-4.15,1
Pachycephala melanura,Pachycephalidae,Passeriformes,23.8,524241.76,-16.28,1
Pachycephala mentalis,Pachycephalidae,Passeriformes,30.36,24456.99,0.65,2
Pachycephala meyeri,Pachycephalidae,Passeriformes,19,8657.87,-1.06,1
Pachycephala modesta,Pachycephalidae,Passeriformes,18.3,68146.9,-6.51,1
Pachycephala monacha,Pachycephalidae,Passeriformes,26,33190.9,-6.24,1
Pachycephala nudigula,Pachycephalidae,Passeriformes,34.5,20084.05,-8.64,1
Pachycephala olivacea,Pachycephalidae,Passeriformes,41.2,298358.81,-37.51,1
Pachycephala orioloides,Pachycephalidae,Passeriformes,42.7,36507.21,-8.1,2
Pachycephala orpheus,Pachycephalidae,Passeriformes,15.5,21909.22,-8.9,1
Pachycephala par,Pachycephalidae,Passeriformes,30.36,631.73,-8.02,2
Pachycephala pectoralis,Pachycephalidae,Passeriformes,30.36,1963546.27,-30.7,2
Pachycephala phaionota,Pachycephalidae,Passeriformes,24.8,9616.8,-1.21,1
Pachycephala philippinensis,Pachycephalidae,Passeriformes,22.3,193262.3,11.46,1
Pachycephala richardsi,Pachycephalidae,Passeriformes,34.47,591.04,-5.96,1
Pachycephala rufiventris,Pachycephalidae,Passeriformes,22.48,7227395.75,-25.44,1
Pachycephala rufogularis,Pachycephalidae,Passeriformes,36.6,102346.36,-34.55,1
Pachycephala schlegelii,Pachycephalidae,Passeriformes,22.7,132622.24,-5.35,1
Pachycephala simplex,Pachycephalidae,Passeriformes,17.4,93200.99,-12.58,1
Pachycephala soror,Pachycephalidae,Passeriformes,24.8,221930.33,-5.4,1
Pachycephala sulfuriventer,Pachycephalidae,Passeriformes,21.4,49473.03,-1.72,1
Pachycephala tenebrosa,Pachycephalidae,Passeriformes,46,456.67,7.45,1
Pachycephala teysmanni,Pachycephalidae,Passeriformes,30.36,657.75,-6.1,2
Pachycephala vitiensis,Pachycephalidae,Passeriformes,30.36,18250.99,-17.46,2
Pseudorectes ferrugineus,Pachycephalidae,Passeriformes,93.91,614817.29,-5.32,1
Pseudorectes incertus,Pachycephalidae,Passeriformes,75,606.03,-5.33,1
Panurus biarmicus,Panuridae,Passeriformes,13.82,11689099.28,44.98,2
Astrapia mayeri,Paradisaeidae,Passeriformes,139.29,7451.13,-5.67,1
Astrapia nigra,Paradisaeidae,Passeriformes,190,3721.2,-1.13,1
Astrapia rothschildi,Paradisaeidae,Passeriformes,181.41,6673.3,-6.13,1
Astrapia splendidissima,Paradisaeidae,Passeriformes,131.33,42648.98,-4.16,1
Astrapia stephaniae,Paradisaeidae,Passeriformes,141.77,55589.82,-7.1,1
Cicinnurus magnificus,Paradisaeidae,Passeriformes,89.8,116997.4,-5.25,1
Cicinnurus regius,Paradisaeidae,Passeriformes,51.63,479513.91,-4.61,1
Cicinnurus respublica,Paradisaeidae,Passeriformes,58.44,3966.99,-0.31,1
Drepanornis albertisi,Paradisaeidae,Passeriformes,110,23525.74,-6.87,1
Drepanornis bruijnii,Paradisaeidae,Passeriformes,153.31,38122.93,-2.7,1
Epimachus fastosus,Paradisaeidae,Passeriformes,232.87,80656.88,-4.79,1
Epimachus meyeri,Paradisaeidae,Passeriformes,220.48,135052.62,-5.39,1
Lophorina feminina,Paradisaeidae,Passeriformes,76.66,NA,NA,1
Lophorina intercedens,Paradisaeidae,Passeriformes,158,104258.24,-7.95,1
Lophorina magnifica,Paradisaeidae,Passeriformes,149.88,495422.81,-4.79,1
Lophorina minor,Paradisaeidae,Passeriformes,76.66,NA,NA,1
Lophorina paradisea,Paradisaeidae,Passeriformes,119.49,128251.12,-28.52,1
Lophorina superba,Paradisaeidae,Passeriformes,76.66,160974.68,-5.32,1
Lophorina victoriae,Paradisaeidae,Passeriformes,95.02,31555.33,-17.51,1
Lycocorax obiensis,Paradisaeidae,Passeriformes,283.91,2711.49,-1.54,1
Lycocorax pyrrhopterus,Paradisaeidae,Passeriformes,283.91,22792.49,0.87,1
Manucodia ater,Paradisaeidae,Passeriformes,228.01,136828.14,-6.32,1
Manucodia chalybatus,Paradisaeidae,Passeriformes,215.88,81016.84,-6.92,1
Manucodia comrii,Paradisaeidae,Passeriformes,432.74,3220.81,-9.51,1
Manucodia jobiensis,Paradisaeidae,Passeriformes,202.58,22487.64,-4.16,1
Paradigalla brevicauda,Paradisaeidae,Passeriformes,167.92,91714.96,-4.82,2
Paradigalla carunculata,Paradisaeidae,Passeriformes,170,3319.37,-1.22,2
Paradisaea apoda,Paradisaeidae,Passeriformes,172,99261.9,-6.12,1
Paradisaea decora,Paradisaeidae,Passeriformes,237,834.46,-9.68,1
Paradisaea guilielmi,Paradisaeidae,Passeriformes,256,10730.8,-6.1,1
Paradisaea minor,Paradisaeidae,Passeriformes,207.93,273509.57,-3.08,1
Paradisaea raggiana,Paradisaeidae,Passeriformes,212.59,200424.71,-7.7,1
Paradisaea rubra,Paradisaeidae,Passeriformes,178.2,3877.44,-0.31,1
Paradisornis rudolphi,Paradisaeidae,Passeriformes,164.09,21767.84,-6.25,1
Parotia berlepschi,Paradisaeidae,Passeriformes,163.16,779.37,-2.55,1
Parotia carolae,Paradisaeidae,Passeriformes,163.16,23107.83,-5.26,1
Parotia lawesii,Paradisaeidae,Passeriformes,161.4,96297.67,-6.65,1
Parotia sefilata,Paradisaeidae,Passeriformes,181.72,7209.38,-1.1,1
Parotia wahnesi,Paradisaeidae,Passeriformes,158,4260.37,-6.08,1
Phonygammus keraudrenii,Paradisaeidae,Passeriformes,154.66,767082.8,-5.72,1
Pteridophora alberti,Paradisaeidae,Passeriformes,81.84,109282.79,-4.9,2
Seleucidis melanoleucus,Paradisaeidae,Passeriformes,174.43,331768.34,-4.65,1
Semioptera wallacii,Paradisaeidae,Passeriformes,148.34,13322.44,0.65,1
Oreocharis arfaki,Paramythiidae,Passeriformes,19.7,62340.26,-4.76,1
Paramythia montium,Paramythiidae,Passeriformes,41.79,43513.48,-6.3,1
Paramythia olivacea,Paramythiidae,Passeriformes,41.79,16250.61,-4.11,1
Pardalotus punctatus,Pardalotidae,Passeriformes,8.7,2170812.26,-31.72,1
Pardalotus quadragintus,Pardalotidae,Passeriformes,10.7,473.96,-42.62,1
Pardalotus rubricatus,Pardalotidae,Passeriformes,10.9,5191015.83,-22.94,1
Pardalotus striatus,Pardalotidae,Passeriformes,11.44,3215729.85,-27.44,1
Baeolophus atricristatus,Paridae,Passeriformes,17.5,741786.53,28.82,1
Baeolophus bicolor,Paridae,Passeriformes,21.6,2969712.5,36.97,1
Baeolophus inornatus,Paridae,Passeriformes,15.87,178257.64,36.05,1
Baeolophus ridgwayi,Paridae,Passeriformes,15.86,1056208.76,37.9,1
Baeolophus wollweberi,Paridae,Passeriformes,10.4,532101.62,24.87,1
Cephalopyrus flammiceps,Paridae,Passeriformes,7,273151.17,30.12,2
Cyanistes caeruleus,Paridae,Passeriformes,11.1,8753389.8,50.72,1
Cyanistes cyanus,Paridae,Passeriformes,14.62,8153289.29,51.43,2
Cyanistes teneriffae,Paridae,Passeriformes,10,624090.33,33.89,1
Lophophanes cristatus,Paridae,Passeriformes,11.04,5918314.94,54.5,1
Lophophanes dichrous,Paridae,Passeriformes,13.8,968325.05,30.34,1
Machlolophus holsti,Paridae,Passeriformes,16.69,12987.01,23.79,1
Machlolophus nuchalis,Paridae,Passeriformes,13.8,71657.03,24.04,1
Machlolophus spilonotus,Paridae,Passeriformes,18.8,1250920.25,23.59,1
Machlolophus xanthogenys,Paridae,Passeriformes,14.76,1118561.25,22.07,2
Melaniparus afer,Paridae,Passeriformes,20.2,427814.63,-31.46,1
Melaniparus albiventris,Paridae,Passeriformes,21.2,322293.63,-2.05,1
Melaniparus carpi,Paridae,Passeriformes,18.6,305301.81,-19.32,1
Melaniparus cinerascens,Paridae,Passeriformes,20,1795200.59,-23.37,1
Melaniparus fasciiventer,Paridae,Passeriformes,15.2,38778.02,-2.29,1
Melaniparus fringillinus,Paridae,Passeriformes,13.82,390583.14,-4.13,1
Melaniparus funereus,Paridae,Passeriformes,25.37,2252792.06,0.56,1
Melaniparus griseiventris,Paridae,Passeriformes,15.5,1535847.66,-12.61,1
Melaniparus guineensis,Paridae,Passeriformes,16.1,4677095.83,8.61,1
Melaniparus leucomelas,Paridae,Passeriformes,16.1,2587731.88,-7.53,1
Melaniparus leuconotus,Paridae,Passeriformes,16.7,357687.8,9.69,1
Melaniparus niger,Paridae,Passeriformes,21.5,2180649.32,-19.89,1
Melaniparus pallidiventris,Paridae,Passeriformes,18.2,1126936.4,-11.24,1
Melaniparus rufiventris,Paridae,Passeriformes,18.2,2428644.32,-12.21,1
Melaniparus thruppi,Paridae,Passeriformes,12,869174.26,2.51,1
Melanochlora sultanea,Paridae,Passeriformes,37.6,1656290.7,19.6,1
Pardaliparus amabilis,Paridae,Passeriformes,12.68,14312.45,9.97,1
Pardaliparus elegans,Paridae,Passeriformes,12.83,272069.25,11.86,1
Pardaliparus venustulus,Paridae,Passeriformes,10.6,1615993.56,31.64,1
Parus major,Paridae,Passeriformes,16.25,32577984.28,44.04,1
Parus monticolus,Paridae,Passeriformes,13.95,1684621.77,29.19,1
Periparus ater,Paridae,Passeriformes,9.2,18987457.58,52.81,1
Periparus rubidiventris,Paridae,Passeriformes,11.83,949945.6,31.96,1
Periparus rufonuchalis,Paridae,Passeriformes,12.64,530583.68,35.71,1
Poecile atricapillus,Paridae,Passeriformes,10.8,9078514.18,50.08,1
Poecile carolinensis,Paridae,Passeriformes,9.99,2312694.52,34.9,1
Poecile cinctus,Paridae,Passeriformes,11.4,10800997.61,63.34,1
Poecile davidi,Paridae,Passeriformes,10.3,56804.66,32.22,1
Poecile gambeli,Paridae,Passeriformes,11.19,2711124.48,44.25,1
Poecile hudsonicus,Paridae,Passeriformes,9.8,7102487.58,57.46,1
Poecile hypermelaenus,Paridae,Passeriformes,11.14,645608.88,29.64,1
Poecile hyrcanus,Paridae,Passeriformes,15.8,77470.18,36.93,1
Poecile lugubris,Paridae,Passeriformes,15.8,1281185.72,39.55,1
Poecile montanus,Paridae,Passeriformes,11.1,21263364.59,56.04,1
Poecile palustris,Paridae,Passeriformes,11.14,9072135.09,49.29,1
Poecile rufescens,Paridae,Passeriformes,9.39,958071.95,49.83,1
Poecile sclateri,Paridae,Passeriformes,10.09,201847.75,23.86,1
Poecile superciliosus,Paridae,Passeriformes,10.7,546757.41,34.67,1
Poecile weigoldicus,Paridae,Passeriformes,11.1,961512.9,31.76,1
Pseudopodoces humilis,Paridae,Passeriformes,45.4,2316477.82,33.64,2
Sittiparus castaneoventris,Paridae,Passeriformes,17,35903.37,23.75,1
Sittiparus olivaceus,Paridae,Passeriformes,17,279.45,24.33,1
Sittiparus owstoni,Paridae,Passeriformes,17,150.87,33.59,1
Sittiparus semilarvatus,Paridae,Passeriformes,18,55106.29,11.96,1
Sittiparus varius,Paridae,Passeriformes,17,692847.17,38.47,1
Sylviparus modestus,Paridae,Passeriformes,7.14,837783.04,26.71,1
Basileuterus auricapilla,Parulidae,Passeriformes,10.5,7586929.67,-16.67,1
Basileuterus belli,Parulidae,Passeriformes,10.7,334156.38,18.67,1
Basileuterus cabanisi,Parulidae,Passeriformes,10.5,275290.15,7.14,1
Basileuterus culicivorus,Parulidae,Passeriformes,10.5,522685.98,17.29,1
Basileuterus griseiceps,Parulidae,Passeriformes,13.04,902.98,10.11,1
Basileuterus hypoleucus,Parulidae,Passeriformes,11.4,1487777.7,-17.75,1
Basileuterus ignotus,Parulidae,Passeriformes,10.89,180.74,8.06,1
Basileuterus lachrymosus,Parulidae,Passeriformes,25.6,340350.72,19.67,1
Basileuterus melanogenys,Parulidae,Passeriformes,11.8,4831.72,9.34,1
Basileuterus rufifrons,Parulidae,Passeriformes,10.4,967644.87,17.84,1
Basileuterus trifasciatus,Parulidae,Passeriformes,9.7,29296.98,-5.07,1
Basileuterus tristriatus,Parulidae,Passeriformes,12.03,475236.65,-2.6,1
Cardellina canadensis,Parulidae,Passeriformes,10.04,2768373.43,49.78,3
Cardellina pusilla,Parulidae,Passeriformes,6.96,7961357.24,56.95,3
Cardellina rubra,Parulidae,Passeriformes,8.1,232459.31,20.13,1
Cardellina rubrifrons,Parulidae,Passeriformes,8.1,393367,29.63,3
Cardellina versicolor,Parulidae,Passeriformes,10,17025.11,15.42,1
Catharopeza bishopi,Parulidae,Passeriformes,15.1,83.11,13.29,1
Geothlypis aequinoctialis,Parulidae,Passeriformes,13.1,7376725.6,-15.68,1
Geothlypis auricularis,Parulidae,Passeriformes,13.8,196093.06,-5.87,1
Geothlypis bairdi,Parulidae,Passeriformes,17.2,97624.79,12.71,1
Geothlypis beldingi,Parulidae,Passeriformes,15.7,3820.02,25.73,1
Geothlypis chiriquensis,Parulidae,Passeriformes,13.8,1382.25,8.8,1
Geothlypis flavovelata,Parulidae,Passeriformes,10.9,51944.85,22.35,1
Geothlypis formosa,Parulidae,Passeriformes,14,1970256.38,36.24,3
Geothlypis nelsoni,Parulidae,Passeriformes,11,117193.33,20.43,1
Geothlypis philadelphia,Parulidae,Passeriformes,11.74,2709565.27,49.89,3
Geothlypis poliocephala,Parulidae,Passeriformes,14.6,859573.04,16.68,1
Geothlypis rostrata,Parulidae,Passeriformes,16.1,8764.16,25.07,1
Geothlypis semiflava,Parulidae,Passeriformes,17.2,115622.87,1.26,1
Geothlypis speciosa,Parulidae,Passeriformes,10.8,496.24,19.84,1
Geothlypis tolmiei,Parulidae,Passeriformes,10.4,2622229.48,47.17,3
Geothlypis trichas,Parulidae,Passeriformes,9.54,12826786.25,44.7,3
Helmitheros vermivorum,Parulidae,Passeriformes,14.16,1754178.4,36.37,3
Leiothlypis celata,Parulidae,Passeriformes,9.19,7482895.14,54.4,3
Leiothlypis crissalis,Parulidae,Passeriformes,9.3,99945.67,25.86,3
Leiothlypis luciae,Parulidae,Passeriformes,6.6,391345.28,33.64,3
Leiothlypis peregrina,Parulidae,Passeriformes,8.9,4777801.14,54.36,3
Leiothlypis ruficapilla,Parulidae,Passeriformes,8.09,2772463.48,47.87,3
Leiothlypis virginiae,Parulidae,Passeriformes,8.2,281000.1,38.31,3
Leucopeza semperi,Parulidae,Passeriformes,19.75,0.98,13.92,1
Limnothlypis swainsonii,Parulidae,Passeriformes,18.9,1142671.96,33.39,3
Mniotilta varia,Parulidae,Passeriformes,10.9,5385503.08,48.07,3
Myioborus albifacies,Parulidae,Passeriformes,15,17030.05,5.53,1
Myioborus albifrons,Parulidae,Passeriformes,11.3,17311.95,8.69,1
Myioborus brunniceps,Parulidae,Passeriformes,9.2,112336.71,-23.69,1
Myioborus cardonai,Parulidae,Passeriformes,10.92,233.35,5.79,1
