species,attractiveness,n_sex_rows
Alcippe nipalensis,5.8879,1
Alcippe peracensis,6.1226,1
Alcippe poioicephala,4.8067,1
Alcippe pyrrhoptera,5.0398,1
Alcurus striatus,6.3745,1
Aleadryas rufinucha,5.4735,1
Alectoris barbara,5.5927,1
Alectoris chukar,5.8038,1
Alectoris graeca,5.8173,1
Alectoris magna,6.0044,1
Alectoris melanocephala,5.3642,1
Alectoris philbyi,5.2660,1
Alectoris rufa,5.5444,1
Alectroenas madagascariensis,5.8566,1
Alectroenas pulcherrimus,5.3833,1
Alectroenas sganzini,5.6321,1
Alectrurus risora,5.6776,2
Alectrurus tricolor,6.5432,1
Alectura lathami,4.9873,1
Alethe castanea,4.9110,1
Alethe diademata,5.8632,1
Alexandrinus eques,6.5077,1
Alexandrinus krameri,6.9530,1
Alipiopsitta xanthops,6.0410,1
Alisterus amboinensis,6.7587,1
Alisterus chloropterus,6.6946,1
Alisterus scapularis,6.8190,2
Alle alle,6.1939,1
Allenia fusca,4.7603,1
Alopecoenas canifrons,5.1970,1
Alopecoenas erythropterus,5.7828,2
Alopecoenas hoedtii,5.4165,2
Alopecoenas kubaryi,5.4392,1
Alopecoenas rubescens,5.3019,1
Alopecoenas stairi,5.1561,1
Alopecoenas xanthonurus,5.0236,1
Alophoixus bres,5.2736,1
Alophoixus flaveolus,5.5748,1
Alophoixus frater,5.1075,1
Alophoixus ochraceus,5.7105,1
Alophoixus phaeocephalus,5.9367,1
Alopochelidon fucata,6.2010,1
Alopochen aegyptiaca,6.3231,1
Amadina erythrocephala,5.8733,2
Amadina fasciata,5.7257,1
Amalocichla incerta,5.1475,1
Amalocichla sclateriana,4.8565,1
Amandava amandava,7.2448,1
Amandava formosa,6.4048,1
Amandava subflava,6.3966,1
Amaurocichla bocagii,4.7637,1
Amaurolimnas concolor,4.7951,1
Amaurornis cinerea,4.8114,1
Amaurornis isabellina,5.2369,1
Amaurornis marginalis,4.3920,1
Amaurornis moluccana,5.3352,1
Amaurornis olivacea,5.1627,1
Amaurornis phoenicurus,6.0165,1
Amazilia amabilis,7.2149,1
Amazilia amazilia,6.5332,1
Amazilia beryllina,7.6800,1
Amazilia boucardi,7.3242,1
Amazilia brevirostris,7.1930,1
Amazilia candida,6.4972,1
Amazilia castaneiventris,6.9454,1
Amazilia chionogaster,6.6356,1
Amazilia chrysura,6.7723,1
Amazilia coeruleogularis,7.9576,1
Amazilia cyanifrons,7.4839,1
Amazilia cyanocephala,7.1745,1
Amazilia cyanura,6.6563,1
Amazilia cyanus,6.8628,1
Amazilia decora,7.3953,1
Amazilia edward,7.3642,1
Amazilia eliciae,7.0290,1
Amazilia franciae,7.4505,1
Amazilia goudoti,7.2371,1
Amazilia grayi,7.0247,1
Amazilia humboldtii,6.8339,1
Amazilia julie,7.6416,1
Amazilia leucogaster,7.3227,1
Amazilia lilliae,7.9481,1
Amazilia luciae,6.2456,1
Amazilia oenone,7.0191,1
Amazilia rosenbergi,7.1982,2
Amazilia rutila,6.3958,1
Amazilia sapphirina,6.6678,1
Amazilia tobaci,7.3459,1
Amazilia tzacatl,7.1295,1
Amazilia versicolor,6.7579,1
Amazilia violiceps,6.8368,1
Amazilia viridicauda,7.2501,1
Amazilia yucatanensis,7.2208,1
Amazona aestiva,6.9988,1
Amazona agilis,6.5738,1
Amazona albifrons,6.8670,1
Amazona amazonica,6.5665,1
Amazona arausiaca,6.2495,1
Amazona auropalliata,7.0018,1
Amazona barbadensis,6.6376,1
Amazona brasiliensis,6.4006,1
Amazona collaria,6.8116,1
Amazona dufresniana,5.8594,1
Amazona finschi,6.2855,1
Amazona guildingii,6.4934,1
Amazona imperialis,5.5652,1
Amazona kawalli,7.0743,1
Amazona leucocephala,6.2200,1
Amazona mercenarius,6.4573,1
Amazona ochrocephala,7.1286,1
Amazona oratrix,6.6274,1
Amazona pretrei,6.6489,2
Amazona rhodocorytha,6.9499,1
Amazona tucumana,6.5437,1
Amazona ventralis,7.0516,1
Amazona versicolor,6.7309,1
Amazona vinacea,6.7486,1
Amazona viridigenalis,6.6883,1
Amazona vittata,6.3394,1
Amazona xantholora,6.4212,1
Amazonetta brasiliensis,5.4758,2
Amblycercus holosericeus,5.3855,1
Amblyornis inornata,5.5738,1
Amblyornis macgregoriae,5.0217,1
Amblyospiza albifrons,6.0747,1
Amblyramphus holosericeus,7.1079,1
Ammodramus aurifrons,5.3854,1
Ammodramus humeralis,5.2054,1
Ammodramus savannarum,4.9624,1
Ammomanes cinctura,4.7738,1
Ammomanes deserti,4.4371,1
Ammomanes phoenicura,5.5030,1
Ammomanopsis grayi,4.8961,1
Ammonastes pelzelni,5.1224,1
Ammoperdix griseogularis,5.8601,2
Ammoperdix heyi,5.3121,1
Ammospiza caudacuta,5.7751,1
Ammospiza leconteii,6.4484,1
Ammospiza maritima,5.9935,1
Ammospiza nelsoni,5.5452,1
Ampeliceps coronatus,5.6631,1
Ampelioides tschudii,6.7028,1
Ampelion rubrocristatus,6.6143,1
