species,attractiveness,n_sex_rows
Leptocoma minima,6.9967,2
Leptocoma zeylonica,6.0025,2
Leptodon cayanensis,6.3984,1
Leptodon forbesi,6.3369,1
Leptopoecile elegans,6.3611,2
Leptopoecile sophiae,7.4383,1
Leptopogon amaurocephalus,5.1271,1
Leptopogon rufipectus,5.2119,1
Leptopogon taczanowskii,5.1743,1
Leptopterus chabert,6.3076,1
Leptoptilos crumenifer,4.6258,1
Leptoptilos dubius,4.9050,1
Leptoptilos javanicus,5.1850,1
Leptosittaca branickii,7.4289,1
Leptosomus discolor,5.7492,1
Leptotila cassinii,5.3857,1
Leptotila conoveri,5.2276,1
Leptotila jamaicensis,5.9822,1
Leptotila megalura,5.2730,1
Leptotila ochraceiventris,5.6699,1
Leptotila pallida,5.1901,1
Leptotila rufaxilla,5.5207,1
Leptotila verreauxi,5.0148,1
Leptotila wellsi,5.3167,1
Leptotrygon veraguensis,5.1642,1
Lerwa lerwa,5.7875,1
Lesbia nuna,7.3481,2
Lesbia victoriae,6.7722,1
Lessonia oreas,5.7597,1
Lessonia rufa,5.3384,2
Leucippus baeri,6.4678,1
Leucippus chlorocercus,6.1687,1
Leucippus fallax,6.4275,1
Leucocarbo bougainvilliorum,5.4154,1
Leucocarbo campbelli,5.7536,1
Leucocarbo carunculatus,5.8387,1
Leucocarbo chalconotus,5.2388,1
Leucocarbo colensoi,5.8249,1
Leucocarbo magellanicus,5.9761,1
Leucocarbo onslowi,5.2068,1
Leucocarbo ranfurlyi,5.1716,1
Leucocarbo verrucosus,5.3800,1
Leucochloris albicollis,7.3811,1
Leucogeranus leucogeranus,5.8854,1
Leuconotopicus albolarvatus,6.2437,2
Leuconotopicus arizonae,6.3166,1
Leuconotopicus borealis,6.2184,1
Leuconotopicus fumigatus,6.1557,1
Leuconotopicus stricklandi,5.8151,1
Leuconotopicus villosus,6.1782,2
Leucopsar rothschildi,7.0635,1
Leucopternis kuhli,6.1151,1
Leucopternis melanops,6.1826,1
Leucopternis semiplumbeus,6.7894,1
Leucosarcia melanoleuca,6.4235,1
Leucosticte arctoa,5.9237,1
Leucosticte atrata,6.7589,1
Leucosticte australis,6.1677,1
Leucosticte brandti,5.0048,1
Leucosticte nemoricola,5.2869,1
Leucosticte tephrocotis,5.8880,1
Lewinia mirifica,4.2313,1
Lewinia pectoralis,5.2496,1
Lewinia striata,5.5209,1
Lichenostomus cratitius,5.2739,1
Lichenostomus melanops,6.3872,1
Lichmera alboauricularis,4.9584,1
Lichmera argentauris,5.4399,1
Lichmera deningeri,6.1217,1
Lichmera flavicans,6.3344,1
Lichmera incana,5.5230,1
Lichmera lombokia,5.7157,1
Lichmera monticola,5.4298,1
Lichmera notabilis,5.0686,1
Lichmera squamata,5.1502,1
Limnoctites rectirostris,5.3221,1
Limnodromus griseus,5.4966,1
Limnodromus scolopaceus,5.3107,1
Limnodromus semipalmatus,5.6958,1
Limnornis curvirostris,5.6982,1
Limnothlypis swainsonii,5.4488,1
Limosa fedoa,5.5793,1
Limosa haemastica,5.5652,1
Limosa lapponica,6.1775,1
Limosa limosa,6.1009,1
Linaria cannabina,5.6384,2
Linaria flavirostris,5.7959,1
Linaria yemenensis,5.7597,1
Linurgus olivaceus,6.5539,1
Liocichla bugunorum,6.6949,1
Liocichla omeiensis,5.9675,1
Liocichla phoenicea,6.4818,1
Liocichla ripponi,6.5796,1
Liocichla steerii,6.8321,1
Lioparus chrysotis,6.6405,1
Liosceles thoracicus,5.1634,1
Lipaugus ater,5.8283,2
Lipaugus conditus,5.6099,1
Lipaugus fuscocinereus,5.4402,1
Lipaugus lanioides,4.8744,1
Lipaugus streptophorus,5.7684,1
Lipaugus unirufus,6.1607,1
Lipaugus uropygialis,5.2466,1
Lipaugus vociferans,5.1142,1
Lipaugus weberi,5.7264,1
Lissotis hartlaubii,6.0453,1
Lissotis melanogaster,5.9597,1
Loboparadisea sericea,6.0919,1
Lobotos oriolinus,6.0078,1
Lochmias nematura,5.5776,1
Locustella accentor,4.9826,1
Locustella alishanensis,4.8850,1
Locustella amnicola,4.6460,1
Locustella caudata,4.3476,1
Locustella certhiola,5.3314,1
Locustella chengi,4.6075,1
Locustella davidi,5.1313,1
Locustella fasciolata,4.6848,1
Locustella fluviatilis,4.8284,1
Locustella kashmirensis,6.3936,2
Locustella lanceolata,4.6372,1
Locustella luscinioides,4.5320,1
Locustella luteoventris,4.4643,1
Locustella montis,4.9510,1
Locustella naevia,5.3921,1
Locustella ochotensis,4.7454,1
Locustella pleskei,5.4217,1
Locustella pryeri,4.9178,1
Locustella seebohmi,4.2559,1
Locustella tacsanowskia,4.8347,1
Locustella thoracica,5.6059,1
Loddigesia mirabilis,8.0252,1
Lonchura atricapilla,6.1509,1
Lonchura caniceps,5.5957,1
Lonchura castaneothorax,6.9276,1
Lonchura ferruginosa,5.7154,1
Lonchura flaviprymna,6.1150,1
Lonchura forbesi,5.6452,1
Lonchura fuscans,5.5306,1
Lonchura fuscata,6.0460,1
Lonchura grandis,6.1763,1
Lonchura kelaarti,5.5448,1
Lonchura leucogastra,5.5591,1
Lonchura leucogastroides,6.1456,1
Lonchura maja,6.1472,1
Lonchura malacca,6.4005,1
Lonchura melaena,5.8958,1
Lonchura molucca,5.4774,1
Lonchura montana,6.2515,1
Lonchura monticola,5.7384,1
Lonchura nevermanni,5.9525,1
Lonchura oryzivora,6.9111,1
Lonchura pallida,6.7264,1
Lonchura punctulata,6.1154,1
Lonchura quinticolor,6.3955,1
Lonchura spectabilis,6.1903,1
Lonchura striata,5.9345,1
Lonchura stygia,6.6582,1
Lonchura teerinki,5.3847,1
Lonchura vana,5.9199,1
Lophaetus occipitalis,7.1700,1
Lophoceros alboterminatus,5.3481,1
Lophoceros bradfieldi,6.0373,1
Lophoceros camurus,5.9448,1
Lophoceros hemprichii,6.2564,1
Lophoceros nasutus,5.6806,1
Lophoceros pallidirostris,4.5866,1
Lophodytes cucullatus,6.0800,1
Lophoictinia isura,6.3807,1
Lopholaimus antarcticus,5.9980,1
Lophonetta specularioides,5.4073,1
Lophophanes cristatus,6.4975,1
Lophophanes dichrous,6.8751,1
Lophophorus impejanus,6.8192,2
Lophophorus lhuysii,5.9512,1
Lophophorus sclateri,4.7499,1
Lophorina intercedens,5.5920,1
Lophorina magnifica,6.2767,1
Lophorina paradisea,6.8013,2
Lophorina victoriae,6.1805,1
Lophornis adorabilis,6.9949,2
Lophornis brachylophus,6.6416,1
Lophornis chalybeus,6.6420,2
Lophornis delattrei,6.9437,2
Lophornis gouldii,6.4058,2
Lophornis helenae,7.2099,1
Lophornis magnificus,6.8424,2
Lophornis ornatus,7.8109,1
Lophornis pavoninus,6.4662,1
Lophornis stictolophus,7.2787,1
Lophospingus griseocristatus,6.2013,1
Lophospingus pusillus,6.3776,1
Lophostrix cristata,7.3091,1
Lophotibis cristata,5.5215,1
Lophotis gindiana,5.2530,1
Lophotis ruficrista,5.7296,1
Lophotis savilei,5.9080,1
Lophotriccus eulophotes,5.2422,1
Lophotriccus galeatus,5.1132,1
Lophotriccus pileatus,5.6535,1
Lophotriccus vitiosus,5.3979,1
Lophotriorchis kienerii,6.6996,1
Lophura bulweri,5.0856,1
Lophura diardi,5.4324,1
Lophura inornata,5.4775,1
Lophura leucomelanos,5.9664,2
Lophura nycthemera,6.7910,1
Lophura swinhoii,5.9885,2
Loriculus amabilis,7.1422,1
Loriculus aurantiifrons,6.9052,1
Loriculus beryllinus,7.0815,1
Loriculus catamene,6.8682,2
Loriculus exilis,6.8314,1
Loriculus flosculus,4.9667,1
Loriculus galgulus,7.0101,2
Loriculus pusillus,7.0421,1
Loriculus sclateri,7.0087,1
Loriculus stigmatus,6.3336,1
Loriculus tener,5.7515,1
Loriculus vernalis,6.9262,1
Lorius chlorocercus,6.6137,1
Lorius domicella,7.0999,1
Lorius garrulus,6.6038,1
Lorius hypoinochrous,6.7817,1
Lorius lory,7.6710,1
Loxia leucoptera,5.9707,1
Loxia megaplaga,5.3137,1
Loxia pytyopsittacus,6.1851,1
Loxia scotica,5.5160,1
Loxigilla barbadensis,5.1368,1
Loxigilla noctis,6.5293,1
Loxioides bailleui,6.1031,1
Loxipasser anoxanthus,5.3480,1
Loxops caeruleirostris,6.1118,1
Loxops coccineus,6.6598,1
Lullula arborea,5.1781,1
Lurocalis rufiventris,5.2770,1
Lurocalis semitorquatus,5.5587,2
Luscinia luscinia,5.2166,1
Luscinia megarhynchos,5.3528,1
Lybius chaplini,5.2223,1
Lybius guifsobalito,5.7979,1
Lybius rubrifacies,5.5666,1
Lybius torquatus,6.3229,1
Lybius undatus,5.5040,1
Lybius vieilloti,5.7126,1
Lymnocryptes minimus,5.6420,1
Lyncornis macrotis,6.1028,1
Lyncornis temminckii,5.1527,1
Lyrurus mlokosiewiczi,5.7630,1
Lyrurus tetrix,6.2643,1
Macgregoria pulchra,5.6378,1
Machaerirhynchus flaviventer,7.2336,1
Machaerirhynchus nigripectus,7.1320,1
Machaeropterus deliciosus,6.6232,1
Machaeropterus eckelberryi,5.6260,1
Machaeropterus pyrocephalus,6.4820,2
Machaeropterus regulus,6.9296,1
Machaeropterus striolatus,7.3544,1
Macheiramphus alcinus,6.3355,1
Machetornis rixosa,5.3661,1
Machlolophus holsti,6.7400,1
Machlolophus nuchalis,6.0457,1
Machlolophus spilonotus,6.8936,1
Mackenziaena leachii,6.1544,2
Mackenziaena severa,5.8774,1
Macroagelaius imthurni,5.3547,1
Macroagelaius subalaris,5.5365,1
Macrocephalon maleo,5.6912,2
Macronectes giganteus,4.5700,1
Macronectes halli,5.2588,1
Macronus ptilosus,6.4622,1
Macronus striaticeps,5.2823,1
Macronyx ameliae,5.8537,1
Macronyx aurantiigula,5.3980,1
Macronyx capensis,5.6776,1
Macronyx croceus,6.1088,1
Macronyx flavicollis,5.7874,1
Macronyx fuelleborni,5.4734,1
Macronyx grimwoodi,5.5245,1
Macronyx sharpei,4.8568,1
Macropsalis forcipata,6.0927,2
Macropygia macassariensis,5.1678,1
Macropygia mackinlayi,5.1593,1
Macropygia magna,5.2492,1
Macropygia nigrirostris,5.8500,1
Macropygia phasianella,5.5030,2
Macropygia ruficeps,5.4065,1
Macropygia rufipennis,5.7386,1
Macropygia timorlaoensis,5.3897,1
Macropygia unchall,5.3967,1
Macrosphenus concolor,4.8701,1
Macrosphenus flavicans,5.2264,1
Macrosphenus kempi,4.8993,1
Macrosphenus kretschmeri,4.2955,1
Macrosphenus pulitzeri,5.6324,1
Madanga ruficollis,5.6362,1
Magumma parva,6.0344,1
Malacocincla abbotti,5.1963,1
Malacocincla sepiaria,4.8282,1
Malaconotus alius,4.9153,1
Malaconotus blanchoti,6.3759,1
Malaconotus cruentus,6.4352,1
Malaconotus gladiator,5.1759,1
Malaconotus lagdeni,6.1938,1
Malaconotus monteiri,6.6706,1
Malacopteron affine,5.3309,1
Malacopteron albogulare,5.3265,1
Malacopteron cinereum,5.2555,1
Malacopteron magnirostre,4.6578,1
Malacopteron magnum,5.1344,1
Malacopteron palawanense,5.4719,1
Malacoptila fulvogularis,5.2142,1
Malacoptila fusca,6.7676,1
Malacoptila mystacalis,6.0791,2
Malacoptila panamensis,5.7491,1
Malacoptila rufa,5.6295,1
Malacoptila semicincta,6.4091,1
Malacorhynchus membranaceus,5.6047,1
Malcorus pectoralis,5.5435,1
Malia grata,5.0453,1
Malimbus ballmanni,5.3512,1
Malimbus cassini,6.7371,1
Malimbus coronatus,5.4827,2
Malimbus erythrogaster,5.3105,1
Malimbus malimbicus,5.6819,1
Malimbus nitens,6.6677,1
Malimbus racheliae,6.2763,2
Malimbus rubricollis,5.6030,1
Malimbus scutatus,5.5530,1
Malindangia mcgregori,5.4992,1
Malurus alboscapulatus,6.4208,1
Malurus amabilis,7.6317,1
Malurus assimilis,7.5490,2
Malurus coronatus,7.5472,1
Malurus cyaneus,7.4295,1
Malurus cyanocephalus,6.5712,2
Malurus elegans,6.7705,1
Malurus lamberti,6.9228,2
Malurus leucopterus,7.3765,1
Malurus melanocephalus,6.6570,2
Malurus pulcherrimus,7.1272,1
Malurus splendens,7.2807,1
Manacus aurantiacus,6.6228,2
Manacus candei,6.4390,1
Manacus manacus,6.9883,1
Manacus vitellinus,6.7722,1
Mandingoa nitidula,6.6724,2
Manorina flavigula,5.8700,1
Manorina melanocephala,5.6171,1
Manorina melanophrys,5.2253,1
Manorina melanotis,5.8125,1
Manucerthia mana,5.6581,1
Manucodia ater,5.5890,1
Manucodia chalybatus,6.1639,1
Manucodia comrii,5.2474,1
Manucodia jobiensis,5.0562,1
Mareca americana,6.0990,1
Mareca falcata,5.9751,1
Mareca penelope,5.4565,1
Mareca sibilatrix,5.8823,1
Mareca strepera,6.0862,1
Margarobyas lawrencii,6.7763,1
Margaroperdix madagarensis,5.5660,1
Margarops fuscatus,4.6204,1
Margarornis bellulus,5.1798,1
Margarornis rubiginosus,5.8330,1
Margarornis squamiger,6.4565,1
Margarornis stellatus,5.3963,1
Marmaronetta angustirostris,5.4961,1
Maschalethraupis surinama,5.7972,1
Masius chrysopterus,6.1110,1
Mayrornis lessoni,5.5938,1
Mayrornis schistaceus,4.3551,1
Mayrornis versicolor,5.4400,1
Mazaria propinqua,4.8728,1
Mearnsia novaeguineae,5.2008,1
Mearnsia picina,5.0719,1
Mecocerculus calopterus,6.2024,1
Mecocerculus hellmayri,5.2271,1
Mecocerculus leucophrys,6.5316,1
Mecocerculus minor,5.7095,1
Mecocerculus poecilocercus,6.0044,1
Mecocerculus stictopterus,5.5165,1
Megabyas flammulatus,5.4388,2
Megaceryle alcyon,7.3254,1
Megaceryle lugubris,7.3270,1
Megaceryle maxima,6.9420,1
Megaceryle torquata,6.9826,1
Megacrex inepta,4.6667,1
Megadyptes antipodes,6.9888,1
Megalampitta gigantea,4.3747,1
Megaloprepia formosa,5.8564,1
Megaloprepia magnifica,6.7977,1
Megalurulus mariae,5.2035,1
Megalurus palustris,5.0434,1
Megapodius bernsteinii,4.7113,1
Megapodius cumingii,4.5147,1
Megapodius decollatus,4.4664,1
Megapodius eremita,4.3128,1
Megapodius geelvinkianus,4.2637,1
Megapodius laperouse,5.1921,1
Megapodius layardi,4.3615,1
Megapodius nicobariensis,4.5896,1
Megapodius reinwardt,5.2893,1
Megapodius tenimberensis,4.4704,1
Megarynchus pitangua,5.7659,1
Megascops asio,7.1787,1
Megascops atricapilla,6.6636,1
Megascops barbarus,6.5116,1
Megascops choliba,6.2292,1
Megascops clarkii,7.1597,1
Megascops cooperi,6.9807,1
Megascops gilesi,6.6640,1
Megascops hoyi,6.9047,1
Megascops kennicottii,7.0030,1
Megascops koepckeae,6.6697,1
Megascops marshalli,6.9346,1
Megascops nudipes,6.2399,1
Megascops petersoni,6.8444,1
Megascops roboratus,6.5188,1
Megascops sanctaecatarinae,6.8304,1
Megascops seductus,6.2931,1
Megascops trichopsis,6.5133,1
Megascops watsonii,6.7404,1
Megastictus margaritatus,4.6082,1
Megatriorchis doriae,5.4842,1
Megaxenops parnaguae,6.0673,1
Megazosterops palauensis,5.2994,1
Meiglyptes jugularis,5.8927,1
Meiglyptes tukki,6.2153,1
Melaenornis annamarulae,4.6224,1
Melaenornis ardesiacus,5.4236,1
Melaenornis brunneus,5.7163,1
Melaenornis chocolatinus,5.6668,1
Melaenornis edolioides,5.8075,1
Melaenornis fischeri,5.6593,1
Melaenornis herero,5.2074,1
Melaenornis pammelaina,5.7813,1
Melaenornis semipartitus,7.1791,1
Melaenornis silens,5.7340,1
Melampitta lugubris,5.7898,1
Melanerpes aurifrons,7.0000,2
Melanerpes cactorum,6.2661,1
Melanerpes candidus,6.8637,1
Melanerpes carolinus,7.1918,1
Melanerpes chrysauchen,6.5672,2
Melanerpes chrysogenys,6.3628,1
Melanerpes cruentatus,5.8890,1
Melanerpes erythrocephalus,7.1709,1
Melanerpes flavifrons,6.4174,1
Melanerpes formicivorus,6.6843,1
Melanerpes herminieri,6.0705,1
Melanerpes hoffmannii,6.9391,1
Melanerpes hypopolius,5.6231,1
Melanerpes lewis,6.1587,1
Melanerpes portoricensis,6.3472,1
Melanerpes pucherani,6.4001,1
Melanerpes pulcher,6.2207,2
Melanerpes pygmaeus,6.0830,1
Melanerpes radiolatus,6.7926,1
Melanerpes rubricapillus,6.1224,2
Melanerpes striatus,6.4153,1
Melanerpes superciliaris,7.1181,1
Melanerpes uropygialis,6.2435,1
Melaniparus afer,6.3664,1
Melaniparus albiventris,6.0538,1
Melaniparus carpi,5.8625,1
Melaniparus cinerascens,5.7969,1
Melaniparus fasciiventer,5.8179,1
Melaniparus fringillinus,5.4740,1
Melaniparus funereus,5.6273,1
Melaniparus griseiventris,4.9549,1
Melaniparus guineensis,5.6449,1
Melaniparus leucomelas,6.1202,1
Melaniparus leuconotus,6.1534,1
Melaniparus niger,5.9452,1
Melaniparus thruppi,5.6556,1
Melanitta americana,5.7895,2
Melanitta deglandi,5.6477,1
Melanitta fusca,4.5242,1
Melanitta nigra,5.1075,2
Melanitta perspicillata,5.3057,1
Melanitta stejnegeri,6.4175,1
Melanocharis arfakiana,5.3847,1
Melanocharis longicauda,5.4106,1
Melanocharis nigra,5.3239,1
Melanocharis striativentris,5.0103,1
Melanocharis versteri,6.2702,1
Melanochlora sultanea,7.2871,1
Melanocorypha bimaculata,4.8745,1
Melanocorypha calandra,5.5540,1
Melanocorypha maxima,4.6096,1
Melanocorypha mongolica,5.1009,1
Melanocorypha yeltoniensis,4.7464,2
Melanodera melanodera,6.1522,1
Melanodera xanthogramma,5.9742,2
Melanodryas cucullata,6.4600,2
Melanodryas vittata,5.5456,1
Melanopareia elegans,6.6125,1
Melanopareia maranonica,6.8007,2
Melanopareia maximiliani,6.5803,1
Melanopareia torquata,6.5060,1
Melanoptila glabrirostris,5.7038,1
Melanorectes nigrescens,4.6613,2
Melanospiza bicolor,5.4869,1
Melanospiza richardsoni,5.4538,1
Melanotis caerulescens,5.5802,1
Melanotis hypoleucus,5.4765,1
Meleagris gallopavo,4.1189,1
Meleagris ocellata,4.9826,1
Meliarchus sclateri,5.6321,1
Melichneutes robustus,4.4672,1
Melidectes belfordi,5.2820,1
Melidectes fuscus,5.5607,1
Melidectes leucostephes,5.6207,1
Melidectes nouhuysi,5.2894,1
Melidectes ochromelas,5.1251,1
Melidectes rufocrissalis,5.6341,1
Melidectes torquatus,5.8524,1
Melidora macrorrhina,6.8692,1
Melierax canorus,6.1465,1
Melierax metabates,6.9183,1
Melierax poliopterus,6.7839,1
Melignomon eisentrauti,4.4854,1
Melignomon zenkeri,4.4193,1
Melilestes megarhynchus,5.2218,1
Meliphacator provocator,5.5808,1
Meliphaga aruensis,5.1274,1
Meliphaga lewinii,5.5996,1
Meliphaga notata,5.2406,1
Melipotes ater,5.7974,1
Melipotes fumigatus,5.8365,1
Melipotes gymnops,6.1033,1
Melithreptus affinis,5.9798,1
Melithreptus albogularis,6.1178,1
Melithreptus brevirostris,5.1192,1
Melithreptus chloropsis,5.5087,1
Melithreptus lunatus,6.4235,1
Melithreptus validirostris,5.8578,1
Melitograis gilolensis,5.4226,1
Mellisuga helenae,7.1219,1
Mellisuga minima,6.5383,1
Melloria quoyi,5.6375,1
Melocichla mentalis,4.7951,1
Melopsittacus undulatus,6.4030,1
Melospiza georgiana,5.6854,1
Melospiza lincolnii,5.6699,1
Melospiza melodia,5.6638,1
Melozone aberti,5.0614,1
Melozone albicollis,4.7894,1
Melozone biarcuata,5.8691,1
Melozone cabanisi,5.9022,1
Melozone crissalis,4.9488,1
Melozone fusca,5.2726,1
Melozone kieneri,5.8802,1
Mentocrex beankaensis,4.9456,1
Mentocrex kioloides,5.3578,1
Menura alberti,5.7909,1
Menura novaehollandiae,6.6184,1
Merganetta armata,5.5035,2
Mergellus albellus,5.7016,2
Mergus merganser,5.9399,1
Mergus octosetaceus,5.1183,2
Mergus serrator,5.7438,2
Mergus squamatus,6.1119,1
Meropogon forsteni,7.4096,1
Merops albicollis,6.6533,1
Merops americanus,7.7850,1
Merops apiaster,7.4670,1
Merops boehmi,7.6809,1
Merops breweri,6.8063,1
Merops bullockoides,7.2227,1
Merops bulocki,7.4419,1
Merops gularis,7.1591,1
Merops hirundineus,7.3714,1
Merops leschenaulti,6.7349,1
Merops malimbicus,7.0716,1
Merops mentalis,7.6498,1
Merops muelleri,7.0248,1
Merops nubicoides,7.6428,1
Merops nubicus,7.7227,1
Merops oreobates,7.4302,1
Merops ornatus,7.5904,1
Merops persicus,7.2468,1
Merops philippinus,7.5222,1
Merops pusillus,7.7720,1
Merops revoilii,7.3012,1
Merops superciliosus,7.6910,1
Merops viridis,7.3092,1
Merulaxis ater,5.9617,1
Merulaxis stresemanni,5.3491,2
Mesembrinibis cayennensis,5.7323,1
Mesitornis unicolor,5.4191,1
Mesitornis variegatus,5.7365,1
Metabolus godeffroyi,5.8503,1
Metabolus rugensis,6.1900,1
Metabolus takatsukasae,5.4061,1
Metallura aeneocauda,6.3685,1
Metallura baroni,5.9659,2
Metallura eupogon,6.5812,2
Metallura iracunda,7.1476,1
Metallura odomae,7.4042,1
Metallura phoebe,6.5170,1
Metallura theresiae,7.1440,2
Metallura tyrianthina,6.9252,1
Metallura williami,6.9141,1
Metopidius indicus,6.0806,1
Metopothrix aurantiaca,5.9230,1
Metriopelia aymara,4.9451,1
Metriopelia ceciliae,5.6136,1
Metriopelia melanoptera,5.4885,1
Metriopelia morenoi,5.5802,1
Micrastur buckleyi,6.0596,1
Micrastur gilvicollis,6.0479,1
Micrastur mintoni,6.0725,1
Micrastur mirandollei,6.0046,1
Micrastur plumbeus,5.7927,1
Micrastur ruficollis,6.4255,1
Micrastur semitorquatus,6.6576,1
Micrathene whitneyi,6.5854,1
Microbates cinereiventris,5.9197,1
Microbates collaris,5.2847,1
Microcarbo africanus,4.4754,1
Microcarbo coronatus,5.1253,1
Microcarbo melanoleucos,5.7342,1
Microcarbo niger,4.4968,1
Microcarbo pygmaeus,4.9766,1
Microcerculus bambla,4.8521,1
Microcerculus marginatus,5.3997,1
Microcerculus philomela,5.0507,1
Microcerculus ustulatus,5.1200,1
Microchera albocoronata,7.7354,1
Microdynamis parva,5.5339,1
Microeca fascinans,6.2609,1
Microeca hemixantha,5.8504,1
Microhierax caerulescens,7.1633,1
Microhierax erythrogenys,6.5322,1
Microhierax fringillarius,6.8806,1
Microhierax latifrons,6.5804,2
Microhierax melanoleucos,6.3235,1
Microligea palustris,5.8252,1
Micromacronus leytensis,4.6584,1
Micromacronus sordidus,5.4650,1
Micromonacha lanceolata,6.1911,1
Micronisus gabar,6.5392,1
Microparra capensis,5.9936,1
Micropsitta bruijnii,7.0181,1
Micropsitta finschii,7.0643,1
Micropsitta geelvinkiana,6.7951,1
Micropsitta keiensis,6.5837,1
Micropsitta meeki,5.4876,1
Micropsitta pusio,6.7574,1
Micropternus brachyurus,6.3657,1
Microptilotis albilineatus,4.8351,1
Microptilotis albonotatus,5.1685,1
Microptilotis cinereifrons,5.1668,1
Microptilotis flavirictus,4.4754,1
Microptilotis fordianus,5.2414,1
Microptilotis gracilis,5.6109,1
Microptilotis montanus,5.2735,1
Microptilotis orientalis,4.8421,1
Microptilotis reticulatus,4.8233,1
Micropygia schomburgkii,6.3133,1
Microrhopias quixensis,6.2865,1
Microspingus alticola,5.9069,1
Microspingus cabanisi,6.0203,1
Microspingus cinereus,4.9402,1
Microspingus erythrophrys,6.7764,1
Microspingus lateralis,6.6233,1
Microspingus melanoleucus,6.1194,1
Microspingus trifasciatus,6.4979,1
Microstilbon burmeisteri,6.9193,1
Microtarsus melanoleucos,5.2079,1
Microxenops milleri,5.2673,1
Milvago chimachima,6.4087,1
Milvus milvus,5.7418,1
Mimus dorsalis,5.2887,1
Mimus gilvus,5.4810,1
Mimus graysoni,4.5190,1
Mimus gundlachii,4.9662,1
Mimus longicaudatus,5.1624,1
Mimus macdonaldi,5.5790,1
Mimus melanotis,4.9432,1
Mimus parvulus,5.0246,1
Mimus patagonicus,4.6833,1
Mimus polyglottos,5.2580,1
Mimus saturninus,5.2339,1
Mimus thenca,4.9467,1
Mimus trifasciatus,5.0786,1
Mimus triurus,5.1176,1
Minla ignotincta,5.6480,1
Mino anais,6.2114,1
Mino dumontii,6.0981,1
Mino kreffti,6.2268,1
Mionectes macconnelli,5.4527,1
Mionectes oleagineus,5.1589,1
Mionectes rufiventris,6.0890,1
Mionectes striaticollis,5.6224,1
Mirafra affinis,5.2557,1
Mirafra albicauda,4.7009,1
Mirafra angolensis,4.8351,1
Mirafra apiata,4.8285,1
Mirafra assamica,4.9426,1
Mirafra cheniana,5.2618,1
Mirafra collaris,5.1368,1
Mirafra erythrocephala,4.8852,1
Mirafra erythroptera,4.8979,1
Mirafra fasciolata,4.4926,1
Mirafra gilletti,4.7231,1
Mirafra hypermetra,4.8665,1
Mirafra microptera,4.6158,1
Mirafra passerina,4.4920,1
Mirafra pulpa,4.7759,1
Mirafra rufocinnamomea,5.1161,1
Mirafra somalica,4.9389,1
Mirafra williamsi,5.1974,1
Mitrephanes olivaceus,5.6022,1
Mitrephanes phaeocercus,5.8310,1
Mitrospingus cassinii,6.0678,1
Mitrospingus oleagineus,5.1316,1
Mitu salvini,5.0317,1
Mitu tomentosum,5.5461,1
Mitu tuberosum,5.3311,1
Mixornis bornensis,5.2578,1
Mixornis gularis,5.5386,1
Mixornis kelleyi,5.3416,1
Mniotilta varia,6.6228,1
Modulatrix stictigula,4.7828,1
Mohoua albicilla,6.2090,1
Mohoua novaeseelandiae,5.6447,1
Mohoua ochrocephala,6.5121,1
Molothrus ater,5.4731,1
Molothrus bonariensis,5.8420,1
Molothrus oryzivorus,6.2835,1
Molothrus rufoaxillaris,5.3544,1
Momotus aequatorialis,7.0762,1
Momotus bahamensis,7.4058,1
Momotus coeruliceps,7.6535,1
Momotus lessonii,7.7589,1
Momotus mexicanus,6.8952,1
Momotus momota,6.7951,1
Momotus subrufescens,7.1369,1
Monarcha cinerascens,5.8525,1
Monarcha frater,6.4334,1
Monarcha melanopsis,5.9549,1
Monarcha richardsii,5.9081,1
Monasa atra,6.1079,1
Monasa flavirostris,5.3335,1
Monasa morphoeus,6.0169,1
Monasa nigrifrons,5.9691,1
Monias benschi,5.4218,1
Montecincla cachinnans,5.7659,1
Montecincla fairbanki,5.7634,1
Montecincla jerdoni,4.9694,1
Montecincla meridionalis,4.9569,1
Monticola angolensis,5.1207,1
Monticola brevipes,6.6513,1
Monticola cinclorhyncha,6.6754,1
Monticola explorator,5.6703,2
Monticola gularis,6.9877,1
Monticola rufiventris,6.5861,2
Monticola rufocinereus,6.3197,1
Monticola rupestris,6.5754,1
Monticola saxatilis,6.4698,1
Monticola semirufus,5.8197,1
Monticola solitarius,5.5080,1
Montifringilla adamsi,5.3052,1
Montifringilla henrici,5.5452,1
Montifringilla nivalis,5.6504,1
Morococcyx erythropygus,6.1554,1
Morphnarchus princeps,6.1211,1
Morphnus guianensis,5.6918,1
Morus bassanus,6.5614,1
Morus capensis,6.0428,1
Morus serrator,5.7664,1
Motacilla aguimp,5.6633,1
Motacilla alba,5.8083,1
Motacilla capensis,5.0331,1
Motacilla cinerea,4.9458,2
Motacilla citreola,5.7744,1
Motacilla clara,5.6500,1
Motacilla flava,5.1573,1
Motacilla flaviventris,6.0199,1
Motacilla grandis,5.7390,1
Motacilla maderaspatensis,5.9995,1
Motacilla samveasnae,5.9344,1
Motacilla tschutschensis,5.8079,1
Moupinia poecilotis,5.6835,1
Mulleripicus fuliginosus,5.8900,1
Mulleripicus fulvus,5.7984,1
Mulleripicus funebris,5.8412,1
Mulleripicus pulverulentus,6.0367,2
Muscicapa adusta,6.2479,1
Muscicapa aquatica,5.2991,1
Muscicapa cassini,5.9208,1
Muscicapa epulata,5.7367,1
