species,matched_name,authorship,year,source,fetched
Geranospiza caerulescens,Geranospiza caerulescens,"(Vieillot, 1817)",1817,gbif,2026-09-05
Gypaetus barbatus,Gypaetus barbatus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Gypohierax angolensis,Gypohierax angolensis,"(Gmelin, 1788)",1788,gbif,2026-09-05
Gyps africanus,Gyps africanus,"Salvadori, 1865",1865,gbif,2026-09-05
Gyps bengalensis,Gyps bengalensis,"(Gmelin, 1788)",1788,gbif,2026-09-05
Gyps coprotheres,Gyps coprotheres,"(J.R.Forster, 1798)",1798,gbif,2026-09-05
Gyps fulvus,Gyps fulvus,"(Hablizl, 1783)",1783,gbif,2026-09-05
Gyps himalayensis,Gyps himalayensis,"Hume, 1869",1869,gbif,2026-09-05
Gyps indicus,Gyps indicus,"(Scopoli, 1786)",1786,gbif,2026-09-05
Gyps rueppelli,Gyps rueppelli,"(A. E. Brehm, 1852)",1852,col,2026-09-05
Gyps tenuirostris,Gyps tenuirostris,"G.R.Gray, 1844",1844,gbif,2026-09-05
Haliaeetus albicilla,Haliaeetus albicilla,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Haliaeetus leucocephalus,Haliaeetus leucocephalus,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Haliaeetus leucogaster,Haliaeetus leucogaster,"(Gmelin, 1788)",1788,gbif,2026-09-05
Haliaeetus leucoryphus,Haliaeetus leucoryphus,"(Pallas, 1771)",1771,gbif,2026-09-05
Haliaeetus pelagicus,Haliaeetus pelagicus,"(Pallas, 1811)",1811,gbif,2026-09-05
Haliaeetus sanfordi,Haliaeetus sanfordi,"Mayr, 1935",1935,gbif,2026-09-05
Haliaeetus vocifer,Haliaeetus vocifer,"(Daudin, 1800)",1800,gbif,2026-09-05
Haliaeetus vociferoides,Haliaeetus vociferoides,"Des Murs, 1845",1845,gbif,2026-09-05
Haliastur indus,Haliastur indus,"(Boddaert, 1783)",1783,gbif,2026-09-05
Haliastur sphenurus,Haliastur sphenurus,"(Vieillot, 1818)",1818,gbif,2026-09-05
Hamirostra melanosternon,Hamirostra melanosternon,"(Gould, 1841)",1841,gbif,2026-09-05
Harpagus bidentatus,Harpagus bidentatus,"(Latham, 1790)",1790,gbif,2026-09-05
Harpagus diodon,Harpagus diodon,"(Temminck, 1823)",1823,gbif,2026-09-05
Harpia harpyja,Harpia harpyja,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Harpyopsis novaeguineae,Harpyopsis novaeguineae,"Salvadori, 1875",1875,gbif,2026-09-05
Helicolestes hamatus,Helicolestes hamatus,"(Temminck, 1821)",1821,gbif,2026-09-05
Henicopernis infuscatus,Henicopernis infuscatus,"Gurney, 1882",1882,gbif,2026-09-05
