species,matched_name,authorship,year,source,fetched
Pachycephala olivacea,Pachycephala olivacea,"Vigors & Horsfield, 1827",1827,gbif,2026-09-05
Pachycephala orioloides,Pachycephala orioloides,"Pucheran, 1853",1853,gbif,2026-09-05
Pachycephala orpheus,Pachycephala orpheus,"Jardine, 1849",1849,gbif,2026-09-05
Pachycephala par,Pachycephala par,"Hartert, 1904",1904,gbif,2026-09-05
Pachycephala pectoralis,Pachycephala pectoralis,"(Latham, 1802)",1802,gbif,2026-09-05
Pachycephala phaionota,Pachycephala phaionota,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Pachycephala philippinensis,Pachycephala philippinensis,"(Walden, 1872)",1872,gbif,2026-09-05
Pachycephala richardsi,Pachycephala richardsi,"Mayr, 1932",1932,gbif,2026-09-05
Pachycephala rufiventris,Pachycephala rufiventris,"(Latham, 1802)",1802,gbif,2026-09-05
Pachycephala rufogularis,Pachycephala rufogularis,"Gould, 1841",1841,gbif,2026-09-05
Pachycephala schlegelii,Pachycephala schlegelii,"Schlegel, 1871",1871,gbif,2026-09-05
Pachycephala simplex,Pachycephala simplex,"Gould, 1843",1843,gbif,2026-09-05
Pachycephala soror,Pachycephala soror,"P.L.Sclater, 1874",1874,gbif,2026-09-05
Pachycephala sulfuriventer,Pachycephala sulfuriventer,"(Walden, 1872)",1872,gbif,2026-09-05
Pachycephala tenebrosa,Pachycephala tenebrosa,"(Hartlaub & Finsch, 1868)",1868,gbif,2026-09-05
Pachycephala teysmanni,Pachycephala teysmanni,"Büttikofer, 1893",1893,gbif,2026-09-05
Pachycephala vitiensis,Pachycephala vitiensis,"G.R.Gray, 1860",1860,gbif,2026-09-05
Pseudorectes ferrugineus,Pseudorectes ferrugineus,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Pseudorectes incertus,Pseudorectes incertus,"(Oort, 1909)",1909,gbif,2026-09-05
Panurus biarmicus,Panurus biarmicus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Astrapia mayeri,Astrapia mayeri,"Stonor, 1939",1939,gbif,2026-09-05
Astrapia nigra,Astrapia nigra,"(Gmelin, 1788)",1788,gbif,2026-09-05
Astrapia rothschildi,Astrapia rothschildi,"Foerster, 1906",1906,gbif,2026-09-05
Astrapia splendidissima,Astrapia splendidissima,"Rothschild, 1895",1895,gbif,2026-09-05
Astrapia stephaniae,Astrapia stephaniae,"(Finsch & A.B.Meyer, 1885)",1885,gbif,2026-09-05
Cicinnurus magnificus,Cicinnurus magnificus,"(Pennant, 1781)",1781,gbif,2026-09-05
Cicinnurus regius,Cicinnurus regius,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Cicinnurus respublica,Cicinnurus respublica,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Drepanornis albertisi,Drepanornis albertisi,"(P.L.Sclater, 1873)",1873,gbif,2026-09-05
Drepanornis bruijnii,Drepanornis bruijnii,"Oustalet, 1879",1879,gbif,2026-09-05
Epimachus fastosus,Epimachus fastosus,"(Hermann, 1783)",1783,gbif,2026-09-05
Epimachus meyeri,Epimachus meyeri,"Finsch & A.B.Meyer, 1885",1885,gbif,2026-09-05
Lophorina feminina,Lophorina feminina,"Ogilvie-Grant, 1915",1915,gbif,2026-09-05
Lophorina intercedens,Lophorina intercedens,"(Sharpe, 1882)",1882,gbif,2026-09-05
Lophorina magnifica,Lophorina magnifica,"(Vieillot, 1819)",1819,gbif,2026-09-05
Lophorina minor,Lophorina minor,"E.P.Ramsay, 1885",1885,gbif,2026-09-05
Lophorina paradisea,Lophorina paradisea,"(Swainson, 1825)",1825,gbif,2026-09-05
Lophorina superba,Lophorina superba,"(J.R.Forster, 1781)",1781,gbif,2026-09-05
Lophorina victoriae,Lophorina victoriae,"(Gould, 1850)",1850,gbif,2026-09-05
Lycocorax obiensis,Lycocorax obiensis,"Bernstein, 1865",1865,gbif,2026-09-05
Lycocorax pyrrhopterus,Lycocorax pyrrhopterus,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Manucodia ater,Manucodia ater,"(Lesson, 1830)",1830,gbif,2026-09-05
Manucodia chalybatus,Manucodia chalybatus,"(J.R.Forster, 1781)",1781,gbif,2026-09-05
Manucodia comrii,Manucodia comrii,"P.L.Sclater, 1876",1876,gbif,2026-09-05
Manucodia jobiensis,Manucodia jobiensis,"Salvadori, 1876",1876,gbif,2026-09-05
Paradigalla brevicauda,Paradigalla brevicauda,"Rothschild & Hartert, 1911",1911,gbif,2026-09-05
Paradigalla carunculata,Paradigalla carunculata,"Lesson, 1835",1835,gbif,2026-09-05
Paradisaea apoda,Paradisaea apoda,"Linnaeus, 1758",1758,gbif,2026-09-05
Paradisaea decora,Paradisaea decora,"Salvin & Godman, 1883",1883,gbif,2026-09-05
Paradisaea guilielmi,Paradisaea guilielmi,"Cabanis, 1888",1888,gbif,2026-09-05
Paradisaea minor,Paradisaea minor,"Shaw, 1809",1809,gbif,2026-09-05
Paradisaea raggiana,Paradisaea raggiana,"P.L.Sclater, 1873",1873,gbif,2026-09-05
Paradisaea rubra,Paradisaea rubra,"Daudin, 1800",1800,gbif,2026-09-05
Paradisornis rudolphi,Paradisornis rudolphi,"Finsch, Meyer & AB, 1886",1886,gbif,2026-09-05
Parotia berlepschi,Parotia berlepschi,"O.Kleinschmidt, 1897",1897,gbif,2026-09-05
Parotia carolae,Parotia carolae,"A.B.Meyer, 1894",1894,gbif,2026-09-05
Parotia lawesii,Parotia lawesii,"E.P.Ramsay, 1885",1885,gbif,2026-09-05
Parotia sefilata,Parotia sefilata,"(J.R.Forster, 1781)",1781,gbif,2026-09-05
Parotia wahnesi,Parotia wahnesi,"Rothschild, 1906",1906,gbif,2026-09-05
Phonygammus keraudrenii,Phonygammus keraudrenii,"(Lesson & Garnot, 1826)",1826,gbif,2026-09-05
Pteridophora alberti,Pteridophora alberti,"A.B.Meyer, 1894",1894,gbif,2026-09-05
Seleucidis melanoleucus,Seleucidis melanoleucus,"(Daudin, 1800)",1800,gbif,2026-09-05
Semioptera wallacii,Semioptera wallacii,"G.R.Gray, 1859",1859,gbif,2026-09-05
Oreocharis arfaki,Oreocharis arfaki,"(A.B.Meyer, 1875)",1875,gbif,2026-09-05
Paramythia montium,Paramythia montium,"De Vis, 1892",1892,gbif,2026-09-05
Paramythia olivacea,Paramythia olivacea,"van Oort, 1910",1910,gbif,2026-09-05
Pardalotus punctatus,Pardalotus punctatus,"(Shaw, 1792)",1792,gbif,2026-09-05
Pardalotus quadragintus,Pardalotus quadragintus,"Gould, 1838",1838,gbif,2026-09-05
Pardalotus rubricatus,Pardalotus rubricatus,"Gould, 1838",1838,gbif,2026-09-05
Pardalotus striatus,Pardalotus striatus,"(Gmelin, 1789)",1789,gbif,2026-09-05
Baeolophus atricristatus,Baeolophus atricristatus,"(Cassin, 1850)",1850,gbif,2026-09-05
Baeolophus bicolor,Baeolophus bicolor,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Baeolophus inornatus,Baeolophus inornatus,"(Gambel, 1845)",1845,gbif,2026-09-05
Baeolophus ridgwayi,Baeolophus ridgwayi,"(Richmond, 1902)",1902,gbif,2026-09-05
Baeolophus wollweberi,Baeolophus wollweberi,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Cephalopyrus flammiceps,Cephalopyrus flammiceps,"(Burton, 1836)",1836,gbif,2026-09-05
Cyanistes caeruleus,Cyanistes caeruleus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Cyanistes cyanus,Cyanistes cyanus,"(Pallas, 1770)",1770,gbif,2026-09-05
Cyanistes teneriffae,Cyanistes teneriffae,"(Lesson, 1831)",1831,gbif,2026-09-05
Lophophanes cristatus,Lophophanes cristatus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Lophophanes dichrous,Lophophanes dichrous,"(Blyth, 1845)",1845,gbif,2026-09-05
Machlolophus holsti,Machlolophus holsti,"(Seebohm, 1894)",1894,gbif,2026-09-05
Machlolophus nuchalis,Machlolophus nuchalis,"(Jerdon, 1845)",1845,gbif,2026-09-05
Machlolophus spilonotus,Machlolophus spilonotus,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Machlolophus xanthogenys,Machlolophus xanthogenys,"(Vigors, 1831)",1831,gbif,2026-09-05
Melaniparus afer,Melaniparus afer,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Melaniparus albiventris,Melaniparus albiventris,"(Shelley, 1881)",1881,gbif,2026-09-05
Melaniparus carpi,Melaniparus carpi,"(Macdonald, Hall & BP, 1957)",1957,gbif,2026-09-05
Melaniparus cinerascens,Melaniparus cinerascens,"(Vieillot, 1818)",1818,gbif,2026-09-05
Melaniparus fasciiventer,Melaniparus fasciiventer,"(Reichenow, 1893)",1893,gbif,2026-09-05
Melaniparus fringillinus,Melaniparus fringillinus,"(G.A.Fischer & Reichenow, 1884)",1884,gbif,2026-09-05
Melaniparus funereus,Melaniparus funereus,"J.Verreaux & É.Verreaux, 1855",1855,gbif,2026-09-05
Melaniparus griseiventris,Melaniparus griseiventris,"(Reichenow, 1882)",1882,gbif,2026-09-05
Melaniparus guineensis,Melaniparus guineensis,"(Shelley, 1900)",1900,gbif,2026-09-05
Melaniparus leucomelas,Melaniparus leucomelas,"(Rüppell, 1840)",1840,gbif,2026-09-05
Melaniparus leuconotus,Melaniparus leuconotus,"(Guérin-Méneville, 1843)",1843,gbif,2026-09-05
Melaniparus niger,Melaniparus niger,"(Vieillot, 1818)",1818,gbif,2026-09-05
Melaniparus pallidiventris,Melaniparus pallidiventris,"(Reichenow, 1885)",1885,gbif,2026-09-05
Melaniparus rufiventris,Melaniparus rufiventris,"(Barboza du Bocage, 1877)",1877,gbif,2026-09-05
Melaniparus thruppi,Melaniparus thruppi,"(Shelley, 1885)",1885,gbif,2026-09-05
Melanochlora sultanea,Melanochlora sultanea,"(Hodgson, 1837)",1837,gbif,2026-09-05
Pardaliparus amabilis,Pardaliparus amabilis,"(Sharpe, 1877)",1877,gbif,2026-09-05
Pardaliparus elegans,Pardaliparus elegans,"(R.P.Lesson, 1831)",1831,gbif,2026-09-05
Pardaliparus venustulus,Pardaliparus venustulus,"(Swinhoe, 1870)",1870,gbif,2026-09-05
Parus major,Parus major,"Linnaeus, 1758",1758,gbif,2026-09-05
Parus monticolus,Parus monticolus,"Vigors, 1831",1831,gbif,2026-09-05
Periparus ater,Periparus ater,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Periparus rubidiventris,Periparus rubidiventris,"(Blyth, 1847)",1847,gbif,2026-09-05
Periparus rufonuchalis,Periparus rufonuchalis,"(Blyth, 1849)",1849,gbif,2026-09-05
Poecile atricapillus,Poecile atricapillus,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Poecile carolinensis,Poecile carolinensis,"(Audubon, 1834)",1834,gbif,2026-09-05
Poecile cinctus,Poecile cinctus,"(Boddaert, 1783)",1783,gbif,2026-09-05
Poecile davidi,Poecile davidi,"Berezowski & Bianchi, 1891",1891,gbif,2026-09-05
Poecile gambeli,Poecile gambeli,"(Ridgway, 1886)",1886,gbif,2026-09-05
Poecile hudsonicus,Poecile hudsonicus,"(J.R.Forster, 1772)",1772,gbif,2026-09-05
Poecile hypermelaenus,Poecile hypermelaenus,"Berezowski & Bianchi, 1891",1891,gbif,2026-09-05
Poecile hyrcanus,Poecile hyrcanus,"Zarudny & Loudon, 1905",1905,gbif,2026-09-05
Poecile lugubris,Poecile lugubris,"(Temminck, 1820)",1820,gbif,2026-09-05
Poecile montanus,Poecile montanus,"(Conrad von Baldenstein, 1827)",1827,gbif,2026-09-05
Poecile palustris,Poecile palustris,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Poecile rufescens,Poecile rufescens,"(J.K.Townsend, 1837)",1837,gbif,2026-09-05
Poecile sclateri,Poecile sclateri,"(O.Kleinschmidt, 1897)",1897,gbif,2026-09-05
Poecile superciliosus,Poecile superciliosus,"Prjevalsky, 1876",1876,gbif,2026-09-05
Poecile weigoldicus,Poecile weigoldicus,"(O.Kleinschmidt & Weigold, 1921)",1921,gbif,2026-09-05
Pseudopodoces humilis,Pseudopodoces humilis,"(Hume, 1871)",1871,gbif,2026-09-05
Sittiparus castaneoventris,Sittiparus castaneoventris,"(Gould, 1863)",1863,gbif,2026-09-05
Sittiparus olivaceus,Sittiparus olivaceus,"Kuroda & Nm, 1923",1923,gbif,2026-09-05
Sittiparus owstoni,Sittiparus owstoni,"(Ijima, 1893)",1893,gbif,2026-09-05
Sittiparus semilarvatus,Sittiparus semilarvatus,"(Salvadori, 1866)",1866,gbif,2026-09-05
Sittiparus varius,Sittiparus varius,"(Temminck & Schlegel, 1847)",1847,gbif,2026-09-05
Sylviparus modestus,Sylviparus modestus,"Burton, 1836",1836,gbif,2026-09-05
Basileuterus auricapilla,Basileuterus auricapilla,"Swainson, 1838",1838,gbif,2026-09-05
Basileuterus belli,Basileuterus belli,"(Giraud Jr, 1841)",1841,gbif,2026-09-05
Basileuterus cabanisi,Basileuterus cabanisi,"von Berlepsch, 1879",1879,gbif,2026-09-05
Basileuterus culicivorus,Basileuterus culicivorus,"(Deppe, 1830)",1830,gbif,2026-09-05
Basileuterus griseiceps,Basileuterus griseiceps,"P.L.Sclater & Salvin, 1868",1868,gbif,2026-09-05
Basileuterus hypoleucus,Basileuterus hypoleucus,"Bonaparte, 1850",1850,gbif,2026-09-05
Basileuterus ignotus,Basileuterus ignotus,"Nelson, 1912",1912,gbif,2026-09-05
Basileuterus lachrymosus,Basileuterus lachrymosus,"(Bonaparte, 1850)",1850,gbif,2026-09-05
Basileuterus melanogenys,Basileuterus melanogenys,"S.F.Baird, 1865",1865,gbif,2026-09-05
Basileuterus rufifrons,Basileuterus rufifrons,"(Swainson, 1838)",1838,gbif,2026-09-05
Basileuterus trifasciatus,Basileuterus trifasciatus,"Taczanowski, 1880",1880,gbif,2026-09-05
Basileuterus tristriatus,Basileuterus tristriatus,"(Tschudi, 1844)",1844,gbif,2026-09-05
Cardellina canadensis,Cardellina canadensis,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Cardellina pusilla,Cardellina pusilla,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Cardellina rubra,Cardellina rubra,"(Swainson, 1827)",1827,gbif,2026-09-05
Cardellina rubrifrons,Cardellina rubrifrons,"(Giraud Jr, 1841)",1841,gbif,2026-09-05
Cardellina versicolor,Cardellina versicolor,"Salvin, 1863",1863,gbif,2026-09-05
Catharopeza bishopi,Catharopeza bishopi,"(Lawrence, 1878)",1878,gbif,2026-09-05
Geothlypis aequinoctialis,Geothlypis aequinoctialis,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Geothlypis auricularis,Geothlypis auricularis,"Salvin, 1883",1883,gbif,2026-09-05
Geothlypis bairdi,Geothlypis bairdi,"Ridgway, 1884",1884,gbif,2026-09-05
Geothlypis beldingi,Geothlypis beldingi,"Ridgway, 1882",1882,gbif,2026-09-05
Geothlypis chiriquensis,Geothlypis chiriquensis,"Salvin, 1872",1872,gbif,2026-09-05
Geothlypis flavovelata,Geothlypis flavovelata,"Ridgway, 1896",1896,gbif,2026-09-05
Geothlypis formosa,Geothlypis formosa,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Geothlypis nelsoni,Geothlypis nelsoni,"Richmond, 1900",1900,gbif,2026-09-05
Geothlypis philadelphia,Geothlypis philadelphia,"(A.Wilson, 1810)",1810,gbif,2026-09-05
Geothlypis poliocephala,Geothlypis poliocephala,"S.F.Baird, 1865",1865,gbif,2026-09-05
Geothlypis rostrata,Geothlypis rostrata,"H.Bryant, 1867",1867,gbif,2026-09-05
Geothlypis semiflava,Geothlypis semiflava,"P.L.Sclater, 1860",1860,gbif,2026-09-05
Geothlypis speciosa,Geothlypis speciosa,"P.L.Sclater, 1859",1859,gbif,2026-09-05
Geothlypis tolmiei,Geothlypis tolmiei,"(J.K.Townsend, 1839)",1839,gbif,2026-09-05
Geothlypis trichas,Geothlypis trichas,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Helmitheros vermivorum,Helmitheros vermivorum,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Leiothlypis celata,Leiothlypis celata,"(Say, 1822)",1822,gbif,2026-09-05
Leiothlypis crissalis,Leiothlypis crissalis,"(Salvin & Godman, 1889)",1889,gbif,2026-09-05
Leiothlypis luciae,Leiothlypis luciae,"(J.G.Cooper, 1861)",1861,gbif,2026-09-05
Leiothlypis peregrina,Leiothlypis peregrina,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Leiothlypis ruficapilla,Leiothlypis ruficapilla,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Leiothlypis virginiae,Leiothlypis virginiae,"(S.F.Baird, 1860)",1860,gbif,2026-09-05
Leucopeza semperi,Leucopeza semperi,"P.L.Sclater, 1876",1876,gbif,2026-09-05
Limnothlypis swainsonii,Limnothlypis swainsonii,"(Audubon, 1834)",1834,gbif,2026-09-05
Mniotilta varia,Mniotilta varia,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Myioborus albifacies,Myioborus albifacies,"Phelps & Phelps Jr, 1946",1946,gbif,2026-09-05
Myioborus albifrons,Myioborus albifrons,"(P.L.Sclater & Salvin, 1871)",1871,gbif,2026-09-05
Myioborus brunniceps,Myioborus brunniceps,"(d'Orbigny & Lafresnaye, 1837)",1837,gbif,2026-09-05
Myioborus cardonai,Myioborus cardonai,"J.T.Zimmer & Phelps, 1945",1945,gbif,2026-09-05
Myioborus castaneocapilla,Myioborus castaneocapilla,"(Cabanis, 1849)",1849,gbif,2026-09-05
Myioborus chrysops,Myioborus chrysops,"Salvin, 1878",1878,gbif,2026-09-05
Myioborus flavivertex,Myioborus flavivertex,"(Salvin, 1887)",1887,gbif,2026-09-05
Myioborus melanocephalus,Myioborus melanocephalus,"(Tschudi, 1844)",1844,gbif,2026-09-05
Myioborus miniatus,Myioborus miniatus,"(Swainson, 1827)",1827,gbif,2026-09-05
Myioborus ornatus,Myioborus ornatus,"(Boissonneau, 1840)",1840,gbif,2026-09-05
Myioborus pariae,Myioborus pariae,"Phelps & Phelps Jr, 1949",1949,gbif,2026-09-05
Myioborus pictus,Myioborus pictus,"(Swainson, 1829)",1829,gbif,2026-09-05
Myioborus torquatus,Myioborus torquatus,"(S.F.Baird, 1865)",1865,gbif,2026-09-05
Myiothlypis basilica,Myiothlypis basilica,"(Todd, 1913)",1913,gbif,2026-09-05
Myiothlypis bivittata,Myiothlypis bivittata,"(d'Orbigny & Lafresnaye, 1837)",1837,gbif,2026-09-05
Myiothlypis chlorophrys,Myiothlypis chlorophrys,"(von Berlepsch, 1907)",1907,gbif,2026-09-05
Myiothlypis chrysogaster,Myiothlypis chrysogaster,"(Tschudi, 1844)",1844,gbif,2026-09-05
Myiothlypis cinereicollis,Myiothlypis cinereicollis,"(P.L.Sclater, 1864)",1864,gbif,2026-09-05
Myiothlypis conspicillata,Myiothlypis conspicillata,"(Salvin & Godman, 1880)",1880,gbif,2026-09-05
Myiothlypis coronata,Myiothlypis coronata,"(Tschudi, 1844)",1844,gbif,2026-09-05
Myiothlypis euophrys,Myiothlypis euophrys,"(Sclater & Salvin, 1876)",1876,gbif,2026-09-05
Myiothlypis flaveola,Myiothlypis flaveola,"S.F.Baird, 1865",1865,gbif,2026-09-05
Myiothlypis fraseri,Myiothlypis fraseri,"(P.L.Sclater, 1884)",1884,gbif,2026-09-05
Myiothlypis fulvicauda,Myiothlypis fulvicauda,"(von Spix, 1825)",1825,gbif,2026-09-05
Myiothlypis leucoblephara,Myiothlypis leucoblephara,"(Vieillot, 1817)",1817,gbif,2026-09-05
Myiothlypis leucophrys,Myiothlypis leucophrys,"(Pelzeln, 1868)",1868,gbif,2026-09-05
Myiothlypis luteoviridis,Myiothlypis luteoviridis,"(Bonaparte, 1845)",1845,gbif,2026-09-05
Myiothlypis mesoleuca,Myiothlypis mesoleuca,"(Sclater, 1865)",1865,gbif,2026-09-05
Myiothlypis nigrocristata,Myiothlypis nigrocristata,"(Lafresnaye, 1840)",1840,gbif,2026-09-05
Myiothlypis rivularis,Myiothlypis rivularis,"(zu Wied-Neuwied, 1821)",1821,gbif,2026-09-05
Myiothlypis roraimae,Myiothlypis roraimae,"(Sharpe, 1885)",1885,gbif,2026-09-05
Myiothlypis signata,Myiothlypis signata,"(von Berlepsch & Stolzmann, 1906)",1906,gbif,2026-09-05
Myiothlypis striaticeps,Myiothlypis striaticeps,"(Cabanis, 1873)",1873,gbif,2026-09-05
Oporornis agilis,Oporornis agilis,"(A.Wilson, 1812)",1812,gbif,2026-09-05
Oreothlypis gutturalis,Oreothlypis gutturalis,"(Cabanis, 1861)",1861,gbif,2026-09-05
Oreothlypis superciliosa,Oreothlypis superciliosa,"(Hartlaub, 1844)",1844,gbif,2026-09-05
Parkesia motacilla,Parkesia motacilla,"(Vieillot, 1809)",1809,gbif,2026-09-05
Parkesia noveboracensis,Parkesia noveboracensis,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Protonotaria citrea,Protonotaria citrea,"(Boddaert, 1783)",1783,gbif,2026-09-05
Seiurus aurocapilla,Seiurus aurocapilla,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Setophaga adelaidae,Setophaga adelaidae,"(S.F.Baird, 1865)",1865,gbif,2026-09-05
Setophaga americana,Setophaga americana,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Setophaga angelae,Setophaga angelae,"(Kepler & Parkes, 1972)",1972,gbif,2026-09-05
Setophaga auduboni,Setophaga auduboni,"(J.K.Townsend, 1837)",1837,gbif,2026-09-05
Setophaga caerulescens,Setophaga caerulescens,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Setophaga castanea,Setophaga castanea,"(A.Wilson, 1810)",1810,gbif,2026-09-05
Setophaga cerulea,Setophaga cerulea,"(A.Wilson, 1810)",1810,gbif,2026-09-05
Setophaga chrysoparia,Setophaga chrysoparia,"(P.L.Sclater & Salvin, 1860)",1860,gbif,2026-09-05
Setophaga citrina,Setophaga citrina,"(Boddaert, 1783)",1783,gbif,2026-09-05
Setophaga coronata,Setophaga coronata,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Setophaga delicata,Setophaga delicata,"(Ridgway, 1883)",1883,gbif,2026-09-05
Setophaga discolor,Setophaga discolor,"(Vieillot, 1809)",1809,gbif,2026-09-05
Setophaga dominica,Setophaga dominica,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Setophaga flavescens,Setophaga flavescens,"(Todd, 1909)",1909,gbif,2026-09-05
Setophaga fusca,Setophaga fusca,"(Statius Müller, 1776)",1776,gbif,2026-09-05
Setophaga graciae,Setophaga graciae,"(S.F.Baird, 1865)",1865,gbif,2026-09-05
Setophaga graysoni,Setophaga graysoni,"(Ridgway, 1887)",1887,gbif,2026-09-05
Setophaga kirtlandii,Setophaga kirtlandii,"(S.F.Baird, 1852)",1852,gbif,2026-09-05
Setophaga magnolia,Setophaga magnolia,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Setophaga nigrescens,Setophaga nigrescens,"(J.K.Townsend, 1837)",1837,gbif,2026-09-05
Setophaga occidentalis,Setophaga occidentalis,"(J.K.Townsend, 1837)",1837,gbif,2026-09-05
Setophaga palmarum,Setophaga palmarum,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Setophaga pensylvanica,Setophaga pensylvanica,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Setophaga petechia,Setophaga petechia,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Setophaga pharetra,Setophaga pharetra,"(Gosse, 1847)",1847,gbif,2026-09-05
Setophaga pinus,Setophaga pinus,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Setophaga pitiayumi,Setophaga pitiayumi,"(Vieillot, 1817)",1817,gbif,2026-09-05
Setophaga pityophila,Setophaga pityophila,"(Gundlach, 1855)",1855,gbif,2026-09-05
Setophaga plumbea,Setophaga plumbea,"(Lawrence, 1877)",1877,gbif,2026-09-05
Setophaga ruticilla,Setophaga ruticilla,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Setophaga striata,Setophaga striata,"(J.R.Forster, 1772)",1772,gbif,2026-09-05
Setophaga subita,Setophaga subita,"(Riley, 1904)",1904,gbif,2026-09-05
Setophaga tigrina,Setophaga tigrina,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Setophaga townsendi,Setophaga townsendi,"(J.K.Townsend, 1837)",1837,gbif,2026-09-05
Setophaga virens,Setophaga virens,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Setophaga vitellina,Setophaga vitellina,"(Cory, 1886)",1886,gbif,2026-09-05
Vermivora bachmanii,Vermivora bachmanii,"(Audubon, 1833)",1833,gbif,2026-09-05
Vermivora chrysoptera,Vermivora chrysoptera,"(Linnaeus, 1766)",1766,gbif,2026-09-05
Vermivora cyanoptera,Vermivora cyanoptera,"Olson & Reveal, 2009",2009,gbif,2026-09-05
Aimophila notosticta,Aimophila notosticta,"(P.L.Sclater & Salvin, 1868)",1868,gbif,2026-09-05
Aimophila rufescens,Aimophila rufescens,"(Swainson, 1827)",1827,gbif,2026-09-05
Aimophila ruficeps,Aimophila ruficeps,"(Cassin, 1852)",1852,gbif,2026-09-05
Ammodramus aurifrons,Ammodramus aurifrons,"(Spix, 1825)",1825,gbif,2026-09-05
Ammodramus humeralis,Ammodramus humeralis,"(Bosc, 1792)",1792,gbif,2026-09-05
Ammodramus savannarum,Ammodramus savannarum,"(J.F.Gmelin, 1789)",1789,gbif,2026-09-05
Ammospiza caudacuta,Ammospiza caudacuta,"(J.F.Gmelin, 1788)",1788,gbif,2026-09-05
Ammospiza leconteii,Ammospiza leconteii,"(Audubon, 1844)",1844,gbif,2026-09-05
Ammospiza maritima,Ammospiza maritima,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Ammospiza nelsoni,Ammospiza nelsoni,"(J.A.Allen, 1875)",1875,gbif,2026-09-05
Amphispiza bilineata,Amphispiza bilineata,"(Cassin, 1850)",1850,gbif,2026-09-05
Amphispiza quinquestriata,Amphispiza quinquestriata,"(P.L.Sclater & Salvin, 1868)",1868,gbif,2026-09-05
Arremon abeillei,Arremon abeillei,"R.Lesson, 1844",1844,gbif,2026-09-05
Arremon assimilis,Arremon assimilis,"(Boissonneau, 1840)",1840,gbif,2026-09-05
Arremon atricapillus,Arremon atricapillus,"(Lawrence, 1874)",1874,gbif,2026-09-05
Arremon aurantiirostris,Arremon aurantiirostris,"Lafresnaye, 1847",1847,gbif,2026-09-05
Arremon axillaris,Arremon axillaris,"P.L.Sclater, 1854",1854,gbif,2026-09-05
Arremon basilicus,Arremon basilicus,"(Bangs, 1898)",1898,gbif,2026-09-05
Arremon brunneinucha,Arremon brunneinucha,"(Lafresnaye, 1839)",1839,gbif,2026-09-05
Arremon castaneiceps,Arremon castaneiceps,"(P.L.Sclater, 1860)",1860,gbif,2026-09-05
Arremon costaricensis,Arremon costaricensis,"(Bangs, 1907)",1907,gbif,2026-09-05
Arremon crassirostris,Arremon crassirostris,"(Cassin, 1865)",1865,gbif,2026-09-05
Arremon dorbignii,Arremon dorbignii,"P.L.Sclater, 1856",1856,gbif,2026-09-05
Arremon flavirostris,Arremon flavirostris,"Swainson, 1838",1838,gbif,2026-09-05
Arremon franciscanus,Arremon franciscanus,"M.Raposo, 1997",1997,gbif,2026-09-05
Arremon nigriceps,Arremon nigriceps,"Taczanowski, 1880",1880,gbif,2026-09-05
Arremon perijanus,Arremon perijanus,"(Phelps & Gilliard, 1940)",1940,gbif,2026-09-05
Arremon phaeopleurus,Arremon phaeopleurus,"(P.L.Sclater, 1856)",1856,gbif,2026-09-05
Arremon phygas,Arremon phygas,"(Berlepsch, 1912)",1912,gbif,2026-09-05
