species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Lorius chlorocercus,Psittacidae,Psittaciformes,173.51,14033.51,1856,6.6137,Yellow-bibbed lory,236.82,18
Lorius domicella,Psittacidae,Psittaciformes,182.0,6298.74,1758,7.0999,Purple-naped lory,347.64,17
Lorius garrulus,Psittacidae,Psittaciformes,143.0,25448.01,1758,6.6038,Chattering lory,1113.18,43
Lorius hypoinochrous,Psittacidae,Psittaciformes,187.0,61928.79,1859,6.7817,Purple-bellied lory,134.58,5
Lorius lory,Psittacidae,Psittaciformes,176.89,663810.01,1758,7.671,Black-capped lory,610.86,25
Loxia leucoptera,Fringillidae,Passeriformes,28.69,16098090.24,1789,5.9707,Two-barred crossbill,513.86,51
Loxia megaplaga,Fringillidae,Passeriformes,28.69,3541.2,1916,5.3137,Hispaniolan crossbill,141.38,15
Loxia pytyopsittacus,Fringillidae,Passeriformes,53.0,3155285.39,1793,6.1851,Parrot crossbill,426.88,43
Loxia scotica,Fringillidae,Passeriformes,43.17,13734.01,1904,5.516,Scottish crossbill,659.29,34
Loxigilla barbadensis,Thraupidae,Passeriformes,16.63,439.53,1886,5.1368,Barbados bullfinch,211.41,13
Loxigilla noctis,Thraupidae,Passeriformes,16.63,6167.16,1766,6.5293,Lesser Antillean bullfinch,230.07,30
Loxioides bailleui,Fringillidae,Passeriformes,37.84,134.59,1877,6.1031,,,34
Loxipasser anoxanthus,Thraupidae,Passeriformes,11.4,11021.79,1847,5.348,Yellow-shouldered grassquit,39.17,11
Loxops caeruleirostris,Fringillidae,Passeriformes,10.8,5.22,1890,6.1118,,,31
Loxops coccineus,Fringillidae,Passeriformes,10.5,383.93,1789,6.6598,Hawaiʻi ʻākepa,164.8,29
Lullula arborea,Alaudidae,Passeriformes,26.9,7140559.13,1758,5.1781,,,129
Lurocalis rufiventris,Caprimulgidae,Caprimulgiformes,128.5,307432.65,1884,5.277,Rufous-bellied nighthawk,94.83,10
Lurocalis semitorquatus,Caprimulgidae,Caprimulgiformes,75.9,8957931.23,1789,5.5587,Short-tailed nighthawk,156.73,40
Luscinia luscinia,Muscicapidae,Passeriformes,23.8,6890175.16,1758,5.2166,Thrush nightingale,1951.2,102
Luscinia megarhynchos,Muscicapidae,Passeriformes,19.6,6778462.19,1831,5.3528,Common nightingale,21381.35,168
Lybius chaplini,Lybiidae,Piciformes,69.49,76477.21,1920,5.2223,Chaplin's barbet,108.97,9
Lybius guifsobalito,Lybiidae,Piciformes,42.2,1310708.12,1783,5.7979,Black-billed barbet,47.85,5
Lybius rubrifacies,Lybiidae,Piciformes,60.05,82626.47,1892,5.5666,Red-faced barbet,44.62,5
Lybius torquatus,Lybiidae,Piciformes,51.7,4663900.43,1805,6.3229,Black-collared barbet,422.18,24
Lybius undatus,Lybiidae,Piciformes,38.5,580218.29,1837,5.504,Banded barbet,49.65,9
Lybius vieilloti,Lybiidae,Piciformes,36.0,6618281.31,1815,5.7126,Vieillot's barbet,63.63,11
Lymnocryptes minimus,Scolopacidae,Charadriiformes,50.07,7671774.57,1764,5.642,Jack snipe,875.41,88
Lyncornis macrotis,Caprimulgidae,Caprimulgiformes,140.64,1646031.46,1831,6.1028,Great eared nightjar,5776.98,10
Lyncornis temminckii,Caprimulgidae,Caprimulgiformes,95.89,1296744.78,1838,5.1527,Malaysian eared nightjar,133.63,8
Lyrurus mlokosiewiczi,Phasianidae,Galliformes,813.99,104757.72,1875,5.763,Caucasian grouse,405.0,57
Lyrurus tetrix,Phasianidae,Galliformes,1068.66,14007422.54,1758,6.2643,Black grouse,4306.26,203
Macgregoria pulchra,Meliphagidae,Passeriformes,225.13,4664.33,1897,5.6378,MacGregor's honeyeater,139.19,14
Machaerirhynchus flaviventer,Machaerirhynchidae,Passeriformes,10.32,708932.93,1851,7.2336,Yellow-breasted boatbill,104.71,13
Machaerirhynchus nigripectus,Machaerirhynchidae,Passeriformes,12.0,223752.26,1871,7.132,Black-breasted boatbill,51.06,9
Machaeropterus deliciosus,Pipridae,Passeriformes,12.7,40123.57,1860,6.6232,Club-winged manakin,608.35,69
Machaeropterus eckelberryi,Pipridae,Passeriformes,9.34,23495.63,2017,5.626,Painted manakin,39.53,6
Machaeropterus pyrocephalus,Pipridae,Passeriformes,9.49,2227740.97,1852,6.482,Fiery-capped manakin,42.16,16
Machaeropterus regulus,Pipridae,Passeriformes,9.34,125343.35,1819,6.9296,Kinglet manakin,64.34,19
Machaeropterus striolatus,Pipridae,Passeriformes,9.34,2059505.29,1819,7.3544,Striolated manakin,72.86,14
Macheiramphus alcinus,Accipitridae,Accipitriformes,650.0,13573105.09,1850,6.3355,Bat hawk,921.24,28
Machetornis rixosa,Tyrannidae,Passeriformes,29.6,6805756.6,1819,5.3661,Cattle tyrant,647.89,30
Machlolophus holsti,Paridae,Passeriformes,16.69,12987.01,1894,6.74,Yellow tit,368.62,7
Machlolophus nuchalis,Paridae,Passeriformes,13.8,71657.03,1845,6.0457,White-naped tit,239.92,14
Machlolophus spilonotus,Paridae,Passeriformes,18.8,1250920.25,1850,6.8936,Yellow-cheeked tit,150.75,11
Mackenziaena leachii,Thamnophilidae,Passeriformes,70.2,828525.05,1825,6.1544,Large-tailed antshrike,31.64,24
Mackenziaena severa,Thamnophilidae,Passeriformes,51.8,955402.98,1823,5.8774,Tufted antshrike,31.83,22
Macroagelaius imthurni,Icteridae,Passeriformes,77.77,58909.68,1881,5.3547,Golden-tufted mountain grackle,38.48,21
Macroagelaius subalaris,Icteridae,Passeriformes,62.0,1271.1,1840,5.5365,Colombian mountain grackle,106.63,42
Macrocephalon maleo,Megapodiidae,Galliformes,1563.26,146297.35,1846,5.6912,,,108
Macronectes giganteus,Procellariidae,Procellariiformes,3591.69,100191503.8,1789,4.57,Southern giant petrel,1789.45,130
Macronectes halli,Procellariidae,Procellariiformes,4206.3,91967384.38,1912,5.2588,Northern giant petrel,512.67,59
Macronus ptilosus,Timaliidae,Passeriformes,18.0,444346.1,1835,6.4622,Fluffy-backed tit-babbler,413.15,18
Macronus striaticeps,Timaliidae,Passeriformes,16.5,109828.0,1877,5.2823,Brown tit-babbler,65.58,9
Macronyx ameliae,Motacillidae,Passeriformes,33.48,1902624.72,1845,5.8537,Rosy-throated longclaw,142.68,8
Macronyx aurantiigula,Motacillidae,Passeriformes,39.4,375644.56,1891,5.398,Pangani longclaw,53.17,7
Macronyx capensis,Motacillidae,Passeriformes,50.04,815796.1,1766,5.6776,Cape longclaw,118.0,12
Macronyx croceus,Motacillidae,Passeriformes,47.1,6192075.07,1816,6.1088,Yellow-throated longclaw,217.38,14
Macronyx flavicollis,Motacillidae,Passeriformes,45.08,404989.73,1840,5.7874,Abyssinian longclaw,100.28,9
Macronyx fuelleborni,Motacillidae,Passeriformes,55.18,2079510.44,1900,5.4734,Fülleborn's longclaw,41.23,6
Macronyx grimwoodi,Motacillidae,Passeriformes,45.08,671345.15,1955,5.5245,Grimwood's longclaw,38.62,7
Macronyx sharpei,Motacillidae,Passeriformes,29.9,1870.77,1904,4.8568,Sharpe's longclaw,92.53,14
Macropsalis forcipata,Caprimulgidae,Caprimulgiformes,139.0,517277.53,1840,6.0927,Long-trained nightjar,42.22,15
Macropygia macassariensis,Columbidae,Columbiformes,237.0,909.04,1865,5.1678,Flores Sea cuckoo-dove,50.93,4
Macropygia mackinlayi,Columbidae,Columbiformes,85.85,54491.47,1878,5.1593,Spot-breasted cuckoo-dove,7.82,8
Macropygia magna,Columbidae,Columbiformes,237.0,34319.88,1864,5.2492,Timor cuckoo-dove,58.58,6
Macropygia nigrirostris,Columbidae,Columbiformes,90.09,646983.57,1876,5.85,Bar-tailed cuckoo-dove,59.92,7
Macropygia phasianella,Columbidae,Columbiformes,237.0,582030.42,1821,5.503,Brown cuckoo-dove,601.66,12
Macropygia ruficeps,Columbidae,Columbiformes,81.9,1783125.51,1835,5.4065,Little cuckoo-dove,130.13,11
Macropygia rufipennis,Columbidae,Columbiformes,256.02,7597.74,1846,5.7386,Andaman cuckoo-dove,107.63,8
Macropygia timorlaoensis,Columbidae,Columbiformes,237.0,3794.37,1884,5.3897,Tanimbar cuckoo-dove,45.52,3
Macropygia unchall,Columbidae,Columbiformes,168.0,2550794.48,1827,5.3967,Barred cuckoo-dove,216.23,17
Macrosphenus concolor,Macrosphenidae,Passeriformes,13.9,3119489.65,1857,4.8701,Grey longbill,23.68,8
Macrosphenus flavicans,Macrosphenidae,Passeriformes,13.36,1810288.68,1859,5.2264,Yellow longbill,29.18,10
Macrosphenus kempi,Macrosphenidae,Passeriformes,12.62,456072.28,1905,4.8993,Kemp's longbill,24.99,5
Macrosphenus kretschmeri,Macrosphenidae,Passeriformes,20.0,120112.34,1895,4.2955,Kretschmer's longbill,23.88,10
Macrosphenus pulitzeri,Macrosphenidae,Passeriformes,11.68,5725.09,1931,5.6324,Pulitzer's longbill,26.87,12
Madanga ruficollis,Motacillidae,Passeriformes,15.0,1363.4,1923,5.6362,,,13
Magumma parva,Fringillidae,Passeriformes,9.3,318.21,1887,6.0344,,,16
Malacocincla abbotti,Pellorneidae,Passeriformes,26.8,2072332.43,1845,5.1963,Abbott's babbler,324.81,7
Malacocincla sepiaria,Pellorneidae,Passeriformes,25.5,969773.94,1821,4.8282,Horsfield's babbler,40.29,8
Malaconotus alius,Malaconotidae,Passeriformes,76.7,83.69,1927,4.9153,Uluguru bushshrike,57.49,11
Malaconotus blanchoti,Malaconotidae,Passeriformes,78.7,7329839.51,1826,6.3759,Grey-headed bushshrike,267.23,11
Malaconotus cruentus,Malaconotidae,Passeriformes,76.69,2250659.54,1831,6.4352,Fiery-breasted bushshrike,43.28,8
Malaconotus gladiator,Malaconotidae,Passeriformes,98.99,7161.52,1892,5.1759,Green-breasted bushshrike,32.97,9
Malaconotus lagdeni,Malaconotidae,Passeriformes,92.3,338592.2,1884,6.1938,Lagden's bushshrike,52.38,7
Malaconotus monteiri,Malaconotidae,Passeriformes,81.91,25347.84,1870,6.6706,Monteiro's bushshrike,28.75,7
Malacopteron affine,Pellorneidae,Passeriformes,17.08,387896.02,1842,5.3309,Sooty-capped babbler,38.48,16
Malacopteron albogulare,Pellorneidae,Passeriformes,16.5,597337.38,1844,5.3265,Grey-breasted babbler,26.74,6
Malacopteron cinereum,Pellorneidae,Passeriformes,18.1,1526343.71,1839,5.2555,Scaly-crowned babbler,37.87,17
Malacopteron magnirostre,Pellorneidae,Passeriformes,19.34,1312918.0,1854,4.6578,Moustached babbler,38.4,13
Malacopteron magnum,Pellorneidae,Passeriformes,27.2,666939.16,1839,5.1344,Rufous-crowned babbler,33.97,13
Malacopteron palawanense,Pellorneidae,Passeriformes,32.11,3507.14,1895,5.4719,Melodious babbler,34.44,7
Malacoptila fulvogularis,Bucconidae,Piciformes,57.4,120052.81,1854,5.2142,Black-streaked puffbird,29.26,5
Malacoptila fusca,Bucconidae,Piciformes,45.4,1912315.4,1788,6.7676,White-chested puffbird,34.97,16
Malacoptila mystacalis,Bucconidae,Piciformes,49.0,94080.96,1850,6.0791,Moustached puffbird,100.33,13
Malacoptila panamensis,Bucconidae,Piciformes,42.6,516560.6,1847,5.7491,White-whiskered puffbird,110.38,18
Malacoptila rufa,Bucconidae,Piciformes,47.52,2602548.7,1824,5.6295,Rufous-necked puffbird,28.57,7
Malacoptila semicincta,Bucconidae,Piciformes,44.0,649678.52,1925,6.4091,Semicollared puffbird,28.46,12
Malacorhynchus membranaceus,Anatidae,Anseriformes,372.79,1457174.78,1801,5.6047,Pink-eared duck,456.99,35
Malcorus pectoralis,Cisticolidae,Passeriformes,10.13,1273750.67,1829,5.5435,Rufous-eared warbler,44.06,12
Malia grata,Locustellidae,Passeriformes,94.46,43962.27,1880,5.0453,Malia grata,18.34,6
Malimbus ballmanni,Ploceidae,Passeriformes,63.0,29246.74,1974,5.3512,Gola malimbe,81.01,17
Malimbus cassini,Ploceidae,Passeriformes,35.0,940615.56,1859,6.7371,Cassin's malimbe,31.48,5
Malimbus coronatus,Ploceidae,Passeriformes,32.0,395465.27,1906,5.4827,Red-crowned malimbe,39.99,7
Malimbus erythrogaster,Ploceidae,Passeriformes,45.0,1446184.32,1893,5.3105,Red-bellied malimbe,31.03,7
Malimbus malimbicus,Ploceidae,Passeriformes,36.1,2471944.17,1802,5.6819,Crested malimbe,46.59,10
Malimbus nitens,Ploceidae,Passeriformes,37.83,2636859.51,1831,6.6677,Blue-billed malimbe,50.97,10
Malimbus racheliae,Ploceidae,Passeriformes,26.0,209703.78,1857,6.2763,Rachel's malimbe,39.09,7
Malimbus rubricollis,Ploceidae,Passeriformes,42.2,2607128.64,1838,5.603,Red-headed malimbe,64.0,5
Malimbus scutatus,Ploceidae,Passeriformes,30.0,857359.49,1849,5.553,Red-vented malimbe,37.81,7
Malindangia mcgregori,Campephagidae,Passeriformes,42.6,13707.89,1907,5.4992,McGregor's cuckooshrike,38.28,6
Malurus alboscapulatus,Maluridae,Passeriformes,9.33,778806.38,1874,6.4208,White-shouldered fairywren,79.87,25
Malurus amabilis,Maluridae,Passeriformes,8.63,126910.61,1852,7.6317,Lovely fairywren,197.72,23
