species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Malurus assimilis,Maluridae,Passeriformes,8.04,6084253.88,1901,7.549,Purple-backed fairywren,185.81,5
Malurus coronatus,Maluridae,Passeriformes,11.09,363760.08,1858,7.5472,Purple-crowned fairywren,556.22,48
Malurus cyaneus,Maluridae,Passeriformes,10.33,1239779.31,1782,7.4295,Superb fairywren,4024.38,129
Malurus cyanocephalus,Maluridae,Passeriformes,12.42,491129.37,1830,6.5712,Emperor fairywren,101.47,9
Malurus elegans,Maluridae,Passeriformes,9.59,71313.86,1837,6.7705,Red-winged fairywren,348.56,23
Malurus lamberti,Maluridae,Passeriformes,8.04,212534.11,1827,6.9228,Variegated fairywren,446.41,25
Malurus leucopterus,Maluridae,Passeriformes,7.4,5612678.07,1824,7.3765,White-winged fairywren,749.0,25
Malurus melanocephalus,Maluridae,Passeriformes,7.9,2025747.65,1802,6.657,Red-backed fairywren,948.38,51
Malurus pulcherrimus,Maluridae,Passeriformes,9.19,379685.75,1844,7.1272,Blue-breasted fairywren,130.51,10
Malurus splendens,Maluridae,Passeriformes,9.39,2710216.86,1830,7.2807,Splendid fairywren,1987.33,23
Manacus aurantiacus,Pipridae,Passeriformes,15.5,29625.42,1870,6.6228,Orange-collared manakin,78.2,20
Manacus candei,Pipridae,Passeriformes,19.82,283521.13,1841,6.439,White-collared manakin,144.59,25
Manacus manacus,Pipridae,Passeriformes,16.7,7524946.19,1766,6.9883,White-bearded manakin,135.93,63
Manacus vitellinus,Pipridae,Passeriformes,18.16,118914.75,1843,6.7722,Golden-collared manakin,113.48,51
Mandingoa nitidula,Estrildidae,Passeriformes,9.6,1540214.12,1865,6.6724,Green-backed twinspot,129.12,11
Manorina flavigula,Meliphagidae,Passeriformes,55.9,6815495.21,1840,5.87,Yellow-throated miner,319.92,20
Manorina melanocephala,Meliphagidae,Passeriformes,60.22,2065246.62,1801,5.6171,Noisy miner,5102.39,119
Manorina melanophrys,Meliphagidae,Passeriformes,30.39,317354.76,1801,5.2253,Bell miner,831.15,40
Manorina melanotis,Meliphagidae,Passeriformes,54.0,1748.04,1911,5.8125,Black-eared miner,119.29,18
Manucerthia mana,Fringillidae,Passeriformes,14.6,697.48,1891,5.6581,Hawaiʻi creeper,205.8,6
Manucodia ater,Paradisaeidae,Passeriformes,228.01,136828.14,1830,5.589,Glossy-mantled manucode,285.89,17
Manucodia chalybatus,Paradisaeidae,Passeriformes,215.88,81016.84,1781,6.1639,Crinkle-collared manucode,199.95,14
