sta,plate,lat,lon,dist_km,residual_mm_yr,kept
0KRA,EU,62.8755,17.9277,1225.2,0.246,1
0KRB,EU,61.9827,15.3149,1275.3,0.574,1
0KRE,EU,58.6738,16.3381,1643.0,0.481,1
0KRI,EU,56.0313,14.1826,1890.7,0.357,1
0KRO,EU,57.6802,11.9845,1679.0,0.395,1
0KST,EU,56.8413,15.3947,1824.0,0.443,1
0KTH,EU,59.3499,18.0694,1600.0,0.926,1
0KUM,EU,59.1328,15.1397,1575.2,0.672,1
0KUN,EU,56.1042,15.5890,1891.1,0.651,1
0KVI,EU,66.9425,17.7391,801.0,0.985,1
0LAJ,EU,66.6552,22.1919,916.0,0.294,1
0LAK,EU,66.2785,21.1287,932.8,0.335,1
0LAN,EU,60.4576,16.0295,1448.2,0.662,1
0LAR,EU,59.2716,12.6559,1519.2,0.954,1
0LAS,EU,58.9024,17.3133,1634.8,0.709,1
0LBH,EU,56.0781,13.2430,1871.1,0.574,1
0LDA,EU,62.8507,12.7909,1143.0,1.226,1
0LED,EU,58.1140,12.1406,1635.2,0.782,1
0LEK,EU,60.7221,14.8770,1401.3,0.562,1
0LEN,EU,59.3198,11.9156,1502.6,1.087,1
0LFT,EU,57.9057,16.6987,1730.9,0.844,1
0LHE,EU,58.4374,15.7964,1659.8,0.631,1
0LIC,EU,58.4168,15.6265,1659.4,0.585,1
0LIE,EU,62.1575,13.8913,1233.4,0.704,1
0LIH,EU,56.8298,13.4492,1793.4,1.210,1
0LIL,EU,61.8533,14.0668,1268.4,1.208,1
0LIN,EU,60.3280,14.5314,1438.1,0.473,1
0LIO,EU,59.3657,18.1269,1599.2,0.683,1
0LKA,EU,67.8516,20.1953,758.3,7.259,0
0LKO,EU,58.5021,13.1289,1609.0,0.587,1
0LNC,EU,57.6838,12.2097,1682.3,0.779,1
0LND,EU,57.6661,12.2967,1685.6,0.868,1
0LOB,EU,55.7783,13.5149,1864.2,0.442,1
0LOD,EU,55.7669,12.9958,1860.0,0.484,1
0LOF,EU,62.1321,13.2755,1226.7,0.883,1
0LSE,EU,63.1834,17.0653,1178.8,0.538,1
0LUL,EU,65.5553,22.2153,1026.4,0.470,1
0LUM,EU,60.7097,16.2508,1425.3,0.643,1
0LVA,EU,64.3711,21.3132,1128.7,0.255,1
0MAK,EU,56.4573,13.5919,1835.6,0.395,1
0MAN,EU,57.6623,14.0762,1714.1,0.961,1
0MAT,EU,62.3660,16.9793,1262.7,0.410,1
0MBT,EU,57.8893,12.0321,1657.4,1.207,1
0MED,EU,64.7383,20.6738,1079.1,0.600,1
0MGV,EU,59.9314,16.9536,1519.7,0.666,1
0MJO,EU,58.3248,15.1250,1661.7,0.610,1
0MKO,EU,59.5986,13.7259,1502.2,0.533,1
0MLA,EU,65.1881,18.7586,998.7,0.586,1
0MLE,EU,56.2819,12.4991,1837.0,0.577,1
0MLK,EU,59.1364,16.7209,1599.9,0.794,1
0MLL,EU,58.7032,12.4553,1576.9,0.577,1
0MLM,EU,67.1941,20.6980,832.9,3.310,0
0MLU,EU,60.6864,13.7255,1387.6,0.710,1
0MLY,EU,57.6603,12.1147,1683.2,0.841,1
0MOA,EU,57.0446,16.4386,1819.3,0.533,1
0MOB,EU,56.5266,16.3787,1874.1,1.120,1
0MOC,EU,60.5087,14.9668,1425.5,0.373,1
0MOL,EU,58.0778,11.4836,1628.1,0.343,1
0MOR,EU,61.0120,14.5642,1365.6,0.642,1
0MOS,EU,59.3184,18.0742,1603.4,0.477,1
0MRF,EU,59.2614,17.2250,1595.2,0.664,1
0MRJ,EU,66.0691,22.7018,984.4,0.022,1
0MRS,EU,59.6259,17.8599,1567.2,0.771,1
0MSE,EU,65.8750,19.4576,940.7,0.526,1
0MUF,EU,59.8345,13.5422,1474.1,0.734,1
0MUN,EU,56.2563,12.9166,1846.7,0.518,1
0NAS,EU,57.6563,14.6977,1725.2,0.475,1
0NAT,EU,66.7566,20.9551,881.5,1.093,1
0NBA,EU,64.7154,17.6787,1029.6,0.628,1
0NBG,EU,60.0625,15.9207,1488.3,0.944,1
0NBR,EU,56.7459,15.9090,1843.2,0.713,1
0NBY,EU,62.3002,17.3639,1276.2,0.451,1
0NHL,EU,58.5093,15.9756,1654.9,1.064,1
0NIK,EU,65.8054,23.9148,1035.5,0.163,1
0NOA,EU,61.4319,13.2402,1300.8,0.666,1
0NOF,EU,63.7678,18.9954,1150.6,0.381,1
0NOR,EU,58.5902,16.2464,1650.5,0.765,1
0NOS,EU,64.9106,19.4817,1039.9,0.448,1
0NRA,EU,64.4359,15.5918,1022.9,1.104,1
0NUN,EU,57.5959,13.7248,1715.5,0.598,1
0NYB,EU,65.7959,23.1700,1021.1,0.130,1
0NYK,EU,58.7700,16.9776,1643.2,0.636,1
0NYL,EU,63.7173,18.4966,1147.3,0.482,1
0NYN,EU,58.9030,17.9442,1645.5,0.759,1
0OCK,EU,60.8905,16.7167,1414.2,0.805,1
0ODE,EU,58.2266,14.6516,1663.7,0.677,1
0OKC,EU,57.2519,16.4654,1797.4,0.604,1
0OML,EU,58.9510,17.1593,1627.0,0.824,1
0OPP,EU,58.0343,15.8069,1703.2,0.990,1
0ORK,EU,56.2861,13.2751,1849.3,0.528,1
0ORN,EU,63.2903,18.7178,1195.5,0.604,1
0ORR,EU,56.8395,15.7449,1830.3,0.528,1
0ORS,EU,56.7012,15.7527,1845.2,0.615,1
0OSA,EU,56.8016,12.9786,1789.2,0.593,1
0OSC,EU,63.1694,14.6729,1140.0,1.015,1
0OSK,EU,57.0656,15.9968,1810.3,0.543,1
0OSM,EU,57.8252,15.2766,1717.3,1.064,1
0OST,EU,63.4428,14.8581,1114.5,0.935,1
0OTM,EU,60.2840,12.7577,1413.2,0.988,1
0OVE,EU,66.3179,22.7734,961.2,0.099,1
0OVT,EU,66.3857,23.6587,973.2,0.247,1
0OXE,EU,58.6710,17.1070,1655.9,0.587,1
0PAU,EU,57.4664,15.5106,1759.5,0.382,1
0PJU,EU,66.9586,19.8181,839.5,0.751,1
0RAD,EU,57.6809,12.7142,1690.6,0.648,1
0RAM,EU,62.1823,15.6495,1260.1,1.067,1
0RAT,EU,63.9856,20.8956,1160.5,0.251,1
0RAU,EU,67.9943,19.8947,738.3,0.651,1
0RAV,EU,57.6496,12.4909,1690.5,0.924,1
0REJ,EU,58.8254,15.9302,1620.3,0.613,1
0REN,EU,61.3648,16.6173,1362.4,0.445,1
0RIB,EU,56.6512,16.2487,1858.8,0.446,1
0RIN,EU,58.3346,16.4490,1681.0,0.663,1
0ROB,EU,56.2079,15.2722,1889.5,0.708,1
0ROC,EU,56.8016,16.3465,1844.0,0.554,1
0ROE,EU,57.7794,14.2139,1703.9,0.863,1
0ROM,EU,57.5113,18.4483,1802.2,0.875,1
0ROR,EU,57.7770,11.6158,1662.4,0.929,1
0ROS,EU,65.4270,21.6908,1029.4,0.930,1
0ROT,EU,57.0231,14.8905,1796.0,0.665,1
0RUN,EU,56.6977,16.6925,1860.5,0.777,1
0RYF,EU,56.5632,13.9322,1829.6,0.522,1
0SAA,EU,63.9004,20.5561,1163.3,0.693,1
0SAF,EU,59.1359,12.9347,1538.2,0.756,1
0SAK,EU,63.9691,20.7094,1158.9,0.703,1
0SAL,EU,61.1542,13.2661,1330.3,0.758,1
0SAN,EU,61.2662,17.1539,1381.5,0.502,1
0SAR,EU,61.6938,13.1482,1271.6,1.170,1
0SAV,EU,65.7698,21.7384,995.7,0.609,1
0SAX,EU,64.9718,15.3475,963.2,1.019,1
0SBA,EU,60.0717,15.5571,1481.4,0.787,1
0SBR,EU,62.4596,17.3570,1259.4,0.434,1
0SBY,EU,56.6310,16.5129,1864.9,0.946,1
0SDE,EU,59.1896,17.6081,1609.5,0.992,1
0SIB,EU,56.2642,14.1974,1865.9,0.313,1
0SJO,EU,58.7835,17.1015,1643.9,1.886,0
0SKB,EU,62.3994,17.3381,1265.4,0.568,1
