sta,plate,lat,lon,dist_km,residual_mm_yr,kept
NYBR,NA,40.6887,-74.0013,2269.2,0.276,1
NYBT,NA,42.9883,-78.1223,2564.6,0.369,1
NYCI,NA,40.7606,-73.1977,2273.2,0.291,1
NYCL,NA,42.5844,-76.2113,2494.4,0.470,1
NYCO,NA,40.5789,-73.9826,2256.9,0.232,1
NYCP,NA,42.1879,-77.1434,2462.2,0.372,1
NYCS,NA,42.6675,-74.4864,2490.9,0.347,1
NYDP,NA,40.8063,-73.2185,2278.3,0.658,1
NYDV,NA,42.5489,-77.6980,2509.9,0.532,1
NYEL,NA,40.7064,-73.6662,2269.2,0.224,1
NYET,NA,44.2097,-73.5405,2657.5,0.452,1
NYEV,NA,42.2752,-78.6682,2497.0,4.034,0
NYFD,NA,42.4283,-79.3397,2523.2,0.289,1
NYFS,NA,42.2047,-78.1439,2479.7,0.294,1
NYFV,NA,42.9392,-74.3533,2520.5,0.509,1
NYHB,NA,42.7174,-78.8465,2548.2,0.262,1
NYHC,NA,41.9583,-75.2927,2417.0,0.496,1
NYHF,NA,43.3177,-73.5687,2558.6,0.476,1
NYHL,NA,44.3088,-75.4494,2678.4,0.677,1
NYHM,NA,43.0184,-74.9959,2532.5,0.747,1
NYHR,NA,42.3278,-77.6613,2485.2,0.616,1
NYHS,NA,42.2523,-73.7575,2441.2,0.336,1
NYIL,NA,43.7827,-74.2777,2613.9,0.668,1
NYJM,NA,40.6628,-73.8071,2265.1,0.740,1
NYKT,NA,41.9369,-74.0312,2407.8,0.380,1
NYLA,NA,63.9735,-22.7381,18.2,1.210,0
NYLC,NA,41.4811,-73.6515,2355.1,0.304,1
NYLP,NA,43.1652,-78.7537,2594.9,0.580,1
NYLV,NA,43.7965,-75.4854,2622.0,0.394,1
NYMC,NA,43.1115,-77.6144,2570.1,0.670,1
NYMD,NA,41.4068,-74.4428,2350.7,0.173,1
NYML,NA,44.8710,-74.2882,2734.7,0.430,1
NYMO,NA,41.6460,-74.6623,2378.3,1.098,1
NYMX,NA,43.4701,-76.2319,2592.4,0.441,1
NYNB,NA,41.4952,-74.0256,2358.8,0.253,1
NYNP,NA,41.7425,-74.0822,2386.5,0.246,1
NYNS,NA,43.1188,-76.1416,2552.7,0.515,1
NYOB,NA,40.5516,-74.1166,2254.4,0.388,1
NYON,NA,42.4402,-75.1118,2469.1,0.436,1
NYOR,NA,35.4911,-115.1591,211.5,2.633,0
NYPB,NA,44.6807,-73.4540,2709.5,0.406,1
NYPD,NA,44.6525,-75.0418,2713.9,0.718,1
NYPE,NA,41.2952,-73.9193,2335.9,0.642,1
NYPF,NA,43.0932,-77.5253,2566.8,0.477,1
NYPR,NA,40.6379,-74.1248,2264.0,0.381,1
NYQN,NA,40.7195,-73.7301,2271.0,0.268,1
NYRB,NA,44.3039,-74.0784,2670.5,0.643,1
NYRH,NA,40.9234,-72.7140,2290.1,0.200,1
NYRM,NA,43.1778,-75.4872,2553.5,0.406,1
NYSB,NA,42.6792,-75.5132,2498.5,1.205,1
NYSM,NA,42.1921,-78.7474,2489.5,0.197,1
NYST,NA,43.0616,-73.8042,2531.3,0.616,1
NYVH,NA,41.0823,-73.8178,2311.7,0.318,1
NYWG,NA,42.3511,-76.8759,2476.5,0.625,1
NYWL,NA,42.8987,-76.8520,2536.4,0.409,1
NYWT,NA,44.0282,-75.9211,2651.1,0.455,1
NYWV,NA,42.0124,-76.5216,2434.9,0.634,1
NYWW,NA,42.7399,-78.1330,2537.8,0.928,1
NYYO,NA,40.9263,-73.8691,2294.7,0.020,1
OAKH,NA,30.8155,-92.6570,1695.2,0.412,1
OAKR,NA,43.7383,-122.4446,236.6,5.682,0
OASC,NA,38.1181,-89.7066,2275.2,3.004,0
OASS,NA,42.4735,-96.4143,1965.6,0.378,1
OAX2,NA,17.0783,-96.7167,191.1,5.672,0
OBEC,NA,44.0660,-123.0982,180.9,7.095,0
OBNK,NA,49.9453,-96.8351,2154.1,1.181,1
OBSR,NA,46.8998,-121.8154,309.7,5.153,0
OBSV,NA,40.7354,-120.1575,348.7,6.977,0
OCEN,NA,46.9524,-124.1597,135.1,18.233,0
OCLA,NA,29.1818,-82.1043,1130.2,0.515,1
ODOT,NA,44.8967,-123.0008,189.2,7.709,0
ODSA,NA,47.3290,-118.7126,548.5,1.534,1
OFW2,NA,44.4511,-110.8312,1151.1,1.332,1
OHAD,NA,38.7859,-83.5563,2201.6,0.735,1
OHAL,NA,40.7694,-84.1070,2427.1,0.304,1
OHAN,NA,39.3367,-82.1126,2233.0,1.082,1
OHAS,NA,41.9251,-80.5511,2486.2,0.389,1
OHAT,NA,39.3284,-82.1298,2232.4,0.576,1
OHBG,NA,41.3625,-83.6499,2482.4,0.079,1
OHBY,NA,41.4747,-84.5327,2511.6,0.213,1
OHCA,NA,40.7926,-81.3784,2377.1,0.665,1
OHCB,NA,40.7764,-80.8299,2365.8,0.425,1
OHCD,NA,41.5407,-81.6351,2462.9,0.464,1
OHCE,NA,40.0797,-80.8971,2291.2,1.330,1
OHCL,NA,39.9439,-83.8379,2332.5,0.439,1
OHCO,NA,40.2974,-81.8422,2331.5,0.563,1
OHCS,NA,40.2977,-81.8430,2331.6,0.269,1
OHDF,NA,41.3340,-84.4291,2494.4,1.132,1
OHDR,NA,40.0995,-84.6098,2364.5,0.602,1
OHDT,NA,39.7647,-84.1807,2319.9,0.230,1
OHDY,NA,39.6289,-84.1416,2304.4,0.445,1
OHEU,NA,41.6005,-81.4883,2467.0,0.526,1
OHFA,NA,39.5259,-83.4753,2280.4,0.463,1
OHFH,NA,41.7598,-81.2810,2480.6,0.896,1
OHFN,NA,41.5583,-84.1349,2513.1,0.280,1
OHFY,NA,39.5260,-83.4762,2280.4,0.495,1
OHGB,NA,39.2145,-84.6755,2270.1,0.164,1
OHGR,NA,39.8821,-83.0928,2311.5,0.235,1
OHHA,NA,41.0411,-83.6760,2448.1,0.270,1
OHHI,NA,39.2002,-83.5974,2247.3,0.277,1
OHHO,NA,39.5354,-82.4439,2260.8,0.275,1
OHHU,NA,41.1768,-82.5614,2440.8,0.268,1
OHJE,NA,40.3748,-80.7297,2320.4,0.262,1
OHJF,NA,40.4045,-80.7215,2323.5,0.734,1
OHLA,NA,41.7265,-81.2864,2477.1,0.280,1
OHLC,NA,41.7212,-83.5263,2518.6,0.681,1
OHLI,NA,39.9525,-82.4142,2305.5,0.443,1
OHLM,NA,40.7541,-84.0811,2424.9,0.153,1
OHLO,NA,41.2935,-82.2329,2446.9,0.291,1
OHMA,NA,40.6138,-83.0820,2390.1,0.336,1
OHMD,NA,39.8747,-83.4792,2318.2,1.884,1
OHME,NA,39.7774,-81.1019,2261.8,1.041,1
OHMH,NA,41.5437,-82.7315,2483.8,0.150,1
OHMN,NA,41.0235,-80.7727,2391.8,0.175,1
OHMO,NA,39.7768,-81.1024,2261.8,0.628,1
OHMR,NA,40.5460,-84.6307,2413.3,0.411,1
OHMS,NA,40.7724,-82.5285,2396.5,0.418,1
OHPE,NA,38.9468,-83.4165,2216.4,0.440,1
OHPI,NA,39.6049,-82.9486,2278.5,0.640,1
OHPO,NA,41.1060,-81.2445,2409.0,0.280,1
OHPR,NA,39.7407,-84.5748,2325.0,0.535,1
OHRI,NA,40.7682,-82.5607,2396.7,0.051,1
OHRO,NA,39.3661,-83.0223,2254.2,0.431,1
OHRS,NA,39.3654,-83.0213,2254.1,0.687,1
OHSA,NA,41.4584,-82.7066,2474.1,0.433,1
OHSB,NA,41.6365,-82.8298,2495.8,0.251,1
OHTS,NA,40.4570,-81.4079,2341.0,1.355,1
OHUN,NA,40.2330,-83.3609,2354.6,0.366,1
OHVA,NA,40.8558,-84.6243,2446.7,0.401,1
OHWA,NA,39.4260,-81.4184,2229.1,0.465,1
OHWI,NA,41.5819,-84.5575,2523.7,0.519,1
OHWS,NA,39.4263,-81.4178,2229.1,0.883,1
OHWY,NA,40.8198,-81.8960,2389.2,0.197,1
OHZP,NA,41.0762,-81.5107,2410.2,0.302,1
OHZV,NA,39.9412,-82.0085,2296.2,0.448,1
OK02,NA,36.4851,-96.9642,1679.5,0.136,1
OK03,NA,36.3296,-96.8580,1683.2,0.267,1
OK04,NA,36.3969,-96.9121,1681.5,0.302,1
OK05,NA,36.4323,-96.8939,1684.1,2.278,0
OK06,NA,36.4608,-96.8565,1688.1,0.447,1
OK07,NA,36.4543,-96.7640,1696.0,0.839,1
OK08,NA,36.3712,-96.9361,1678.7,0.064,1
OKAA,NA,34.7752,-96.6643,1615.2,0.274,1
OKAD,NA,34.8003,-96.7383,1610.3,0.372,1
OKAE,NA,34.1719,-97.1353,1547.4,0.508,1
OKAL,NA,34.6323,-99.3294,1393.7,0.923,1
OKAN,NA,34.1952,-95.6214,1668.4,0.357,1
OKAO,NA,35.0764,-98.2459,1503.9,0.517,1
OKAR,NA,34.1685,-97.1692,1544.4,0.417,1
OKBF,NA,36.8280,-99.6414,1463.3,0.536,1
OKBL,NA,36.7524,-95.9934,1770.9,0.442,1
OKCB,NA,27.2660,-80.8553,896.7,0.387,1
OKCL,NA,35.4832,-98.9715,1472.1,0.080,1
OKCR,NA,36.7587,-98.3576,1568.8,0.479,1
OKCS,NA,35.0519,-97.9388,1526.8,0.499,1
OKCV,NA,36.3051,-96.4827,1710.5,0.724,1
OKCY,NA,34.5900,-95.3540,1712.4,0.497,1
OKDN,NA,34.4793,-97.9666,1494.0,0.483,1
OKDT,NA,35.4901,-97.5077,1585.0,0.100,1
OKEE,NA,42.9139,-82.5949,2629.1,1.667,1
OKEK,NA,29.7250,-95.8033,1416.1,0.745,1
OKER,NA,35.5217,-97.9334,1553.7,0.467,1
OKEU,NA,35.2814,-95.5849,1728.2,0.224,1
OKFG,NA,53.4107,-167.9116,147.8,1.805,0
OKGM,NA,36.6746,-101.4794,1304.9,0.369,1
OKGU,NA,35.8757,-97.4255,1613.3,0.792,1
OKHV,NA,34.9132,-94.6181,1788.5,0.464,1
OKLW,NA,34.5728,-98.4099,1463.2,0.756,1
OKMA,NA,34.9280,-95.7372,1698.9,0.796,1
OKMC,NA,35.0009,-95.7257,1703.2,0.806,1
OKME,NA,35.7424,-95.3442,1770.3,0.483,1
OKMU,NA,35.7167,-95.4016,1764.4,0.471,1
OKNG,NA,48.3734,-119.5515,500.3,2.067,0
OKNM,NA,35.2500,-97.4901,1573.1,0.191,1
OKOC,NA,35.4659,-97.5934,1576.9,0.784,1
OKOE,NA,35.6664,-95.9637,1716.7,0.481,1
OKOM,NA,34.0903,-88.8625,1833.5,0.115,1
OKOW,NA,36.2710,-95.8470,1758.0,0.391,1
OKPC,NA,36.6706,-97.7803,1615.0,1.047,1
OKPO,NA,36.7095,-97.0830,1675.9,0.296,1
OKPR,NA,36.2762,-97.3217,1642.7,0.519,1
OKPY,NA,36.3076,-95.3154,1801.7,1.785,1
OKSE,NA,35.3675,-96.9526,1622.1,0.435,1
OKSP,NA,36.0471,-96.0872,1727.0,0.292,1
OKSR,NA,35.7539,-96.6560,1666.4,0.500,1
OKSW,NA,36.1178,-96.9782,1661.7,0.640,1
OKSY,NA,35.3150,-99.6377,1411.7,0.975,1
OKTE,NA,35.2602,-96.8978,1620.8,0.203,1
OKTU,NA,36.2106,-95.8544,1754.1,0.309,1
OLAR,NA,46.9612,-122.9085,228.6,7.059,0
OLDS,NA,51.7921,-114.0933,981.3,1.625,1
OLEA,NA,46.6782,-64.1259,2164.7,0.605,1
OLI1,NA,49.1795,-119.5454,524.8,2.033,0
OLMP,NA,47.0448,-122.8952,231.0,8.083,0
OMH5,NA,41.7783,-95.9113,1972.4,0.358,1
OMH6,NA,41.7785,-95.9115,1972.4,0.937,1
ONAB,NA,44.5145,-124.0745,102.9,11.988,0
ONAM,NA,42.0874,-83.1086,2549.9,0.380,1
ONBE,NA,44.3787,-79.7097,2742.1,0.645,1
ONBF,NA,43.1786,-80.2385,2617.9,0.586,1
ONBM,NA,43.9029,-78.6646,2673.2,0.814,1
ONBO,NA,43.8640,-79.7176,2685.7,0.568,1
ONBR,NA,42.2875,-82.7504,2564.4,0.608,1
ONBT,NA,43.6717,-79.7689,2665.3,0.582,1
ONBV,NA,44.1546,-77.4305,2681.7,0.435,1
ONC1,NA,45.3235,-76.0081,2795.0,0.813,1
ONCB,NA,43.3676,-80.2719,2639.0,0.485,1
ONCD,NA,44.2913,-77.8049,2701.9,0.888,1
ONCG,NA,43.9829,-78.1692,2673.7,0.629,1
ONCL,NA,46.7051,-80.9208,3013.1,0.914,1
ONCM,NA,42.2754,-83.0526,2569.2,0.484,1
ONCO,NA,44.5002,-80.2500,2762.6,1.233,1
ONCP,NA,44.2914,-77.8048,2701.9,0.158,1
ONCR,NA,43.1764,-79.2403,2604.3,0.746,1
ONCW,NA,45.0259,-74.7339,2753.8,1.121,1
ONCY,NA,42.9500,-79.8590,2587.4,3.637,0
ONDK,NA,44.1686,-80.3938,2728.4,1.180,1
ONDY,NA,43.7513,-79.3523,2668.8,1.030,1
ONET,NA,43.7013,-79.6072,2666.4,0.808,1
ONEU,NA,42.2601,-81.9154,2546.0,4.463,0
ONFA,NA,46.5772,-80.8107,2997.6,1.091,1
ONGB,NA,43.3275,-81.7429,2659.0,0.808,1
ONGC,NA,42.7147,-81.6789,2591.4,0.391,1
ONGD,NA,43.7447,-81.7115,2703.8,1.175,1
ONGO,NA,43.7433,-81.7138,2703.6,0.763,1
ONGR,NA,43.3272,-81.7427,2659.0,2.837,0
ONH1,NA,45.0491,-78.5392,2795.7,1.106,1
ONH2,NA,43.7670,-79.1479,2667.4,0.626,1
ONHC,NA,43.7677,-79.1481,2667.4,1.796,1
ONHK,NA,45.6098,-74.6130,2818.1,0.843,1
ONHL,NA,45.0466,-78.5085,2795.0,0.540,1
ONKC,NA,44.1554,-81.6544,2747.4,0.608,1
ONKD,NA,44.6488,-77.1211,2732.0,0.649,1
ONKN,NA,44.2602,-76.5092,2682.3,0.450,1
ONKV,NA,43.4687,-79.6800,2641.8,0.692,1
ONLD,NA,44.3643,-78.7762,2725.3,0.695,1
ONLE,NA,42.0621,-82.5997,2537.1,0.271,1
ONLF,NA,44.4294,-78.2692,2724.0,0.585,1
ONLY,NA,40.9638,-120.2681,349.6,6.278,0
ONMC,NA,45.2276,-74.9913,2777.5,0.900,1
ONML,NA,43.5274,-79.8915,2651.1,0.912,1
ONMO,NA,44.9061,-75.1646,2742.8,0.799,1
ONMT,NA,43.4677,-81.1961,2665.1,0.879,1
ONNA,NA,46.4045,-81.1774,2984.1,1.099,1
ONNB,NA,46.3242,-79.4091,2948.7,1.260,1
ONNM,NA,44.0391,-79.4550,2701.7,0.680,1
ONNP,NA,44.2490,-76.9501,2686.0,1.032,1
ONOC,NA,42.2331,-82.9668,2562.9,0.101,1
ONON,NA,46.6323,-81.3967,3012.3,1.308,1
ONOR,NA,44.6106,-79.4128,2763.5,2.014,0
ONOW,NA,44.5745,-80.9465,2781.1,0.695,1
ONPC,NA,42.8942,-79.2716,2573.6,0.973,1
ONPE,NA,44.8888,-76.2394,2749.0,0.687,1
ONPP,NA,44.1103,-78.9576,2700.9,0.501,1
ONPS,NA,42.6654,-81.2128,2578.0,0.653,1
ONRF,NA,45.4783,-76.7014,2818.6,0.538,1
ONSC,NA,43.2142,-79.7100,2614.3,0.346,1
ONSF,NA,44.9170,-76.0206,2750.2,0.301,1
ONSI,NA,42.8463,-80.3281,2582.9,0.540,1
ONSM,NA,42.8448,-80.3175,2582.6,0.598,1
ONSR,NA,42.9603,-82.3427,2629.5,0.475,1
ONST,NA,46.4754,-81.0153,2989.4,1.241,1
ONTG,NA,42.8613,-80.7290,2591.1,0.570,1
ONTI,NA,48.4660,-81.4320,3193.5,1.053,1
ONTN,NA,43.6157,-79.3833,2654.3,0.636,1
ONTO,NA,44.0232,-116.9380,673.0,0.729,1
ONWA,NA,42.5805,-82.3837,2589.1,0.617,1
ORAL,NA,45.7186,-120.2025,414.1,2.565,0
ORAN,NA,43.8980,-80.1122,2694.7,0.603,1
ORBN,NA,44.0943,-121.3019,324.3,3.852,0
ORCD,NA,45.2270,-120.1806,412.1,2.240,0
ORDO,NA,45.2341,-122.8159,205.8,7.665,0
OREU,NA,44.0450,-123.1619,175.8,7.554,0
ORFL,NA,43.9864,-124.1113,100.4,12.374,0
ORGR,NA,45.4976,-122.4159,240.1,6.442,0
ORHA,NA,44.2898,-123.1544,176.5,8.184,0
ORHI,NA,45.5191,-123.0253,194.0,8.547,0
ORHM,NA,45.8052,-119.3211,483.0,1.881,0
ORHP,NA,45.3607,-119.5652,460.4,2.008,0
ORI1,NA,44.6111,-79.4161,2763.6,0.761,1
ORIE,NA,37.2531,-117.4527,298.9,4.564,0
ORIL,NA,44.6058,-79.4225,2763.2,0.348,1
ORK5,NA,42.2888,-121.6693,290.6,5.219,0
ORK6,NA,42.2888,-121.6697,290.6,5.453,0
ORKF,NA,42.1434,-121.8086,280.9,5.799,0
ORL1,NA,28.4346,-81.3825,1034.6,0.680,1
ORM1,NA,44.6016,-121.1410,335.1,3.294,0
ORMD,NA,29.2982,-81.1089,1122.9,0.384,1
ORMF,NA,42.3799,-122.8845,190.3,7.272,0
ORMO,NA,45.1545,-122.6020,222.3,8.720,0
ORMV,NA,45.1879,-123.2091,174.8,9.024,0
ORN2,NA,43.9193,-80.1035,2696.9,0.447,1
ORNW,NA,44.6748,-124.0612,104.0,12.408,0
OROR,NA,43.7464,-122.4853,233.2,5.864,0
ORPE,NA,45.6709,-118.8502,517.9,1.462,1
ORPO,NA,45.5070,-122.6728,220.6,7.521,0
ORRB,NA,43.2984,-123.3492,159.7,7.471,0
ORS1,NA,44.1642,-119.0588,503.1,1.411,1
ORS2,NA,44.1641,-119.0584,503.1,1.406,1
ORSB,NA,44.6253,-124.0488,105.1,12.997,0
ORSH,NA,44.3977,-122.7276,210.3,6.587,0
ORSL,NA,44.9730,-122.9553,193.9,8.608,0
ORTA,NA,44.5583,-123.1111,179.2,8.189,0
ORTI,NA,45.4856,-123.8462,130.3,11.842,0
ORVL,NA,43.8979,-80.1123,2694.7,0.851,1
ORWA,NA,45.5864,-120.6866,374.9,2.981,0
OSEO,NA,44.5358,-91.2271,2440.9,0.625,1
OSH1,NA,44.0167,-88.5546,2620.5,0.455,1
OSHA,NA,43.8611,-78.8840,2672.6,0.801,1
OSPA,NA,43.4649,-76.5115,2594.7,0.921,1
OTHL,NA,46.8226,-119.1679,506.9,1.932,0
OTIS,NA,48.4178,-122.3366,303.6,4.781,0
OTLO,NA,46.8284,-119.1744,506.5,0.932,1
OTT1,NA,45.3352,-75.7052,2793.9,0.332,1
OTTA,NA,45.3800,-75.6334,2798.4,0.733,1
OTWA,NA,45.3785,-75.6397,2798.3,0.726,1
OTZ1,NA,66.8873,-162.6114,1188.0,5.667,0
OUT1,NA,51.4889,-107.0456,1445.1,1.420,1
OWE2,NA,44.5736,-80.9406,2780.9,0.756,1
OXFO,NA,43.7774,-89.6398,2529.6,0.247,1
OXTH,NA,16.2863,-95.2408,127.2,6.050,0
OYEN,NA,51.3557,-110.4839,1207.7,1.405,1
OYLR,NA,47.4746,-122.2048,291.9,4.897,0
P002,NA,39.5211,-117.1865,477.8,3.050,0
P004,NA,34.7844,-112.1520,361.1,1.588,0
P005,NA,39.9102,-115.2786,631.7,2.945,0
P006,NA,36.1542,-114.4569,308.7,1.885,0
P007,NA,41.7242,-114.8197,789.8,2.778,0
P008,NA,36.1428,-111.1300,520.6,1.100,1
P009,NA,38.4799,-112.2227,633.7,1.431,1
P010,NA,34.6673,-113.7313,233.6,2.042,0
P011,NA,36.1498,-109.5192,642.9,0.758,1
P012,NA,38.0974,-109.3338,779.3,0.632,1
P013,NA,41.4287,-117.3300,596.7,2.810,0
P014,NA,31.9729,-111.0986,293.9,1.152,0
P015,NA,34.2638,-110.0095,500.3,1.064,1
P016,NA,40.0781,-112.3614,771.7,2.400,0
P017,NA,41.2759,-119.9355,387.7,5.563,0
P018,NA,42.9817,-117.0646,666.2,1.789,1
P019,NA,43.3002,-115.3117,809.1,1.807,1
P020,NA,47.0022,-118.5658,555.2,1.426,1
P021,NA,48.6747,-118.7303,566.3,1.721,1
P022,NA,45.2318,-118.0138,581.8,0.863,1
P023,NA,44.8984,-116.1030,731.9,0.426,1
P024,NA,47.5622,-115.8424,765.7,1.226,1
P025,NA,48.7310,-116.2875,743.8,1.493,1
P026,NA,32.6590,-107.1949,668.5,0.757,1
P027,NA,32.8019,-105.8042,797.0,0.882,1
P028,NA,36.0317,-107.9084,768.6,0.682,1
P029,NA,38.4392,-107.6380,920.1,2.696,0
P030,NA,41.7498,-110.5128,1012.0,0.168,1
P031,NA,39.5155,-107.9087,975.8,0.628,1
P032,NA,41.7417,-107.2559,1184.0,0.083,1
P033,NA,43.9529,-107.3875,1360.6,0.789,1
P034,NA,34.9456,-106.4593,816.8,0.568,1
P035,NA,34.6014,-105.1836,907.7,0.770,1
P036,NA,36.4203,-105.2937,989.5,0.324,1
P037,NA,38.4218,-105.1047,1106.6,0.217,1
P038,NA,34.1473,-103.4073,1048.0,0.663,1
P039,NA,36.4481,-103.1540,1158.4,0.687,1
P040,NA,38.0715,-102.6870,1281.8,0.340,1
P041,NA,39.9495,-105.1943,1188.8,0.413,1
P042,NA,42.0515,-104.9106,1350.6,0.100,1
P043,NA,43.8811,-104.1857,1529.3,0.289,1
P044,NA,40.1718,-103.2225,1343.8,0.218,1
P045,NA,45.3829,-112.6172,1003.0,0.817,1
P046,NA,47.0296,-113.3317,950.1,1.369,1
P047,NA,48.4213,-113.2197,965.5,1.615,1
P048,NA,45.6530,-111.2042,1111.7,0.700,1
P049,NA,47.3500,-110.9062,1134.8,1.156,1
P050,NA,48.8095,-111.2484,1112.2,1.403,1
P051,NA,45.8066,-108.5461,1317.2,0.777,1
P052,NA,47.3747,-107.0187,1427.6,0.792,1
P053,NA,48.7261,-107.7254,1370.2,1.201,1
P054,NA,45.8463,-104.4414,1633.7,0.445,1
P055,NA,47.1167,-104.6851,1604.6,0.757,1
P057,NA,41.7566,-112.6231,927.6,2.089,0
P061,NA,42.9674,-124.0140,104.1,10.172,0
P062,NA,43.1124,-121.0907,341.0,3.955,0
P063,NA,44.9227,-120.9462,350.7,3.088,0
P064,NA,47.9698,-123.4877,206.3,8.531,0
P065,NA,46.8440,-120.9331,374.9,3.518,0
P068,NA,39.3056,-117.9848,410.7,3.994,0
P069,NA,39.2879,-117.6049,433.6,3.316,0
P070,NA,36.0448,-104.6980,1014.8,0.569,1
P071,NA,39.3465,-117.4012,451.2,3.298,0
P072,NA,39.5215,-116.7409,507.8,3.119,0
P073,NA,39.5005,-116.4245,526.8,2.913,0
P074,NA,39.5464,-116.0496,554.8,3.017,0
P075,NA,39.3742,-115.8888,554.2,3.040,0
P076,NA,39.5361,-115.5126,591.0,2.754,0
P077,NA,39.3886,-115.4318,585.4,3.146,0
P078,NA,40.4334,-117.8798,503.3,4.316,0
P079,NA,39.2552,-114.6917,600.2,2.778,0
P080,NA,39.1194,-114.2772,603.2,2.784,0
P081,NA,39.0673,-113.8713,611.7,2.803,0
P082,NA,39.2689,-113.5052,645.6,2.715,0
P083,NA,40.3206,-117.4676,523.1,3.252,0
P084,NA,40.4940,-113.0540,785.0,2.752,0
P085,NA,40.4955,-116.7362,579.4,3.112,0
P086,NA,40.6488,-112.2821,830.0,1.932,1
P087,NA,40.3632,-116.2793,597.5,2.848,0
P088,NA,40.7718,-111.7229,865.7,0.359,1
P090,NA,39.5728,-119.7999,314.3,8.834,0
P091,NA,36.6143,-117.5315,231.3,5.856,0
P092,NA,36.8042,-117.4068,254.9,5.102,0
P093,NA,36.6060,-117.9941,213.4,9.150,0
P094,NA,37.2008,-117.7042,279.0,5.262,0
P095,NA,39.6984,-119.5369,340.7,7.947,0
P096,NA,39.7956,-119.3056,363.1,6.786,0
P097,NA,39.8388,-118.8739,396.5,6.095,0
P098,NA,39.8889,-118.6844,413.2,5.832,0
P099,NA,39.2123,-118.1594,392.6,4.581,0
P100,NA,41.8568,-113.2942,896.2,2.926,0
P101,NA,41.6923,-111.2360,974.3,0.259,1
P102,NA,39.9249,-115.5560,614.1,2.976,0
P103,NA,39.3451,-113.0421,672.0,2.623,0
P104,NA,39.1861,-112.7171,671.4,2.279,0
P105,NA,39.3875,-112.5041,700.1,2.564,0
P106,NA,39.4590,-112.2623,718.3,2.530,0
P107,NA,35.1322,-107.8800,715.7,0.733,1
P108,NA,39.5889,-111.9446,745.8,1.786,1
P109,NA,39.5975,-111.6508,761.5,1.121,1
P110,NA,39.7152,-111.5711,776.1,0.854,1
P111,NA,41.8173,-113.0122,912.4,2.730,0
P112,NA,39.8169,-111.4500,791.3,0.640,1
P113,NA,40.6713,-113.2780,795.2,2.940,0
P114,NA,40.6340,-112.5276,818.7,2.435,0
P115,NA,40.4744,-112.4280,807.1,2.607,0
P116,NA,40.4340,-112.0142,820.8,2.110,0
P117,NA,40.4352,-111.7514,832.8,1.990,1
P118,NA,40.6355,-111.3499,870.1,0.417,1
P119,NA,40.7318,-111.2577,883.4,0.273,1
P120,NA,35.0075,-105.6261,888.0,0.715,1
P121,NA,41.8034,-112.6983,929.2,2.317,0
P122,NA,41.6354,-112.3319,925.6,1.673,1
P123,NA,36.6352,-105.9108,955.5,0.587,1
P124,NA,41.5576,-111.9574,931.8,0.823,1
P125,NA,41.5890,-111.8989,937.2,1.107,1
P126,NA,41.5832,-111.7805,941.3,0.652,1
P127,NA,39.4992,-119.5999,323.8,8.173,0
P128,NA,39.4861,-119.0686,360.4,6.543,0
P129,NA,39.1339,-118.4496,368.9,5.534,0
P130,NA,39.2680,-118.9378,352.7,6.757,0
P131,NA,39.4547,-118.3513,400.9,5.589,0
P132,NA,38.7288,-118.0049,367.7,4.362,0
P133,NA,38.7246,-118.4602,336.7,6.090,0
P134,NA,38.9809,-118.9304,328.5,7.558,0
P135,NA,38.7046,-119.0154,300.6,8.696,0
P136,NA,38.7614,-119.4585,281.0,9.883,0
P137,NA,40.7798,-119.4768,403.5,5.702,0
P138,NA,40.2422,-119.0102,413.0,5.846,0
P139,NA,39.9082,-119.7225,342.6,7.751,0
P140,NA,38.8292,-120.6932,204.4,12.292,0
P141,NA,39.0466,-120.3856,239.7,11.959,0
P142,NA,39.1235,-119.8107,285.9,10.771,0
P143,NA,38.7602,-119.7648,261.6,11.685,0
P144,NA,39.4667,-120.8930,232.5,11.633,0
P145,NA,41.3577,-119.6243,415.2,5.145,0
P146,NA,39.3375,-120.5373,248.3,11.802,0
P147,NA,39.9374,-120.2844,302.9,9.533,0
P148,NA,40.4186,-120.8060,284.6,8.637,0
P149,NA,39.6021,-120.1050,295.7,9.991,0
P150,NA,39.2924,-120.0339,280.0,10.837,0
P151,NA,40.2889,-120.0773,333.8,7.900,0
P179,NA,42.0990,-123.6856,128.7,9.265,0
P191,NA,42.2754,-123.6323,130.0,8.694,0
P310,NA,38.7356,-120.3343,223.8,12.263,0
P311,NA,37.1776,-118.5198,221.9,11.325,0
P346,NA,39.7947,-120.8675,250.7,11.508,0
P347,NA,41.1833,-120.9485,306.0,7.001,0
P348,NA,40.9055,-121.8280,226.3,8.681,0
P350,NA,43.5328,-114.8628,844.1,1.888,1
P351,NA,43.8744,-114.7192,851.4,1.627,1
P352,NA,43.8491,-114.0961,901.4,1.842,1
P353,NA,44.0545,-113.9788,907.6,1.707,1
P354,NA,44.1085,-113.9789,906.9,1.287,1
P355,NA,44.2179,-113.7221,925.7,0.687,1
P356,NA,43.8166,-110.4891,1188.0,1.386,1
P357,NA,44.2271,-113.5819,936.7,0.961,1
P358,NA,44.4019,-113.2407,961.4,0.737,1
P359,NA,43.4825,-111.5295,1111.2,2.590,0
P360,NA,44.3179,-111.4507,1103.9,3.120,0
