sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
TID1,-35.399201,148.979999,0.018308,0.055296,0.000128,0.000108,30.1218,AU
TID2,-35.399206,148.979998,0.018173,0.055335,0.000241,0.000231,15.9042,AU
TIDB,-35.399201,148.98,0.018344,0.055284,0.000121,0.000102,32.4764,AU
TIDV,-35.399196,148.980002,0.018372,0.055303,0.000197,0.000156,11.0636,AU
TIEN,50.793361,4.956853,0.019313,0.016651,0.000429,0.000495,2.0014,EU
TIFF,41.07498,-83.150401,-0.014944,0.001580,0.000111,0.000128,24.6872,NA
TIK1,-0.399126,99.944186,0.026661,0.013119,0.000595,0.000555,15.9699,SU
TIKS,71.633881,128.862715,0.017437,-0.012073,0.002154,0.002223,1.9768,NA
TIL2,-23.57714,-65.395072,0.006490,0.011914,0.000691,0.000571,13.2211,SA
TIL3,49.177025,-0.624307,0.017953,0.016756,0.000144,0.000163,15.4442,EU
TIL4,42.903539,-80.636559,-0.016022,0.003244,0.000302,0.000348,5.6262,NA
TILB,51.576149,5.111533,0.018438,0.014588,0.000364,0.000324,3.4470,EU
TILC,37.618887,-118.862855,-0.020051,-0.002136,0.000244,0.000440,25.9850,NA
TILI,60.438515,166.088379,0.008098,-0.020239,0.000458,0.000747,4.8405,OK
TILK,60.438624,166.089588,0.007251,-0.020210,0.000288,0.000498,4.6406,OK
TILL,45.455129,-123.830768,-0.006083,-0.003869,0.000233,0.000142,17.9932,NA
TILM,50.582618,5.566585,0.018307,0.015785,0.000115,0.000106,22.0123,EU
TILO,36.380427,27.393654,0.012564,-0.016763,0.000247,0.000247,11.1239,EU
TIM1,45.779908,21.23097,0.023040,0.013874,0.000235,0.000197,7.5017,EU
TIM2,48.4655,-81.4479,-0.017031,0.001088,0.000234,0.000418,7.8412,NA
TIM3,48.477149,-81.377989,-0.017254,0.001568,0.000341,0.000337,6.2122,NA
TIMA,45.120593,23.127803,0.022487,0.013582,0.000231,0.000246,12.6981,EU
TIMI,45.745467,21.229937,0.022357,0.012780,0.000799,0.000535,4.7967,EU
TIMM,62.535543,-42.286152,-0.015175,0.016372,0.000145,0.000176,18.7844,NA
TIMP,27.471928,89.634841,0.040407,0.028079,0.000573,0.000455,5.8672,IN
TIMS,48.522979,-81.539988,-0.017672,0.000990,0.000650,0.000986,19.3484,NA
TIN1,68.801243,-50.463192,-0.017627,0.010262,0.000831,0.000801,3.5783,NA
TIN2,15.317674,-89.875406,-0.009869,0.006662,0.003337,0.003407,5.3991,NA
TINT,-40.776029,175.885668,-0.025298,0.030143,0.000242,0.000251,20.3778,PA
TIR1,56.500002,-6.880637,0.013879,0.016580,0.000119,0.000115,15.5373,EU
TIR3,46.216484,10.172365,0.020370,0.015985,0.000179,0.000200,13.0951,EU
TIR4,41.335652,19.809549,0.019929,0.014633,0.000372,0.000339,4.7666,EU
TIRA,41.347323,19.863221,0.021002,0.014651,0.000264,0.000222,19.2991,EU
TIRE,40.646663,-118.630131,-0.017840,-0.008812,0.000138,0.000307,11.8412,NA
TIRG,44.457282,28.412331,0.023855,0.012789,0.000148,0.000155,14.5900,EU
TIRU,8.674009,77.812489,0.044667,0.034868,0.000478,0.000478,6.1930,IN
TIS3,45.125515,23.126742,0.022673,0.010720,0.003240,0.012685,11.0308,EU
TIT2,51.035234,6.431581,0.018570,0.015134,0.000128,0.000137,11.6769,EU
TITE,46.730499,-72.565317,-0.016205,0.004621,0.000148,0.000155,14.2368,NA
TITG,-10.586483,142.22195,0.034291,0.057201,0.000385,0.000302,7.3621,AU
TITI,6.014576,-75.79218,0.005080,0.012668,0.000727,0.000705,1.9986,SA
TITO,40.601254,15.723707,0.023036,0.018742,0.000159,0.000157,24.6379,EU
TITZ,51.035306,6.431628,0.018430,0.015654,0.000153,0.000144,13.6235,EU
TIVA,36.934849,-116.229707,-0.015650,-0.008848,0.000130,0.000112,27.4168,NA
TIWI,-11.775389,130.568316,0.034646,0.060142,0.000717,0.000936,3.0555,AU
TIXG,71.634472,128.866427,0.017256,-0.011871,0.000217,0.000237,14.1300,NA
TIXI,71.634473,128.866424,0.017020,-0.011826,0.000134,0.000167,24.2684,NA
TIXJ,71.634463,128.866394,0.016693,-0.010310,0.000385,0.000610,4.8186,NA
TIXK,71.638551,128.855204,0.017050,-0.011566,0.000419,0.000453,4.8405,NA
TJDB,43.859223,-79.364695,-0.017022,0.001514,0.000215,0.000216,10.3026,NA
TJIU,45.046888,23.27394,0.021826,0.012815,0.000170,0.000141,8.2409,EU
TJKG,-5.239546,105.174572,0.024415,-0.007059,0.000808,0.000510,11.3648,SU
TJRN,34.483475,-120.132565,-0.041479,0.022108,0.000136,0.000139,25.8207,PA
TJU2,53.27497,6.879239,0.016981,0.015939,0.000366,0.000305,2.3628,EU
TJUC,53.27127,6.882016,0.017219,0.015894,0.000145,0.000146,10.6530,EU
TJUK,-27.130739,124.540655,0.035366,0.057964,0.000348,0.000308,2.7269,AU
TKAN,45.300191,-75.90974,-0.016898,0.003191,0.000349,0.000407,4.1780,NA
TKAR,-38.437473,177.811435,0.000960,0.019603,0.000275,0.000289,16.2190,PA
TKAT,40.330986,36.557468,0.007910,0.018677,0.000374,0.000452,9.2129,EU
TKBA,36.105902,140.087322,-0.004097,-0.009463,0.000603,0.000646,15.8768,PS
TKBG,36.067487,140.131239,0.003519,-0.009377,0.000609,0.000603,2.4805,PS
TKCH,38.747532,-89.68834,-0.014786,0.000754,0.000244,0.000304,4.6872,NA
TKHL,-41.033681,172.960485,-0.001089,0.040604,0.000336,0.000217,12.1752,PA
TKIR,48.15101,-80.018709,-0.017594,0.001489,0.000187,0.000214,9.3689,NA
TKM1,56.96725,23.152368,0.020206,0.013325,0.000202,0.000206,6.0041,EU
